QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
4,7:02.0,Defensive rebound by A. Gordon,,104,111
4,6:44.0,Turnover by E. Fournier (lost ball; steal by A. Nader),,104,111
4,6:42.0,,Turnover by A. Nader (out of bounds lost ball),104,111
4,6:42.0,J. Isaac enters the game for K. Birch,,104,111
4,6:42.0,N. Vučević enters the game for A. Gordon,,104,111
4,6:29.0,T. Ross misses 3-pt jump shot from 23 ft,,104,111
4,6:24.0,Offensive rebound by J. Isaac,,104,111
4,6:23.0,E. Fournier misses 3-pt jump shot from 26 ft,,104,111
4,6:22.0,Offensive rebound by Team,,104,111
4,6:22.0,,J. Grant enters the game for P. Patterson,104,111
4,6:17.0,N. Vučević misses 2-pt jump shot from 18 ft,,104,111
4,6:14.0,,Defensive rebound by J. Grant,104,111
4,6:00.0,,A. Nader makes 2-pt jump shot from 5 ft,104,113
4,5:47.0,Shooting foul by T. Ferguson (drawn by E. Fournier),,104,113
4,5:47.0,E. Fournier makes free throw 1 of 2,,105,113
4,5:47.0,,P. George enters the game for A. Nader,105,113
4,5:47.0,E. Fournier makes free throw 2 of 2,,106,113
4,5:34.0,,P. George misses 2-pt jump shot from 14 ft,106,113
4,5:31.0,Defensive rebound by J. Isaac,,106,113
4,5:13.0,E. Fournier misses 2-pt jump shot from 4 ft,,106,113
4,5:12.0,Offensive rebound by N. Vučević,,106,113
4,5:11.0,N. Vučević misses 2-pt layup at rim,,106,113
4,5:09.0,,Defensive rebound by R. Westbrook,106,113
4,5:01.0,,S. Adams misses 2-pt layup from 2 ft (block by J. Isaac),106,113
4,5:01.0,Defensive rebound by Team,,106,113
4,4:42.0,J. Isaac misses 2-pt jump shot from 7 ft,,106,113
4,4:41.0,,Defensive rebound by Team,106,113
4,4:27.0,,P. George misses 3-pt jump shot from 27 ft (block by J. Isaac),106,113
4,4:26.0,Defensive rebound by Team,,106,113
4,4:26.0,,Loose ball foul by P. George (drawn by J. Isaac),106,113
4,4:26.0,J. Isaac makes free throw 1 of 2,,107,113
4,4:26.0,A. Gordon enters the game for T. Ross,,107,113
4,4:26.0,J. Isaac makes free throw 2 of 2,,108,113
4,4:16.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),108,115
4,3:58.0,Personal foul by T. Ferguson (drawn by E. Fournier),,108,115
4,3:58.0,,D. Schröder enters the game for T. Ferguson,108,115
4,3:58.0,E. Fournier misses free throw 1 of 2,,108,115
4,3:58.0,Offensive rebound by Team,,108,115
4,3:58.0,E. Fournier makes free throw 2 of 2,,109,115
4,3:46.0,,J. Grant misses 3-pt jump shot from 26 ft,109,115
4,3:42.0,Defensive rebound by E. Fournier,,109,115
4,3:35.0,N. Vučević misses 2-pt hook shot from 2 ft,,109,115
4,3:32.0,,Defensive rebound by P. George,109,115
4,3:29.0,,Shooting foul by J. Isaac (drawn by P. George),109,115
4,3:29.0,,P. George makes free throw 1 of 2,109,116
4,3:29.0,,P. George makes free throw 2 of 2,109,117
4,3:11.0,D. Augustin makes 2-pt layup from 1 ft (assist by N. Vučević),,111,117
4,2:56.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),111,119
4,2:32.0,N. Vučević misses 2-pt jump shot from 4 ft (block by R. Westbrook),,111,119
4,2:28.0,,Defensive rebound by J. Grant,111,119
4,2:27.0,,P. George misses 3-pt jump shot from 26 ft,111,119
4,2:25.0,Defensive rebound by N. Vučević,,111,119
4,2:22.0,Turnover by N. Vučević (bad pass; steal by P. George),,111,119
4,2:22.0,,Shooting foul by N. Vučević (drawn by P. George),111,119
4,2:22.0,,P. George makes free throw 1 of 2,111,120
4,2:22.0,T. Ross enters the game for J. Isaac,,111,120
4,2:22.0,,P. George makes free throw 2 of 2,111,121
4,2:09.0,Turnover by N. Vučević (lost ball; steal by R. Westbrook),,111,121
4,2:03.0,,P. George misses 3-pt jump shot from 26 ft,111,121
4,1:59.0,,Offensive rebound by S. Adams,111,121
4,1:57.0,,P. George misses 2-pt layup from 2 ft (block by A. Gordon),111,121
4,1:55.0,Defensive rebound by A. Gordon,,111,121
4,1:43.0,T. Ross makes 3-pt jump shot from 28 ft (assist by N. Vučević),,114,121
4,1:24.0,,Shooting foul by E. Fournier (drawn by P. George),114,121
4,1:24.0,,P. George makes free throw 1 of 2,114,122
4,1:24.0,,P. George makes free throw 2 of 2,114,123
4,1:19.0,Offensive foul by A. Gordon (drawn by J. Grant),,114,123
4,1:19.0,Turnover by A. Gordon (offensive foul),,114,123
4,1:19.0,Technical foul by A. Gordon,,114,123
4,1:19.0,,P. George makes technical free throw,114,124
4,1:11.0,,Turnover by R. Westbrook (bad pass; steal by T. Ross),114,124
4,1:05.0,Shooting foul by D. Schröder (drawn by T. Ross),,114,124
4,1:05.0,,A. Nader enters the game for D. Schröder,114,124
4,1:05.0,T. Ross makes free throw 1 of 3,,115,124
4,1:05.0,T. Ross makes free throw 2 of 3,,116,124
4,1:05.0,T. Ross makes free throw 3 of 3,,117,124
4,0:52.0,,A. Nader makes 3-pt jump shot from 23 ft (assist by R. Westbrook),117,127
4,0:44.0,T. Ross misses 3-pt jump shot from 25 ft,,117,127
4,0:40.0,Offensive rebound by E. Fournier,,117,127
4,0:40.0,E. Fournier makes 2-pt jump shot from 12 ft,,119,127
4,0:36.0,,Personal foul by A. Gordon (drawn by P. George),119,127
4,0:36.0,J. Isaac enters the game for A. Gordon,,119,127
4,0:36.0,,P. George misses free throw 1 of 2,119,127
4,0:36.0,,Offensive rebound by Team,119,127
4,0:36.0,,P. George makes free throw 2 of 2,119,128
4,0:36.0,Orlando full timeout,,119,128
4,0:33.0,T. Ross misses 3-pt jump shot from 22 ft,,119,128
4,0:33.0,,Defensive rebound by Team,119,128
4,0:32.0,,Turnover by P. George (bad pass; steal by T. Ross),119,128
4,0:31.0,T. Ross makes 3-pt jump shot from 28 ft,,122,128
4,0:31.0,,Oklahoma City full timeout,122,128
4,0:29.0,,Personal take foul by E. Fournier (drawn by R. Westbrook),122,128
4,0:29.0,W. Iwundu enters the game for E. Fournier,,122,128
4,0:29.0,,R. Westbrook misses free throw 1 of 2,122,128
4,0:29.0,,Offensive rebound by Team,122,128
4,0:29.0,,R. Westbrook makes free throw 2 of 2,122,129
4,0:24.0,T. Ross misses 3-pt jump shot from 27 ft,,122,129
4,0:20.0,,Defensive rebound by R. Westbrook,122,129
4,0:20.0,,Personal take foul by W. Iwundu (drawn by R. Westbrook),122,129
4,0:20.0,,R. Westbrook makes free throw 1 of 2,122,130
4,0:20.0,,R. Westbrook misses free throw 2 of 2,122,130
4,0:18.0,Defensive rebound by N. Vučević,,122,130
4,0:18.0,Orlando full timeout,,122,130
4,0:16.0,T. Ross misses 3-pt jump shot from 25 ft,,122,130
4,0:13.0,,Defensive rebound by P. George,122,130
4,0:13.0,,Personal take foul by J. Isaac (drawn by P. George),122,130
4,0:13.0,,P. George makes free throw 1 of 2,122,131
4,0:13.0,,P. George makes free throw 2 of 2,122,132
4,0:02.0,J. Isaac misses 3-pt jump shot from 25 ft,,122,132
4,0:02.0,Offensive rebound by T. Ross,,122,132
