QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
2,1:01.0,,Defensive rebound by B. Hield,55,51
2,0:57.0,,W. Cauley-Stein misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),55,51
2,0:55.0,Defensive rebound by N. Batum,,55,51
2,0:49.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),,57,51
2,0:39.0,,D. Fox makes 2-pt jump shot from 2 ft,57,53
2,0:39.0,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Fox),57,53
2,0:39.0,D. Graham enters the game for M. Kidd-Gilchrist,,57,53
2,0:39.0,,D. Fox makes free throw 1 of 1,57,54
2,0:29.0,J. Lamb makes 2-pt dunk from 2 ft (assist by D. Graham),,59,54
2,0:06.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),59,57
2,0:00.0,J. Lamb misses 3-pt jump shot from 25 ft,,59,57
2,0:00.0,Offensive rebound by Team,,59,57
3,11:47.0,Turnover by N. Batum (bad pass),,59,57
3,11:34.0,,D. Fox misses 3-pt jump shot from 25 ft,59,57
3,11:27.0,Defensive rebound by B. Biyombo,,59,57
3,11:22.0,Turnover by K. Walker (bad pass; steal by N. Bjelica),,59,57
3,11:18.0,,B. Hield misses 3-pt jump shot from 25 ft,59,57
3,11:15.0,,Offensive rebound by D. Fox,59,57
3,11:15.0,,D. Fox misses 2-pt jump shot from 5 ft (block by B. Biyombo),59,57
3,11:12.0,,Offensive rebound by D. Fox,59,57
3,11:08.0,,I. Shumpert misses 3-pt jump shot from 26 ft,59,57
3,11:06.0,Defensive rebound by N. Batum,,59,57
3,10:51.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Lamb),,62,57
3,10:39.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by N. Bjelica),62,60
3,10:21.0,N. Batum makes 2-pt dunk from 1 ft (assist by B. Biyombo),,64,60
3,10:04.0,,B. Hield misses 2-pt jump shot from 20 ft,64,60
3,10:00.0,Defensive rebound by B. Biyombo,,64,60
3,9:56.0,Personal foul by I. Shumpert (drawn by N. Batum),,64,60
3,9:49.0,Turnover by J. Lamb (bad pass; steal by D. Fox),,64,60
3,9:41.0,,N. Bjelica misses 3-pt jump shot from 24 ft,64,60
3,9:37.0,Defensive rebound by M. Williams,,64,60
3,9:34.0,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),,66,60
3,9:22.0,,B. Hield misses 3-pt jump shot from 25 ft,66,60
3,9:22.0,Defensive rebound by B. Biyombo,,66,60
3,9:15.0,Turnover by K. Walker (out of bounds lost ball),,66,60
3,9:07.0,,Personal take foul by M. Williams (drawn by W. Cauley-Stein),66,60
3,9:07.0,D. Graham enters the game for K. Walker,,66,60
3,8:58.0,,Personal foul by B. Biyombo (drawn by N. Bjelica),66,60
3,8:47.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),66,62
3,8:30.0,J. Lamb misses 2-pt jump shot from 18 ft,,66,62
3,8:27.0,,Defensive rebound by B. Hield,66,62
3,8:24.0,,B. Hield misses 2-pt layup from 3 ft,66,62
3,8:24.0,,Offensive rebound by Team,66,62
3,8:15.0,,I. Shumpert misses 2-pt jump shot from 15 ft,66,62
3,8:12.0,Defensive rebound by B. Biyombo,,66,62
3,7:50.0,Turnover by Team (shot clock),,66,62
3,7:40.0,,Turnover by D. Fox (bad pass; steal by M. Williams),66,62
3,7:28.0,Personal foul by I. Shumpert (drawn by B. Biyombo),,66,62
3,7:28.0,K. Walker enters the game for D. Graham,,66,62
3,7:21.0,Shooting foul by N. Bjelica (drawn by K. Walker),,66,62
3,7:21.0,K. Walker makes free throw 1 of 2,,67,62
3,7:21.0,,M. Bagley enters the game for N. Bjelica,67,62
3,7:21.0,K. Walker misses free throw 2 of 2,,67,62
3,7:21.0,,Defensive rebound by M. Bagley,67,62
3,7:06.0,,B. Hield misses 2-pt jump shot from 15 ft (block by N. Batum),67,62
3,7:02.0,,Offensive rebound by B. Hield,67,62
