QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
4,5:19.0,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Bradley),,94,83
4,5:02.0,,L. Aldridge misses 2-pt jump shot from 17 ft,94,83
4,5:00.0,Defensive rebound by T. Harris,,94,83
4,4:41.0,M. Harrell misses 2-pt layup from 6 ft (block by D. White),,94,83
4,4:38.0,,Defensive rebound by D. White,94,83
4,4:38.0,,Personal take foul by P. Beverley (drawn by D. White),94,83
4,4:38.0,,R. Gay enters the game for D. DeRozan,94,83
4,4:38.0,,P. Mills enters the game for B. Forbes,94,83
4,4:23.0,,P. Mills misses 2-pt layup from 4 ft,94,83
4,4:18.0,,Offensive rebound by L. Aldridge,94,83
4,4:18.0,,L. Aldridge makes 2-pt dunk at rim,94,85
4,4:05.0,A. Bradley misses 3-pt jump shot from 26 ft,,94,85
4,4:01.0,,Defensive rebound by L. Aldridge,94,85
4,3:52.0,,Turnover by D. White (bad pass; steal by T. Harris),94,85
4,3:51.0,LA Clippers full timeout,,94,85
4,3:51.0,,M. Belinelli enters the game for P. Mills,94,85
4,3:39.0,T. Harris misses 2-pt jump shot from 20 ft,,94,85
4,3:35.0,Offensive rebound by M. Harrell,,94,85
4,3:35.0,M. Harrell makes 2-pt layup from 1 ft,,96,85
4,3:15.0,,L. Aldridge makes 2-pt hook shot from 6 ft,96,87
4,3:01.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by T. Harris),,99,87
4,2:44.0,,R. Gay misses 2-pt jump shot from 13 ft,99,87
4,2:42.0,Defensive rebound by A. Bradley,,99,87
4,2:25.0,Personal foul by R. Gay (drawn by M. Harrell),,99,87
4,2:14.0,T. Harris makes 2-pt jump shot from 18 ft,,101,87
4,2:03.0,,R. Gay makes 2-pt dunk from 7 ft (assist by D. White),101,89
4,1:50.0,S. Gilgeous-Alexander misses 2-pt layup from 5 ft,,101,89
4,1:49.0,Offensive rebound by S. Gilgeous-Alexander,,101,89
4,1:49.0,Personal foul by M. Belinelli (drawn by S. Gilgeous-Alexander),,101,89
4,1:39.0,M. Harrell misses 2-pt jump shot from 17 ft,,101,89
4,1:35.0,,Defensive rebound by D. White,101,89
4,1:32.0,,Personal foul by A. Bradley (drawn by L. Aldridge),101,89
4,1:27.0,,L. Aldridge makes 3-pt jump shot from 27 ft,101,92
4,1:06.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,101,92
4,1:03.0,,Defensive rebound by D. Bertāns,101,92
4,1:00.0,,D. Bertāns misses 3-pt jump shot from 28 ft,101,92
4,0:57.0,,Offensive rebound by L. Aldridge,101,92
4,0:56.0,,Turnover by L. Aldridge (lost ball; steal by P. Beverley),101,92
4,0:37.0,A. Bradley misses 3-pt jump shot from 24 ft,,101,92
4,0:34.0,,Defensive rebound by L. Aldridge,101,92
4,0:33.0,,Personal foul by S. Gilgeous-Alexander (drawn by D. White),101,92
4,0:33.0,,D. White makes free throw 1 of 2,101,93
4,0:33.0,,San Antonio full timeout,101,93
4,0:33.0,,B. Forbes enters the game for D. Bertāns,101,93
4,0:33.0,,P. Mills enters the game for R. Gay,101,93
4,0:33.0,,D. White misses free throw 2 of 2,101,93
4,0:31.0,,Offensive rebound by L. Aldridge,101,93
4,0:31.0,,L. Aldridge makes 2-pt layup from 4 ft,101,95
4,0:21.0,Personal take foul by B. Forbes (drawn by P. Beverley),,101,95
4,0:21.0,P. Beverley makes free throw 1 of 2,,102,95
4,0:21.0,,D. Bertāns enters the game for L. Aldridge,102,95
4,0:21.0,P. Beverley makes free throw 2 of 2,,103,95
4,0:14.0,,M. Belinelli misses 3-pt jump shot from 27 ft,103,95
4,0:11.0,Defensive rebound by P. Beverley,,103,95
