QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
4,5:04.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Satoranský),112,114
4,4:46.0,L. Dončić misses 2-pt jump shot from 9 ft,,112,114
4,4:43.0,,Defensive rebound by J. Green,112,114
4,4:38.0,,J. Green misses 2-pt layup from 3 ft (block by D. Powell),112,114
4,4:38.0,,Offensive rebound by Team,112,114
4,4:36.0,,B. Beal misses 3-pt jump shot from 25 ft,112,114
4,4:32.0,Defensive rebound by D. Finney-Smith,,112,114
4,4:17.0,Shooting foul by B. Beal (drawn by D. Powell),,112,114
4,4:17.0,D. Powell misses free throw 1 of 2,,112,114
4,4:17.0,Offensive rebound by Team,,112,114
4,4:17.0,D. Powell makes free throw 2 of 2,,113,114
4,4:03.0,,Turnover by J. Green (bad pass; steal by T. Hardaway),113,114
4,3:58.0,D. Powell misses 2-pt layup from 3 ft,,113,114
4,3:55.0,,Defensive rebound by J. Parker,113,114
4,3:51.0,,T. Ariza misses 3-pt jump shot from 26 ft,113,114
4,3:51.0,,Offensive rebound by T. Ariza,113,114
4,3:44.0,,T. Ariza makes 2-pt layup from 3 ft,113,116
4,3:31.0,L. Dončić misses 2-pt layup from 1 ft,,113,116
4,3:27.0,Offensive rebound by L. Dončić,,113,116
4,3:27.0,L. Dončić makes 2-pt layup at rim,,115,116
4,3:08.0,,J. Green makes 3-pt jump shot from 27 ft (assist by T. Ariza),115,119
4,2:48.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,115,119
4,2:45.0,,Defensive rebound by T. Ariza,115,119
4,2:40.0,,B. Beal misses 2-pt jump shot from 9 ft,115,119
4,2:40.0,,Offensive rebound by J. Parker,115,119
4,2:35.0,,J. Green makes 3-pt jump shot from 28 ft (assist by B. Beal),115,122
4,2:35.0,Dallas full timeout,,115,122
4,2:24.0,T. Hardaway makes 2-pt layup from 4 ft (assist by D. Powell),,117,122
4,2:06.0,,B. Beal misses 2-pt layup from 2 ft,117,122
4,2:03.0,Defensive rebound by T. Hardaway,,117,122
4,2:01.0,T. Hardaway misses 3-pt jump shot from 27 ft,,117,122
4,1:58.0,,Defensive rebound by T. Satoranský,117,122
4,1:56.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),117,124
4,1:56.0,,Shooting foul by T. Hardaway (drawn by B. Beal),117,124
4,1:56.0,,B. Beal makes free throw 1 of 1,117,125
4,1:47.0,L. Dončić misses 2-pt jump shot from 17 ft,,117,125
4,1:46.0,Offensive rebound by L. Dončić,,117,125
4,1:46.0,L. Dončić misses 2-pt layup from 2 ft,,117,125
4,1:45.0,,Defensive rebound by J. Parker,117,125
4,1:24.0,,T. Satoranský misses 3-pt jump shot from 27 ft,117,125
4,1:20.0,,Offensive rebound by J. Parker,117,125
4,1:12.0,,J. Parker makes 2-pt layup from 2 ft (assist by B. Beal),117,127
4,1:12.0,Dallas full timeout,,117,127
4,1:07.0,L. Dončić makes 2-pt layup at rim,,119,127
4,0:55.0,,Washington full timeout,119,127
4,0:43.0,,Turnover by Team (shot clock),119,127
4,0:33.0,T. Hardaway makes 2-pt layup from 2 ft (assist by L. Dončić),,121,127
4,0:33.0,,Away from play foul by J. Brunson (drawn by T. Satoranský),121,127
4,0:33.0,,T. Satoranský makes free throw 1 of 1,121,128
4,0:31.0,,Personal take foul by L. Dončić (drawn by T. Ariza),121,128
4,0:31.0,,T. Ariza makes free throw 1 of 2,121,129
4,0:31.0,,T. Ariza makes free throw 2 of 2,121,130
4,0:24.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,123,130
4,0:23.0,,Personal take foul by T. Hardaway (drawn by T. Satoranský),123,130
4,0:23.0,,T. Satoranský makes free throw 1 of 2,123,131
4,0:23.0,,T. Satoranský makes free throw 2 of 2,123,132
