QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
4,1:43.0,,Defensive rebound by K. Williams,100,96
4,1:33.0,,J. Holiday makes 3-pt jump shot from 26 ft,100,99
4,1:32.0,Denver full timeout,,100,99
4,1:17.0,N. Jokić makes 2-pt layup from 2 ft,,102,99
4,1:02.0,,J. Holiday misses 3-pt jump shot from 26 ft,102,99
4,1:01.0,Defensive rebound by Team,,102,99
4,0:42.0,N. Jokić makes 2-pt layup from 1 ft,,104,99
4,0:42.0,,New Orleans full timeout,104,99
4,0:33.0,,D. Miller misses 3-pt jump shot from 26 ft,104,99
4,0:30.0,Defensive rebound by G. Harris,,104,99
4,0:22.0,Personal foul by J. Holiday (drawn by N. Jokić),,104,99
4,0:15.0,Personal take foul by K. Williams (drawn by G. Harris),,104,99
4,0:15.0,G. Harris makes free throw 1 of 2,,105,99
4,0:15.0,G. Harris misses free throw 2 of 2,,105,99
4,0:15.0,,Defensive rebound by J. Okafor,105,99
4,0:15.0,,New Orleans full timeout,105,99
4,0:11.0,,I. Clark misses 3-pt jump shot from 27 ft,105,99
4,0:08.0,Defensive rebound by P. Millsap,,105,99
4,0:02.0,Turnover by (8 sec),,105,99
4,0:00.0,,K. Williams misses 3-pt jump shot from 25 ft,105,99
4,0:00.0,Defensive rebound by M. Morris,,105,99
