QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
4,2:37.0,S. Labissière enters the game for E. Freedom,,112,92
4,2:37.0,A. Simons enters the game for D. Lillard,,112,92
4,2:37.0,,V. Carter enters the game for J. Adams,112,92
4,2:37.0,,T. Young enters the game for D. Dedmon,112,92
4,2:30.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),112,94
4,2:10.0,Z. Collins misses 2-pt dunk from 2 ft,,112,94
4,2:06.0,Offensive rebound by Z. Collins,,112,94
4,2:04.0,Z. Collins makes 2-pt layup from 2 ft,,114,94
4,1:55.0,,Turnover by T. Young (lost ball; steal by S. Labissière),114,94
4,1:53.0,S. Curry makes 2-pt layup from 2 ft (assist by S. Labissière),,116,94
4,1:48.0,,T. Young makes 2-pt jump shot from 10 ft,116,96
4,1:48.0,Portland full timeout,,116,96
4,1:48.0,J. Layman enters the game for S. Curry,,116,96
4,1:48.0,,D. Davis enters the game for V. Carter,116,96
4,1:36.0,G. Trent misses 3-pt jump shot from 26 ft,,116,96
4,1:35.0,,Defensive rebound by Team,116,96
4,1:30.0,,T. Young misses 2-pt layup from 1 ft,116,96
4,1:29.0,,Offensive rebound by D. Davis,116,96
4,1:29.0,,D. Davis makes 2-pt dunk from 1 ft,116,98
4,1:20.0,A. Simons misses 3-pt jump shot from 25 ft,,116,98
4,1:17.0,,Defensive rebound by D. Davis,116,98
4,1:09.0,,T. Young misses 2-pt jump shot from 7 ft,116,98
4,1:05.0,Defensive rebound by Z. Collins,,116,98
4,0:54.0,A. Simons makes 2-pt jump shot from 9 ft,,118,98
4,0:49.0,,J. Collins misses 3-pt jump shot from 25 ft,118,98
4,0:46.0,Defensive rebound by G. Trent,,118,98
4,0:32.0,G. Trent misses 2-pt jump shot from 21 ft,,118,98
4,0:29.0,,Defensive rebound by J. Collins,118,98
4,0:24.0,,T. Young misses 3-pt jump shot from 28 ft,118,98
4,0:20.0,Defensive rebound by S. Labissière,,118,98
