QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
4,2:35.0,,G. Allen misses 2-pt jump shot from 20 ft,117,86
4,2:31.0,Defensive rebound by T. Leaf,,117,86
4,2:15.0,D. McDermott misses 3-pt jump shot from 23 ft,,117,86
4,2:11.0,,Defensive rebound by E. Udoh,117,86
4,2:05.0,,D. Exum misses 2-pt layup from 2 ft,117,86
4,2:04.0,Defensive rebound by A. Holiday,,117,86
4,2:04.0,Indiana full timeout,,117,86
4,2:04.0,I. Anigbogu enters the game for D. McDermott,,117,86
4,1:54.0,Turnover by E. Sumner (traveling),,117,86
4,1:35.0,,D. Exum misses 2-pt layup from 4 ft,117,86
4,1:33.0,Defensive rebound by I. Anigbogu,,117,86
4,1:30.0,A. Holiday makes 2-pt layup from 2 ft,,119,86
4,1:14.0,,G. Niang makes 2-pt layup from 2 ft (assist by E. Udoh),119,88
4,1:14.0,Violation by Team (def goaltending),,119,88
4,1:05.0,Personal foul by G. Niang (drawn by A. Holiday),,119,88
4,0:49.0,T. Leaf misses 2-pt jump shot from 14 ft,,119,88
4,0:46.0,,Defensive rebound by E. Udoh,119,88
4,0:36.0,,G. Niang misses 3-pt jump shot from 24 ft,119,88
4,0:33.0,Defensive rebound by T. Leaf,,119,88
4,0:19.0,A. Holiday makes 2-pt jump shot from 21 ft,,121,88
