QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
3,9:48.0,,J. Grant makes free throw 2 of 2,51,51
3,9:36.0,C. Osman misses 3-pt jump shot from 24 ft,,51,51
3,9:33.0,,Defensive rebound by J. Grant,51,51
3,9:17.0,,Á. Abrines misses 3-pt jump shot from 25 ft,51,51
3,9:14.0,Defensive rebound by T. Thompson,,51,51
3,9:07.0,Personal foul by R. Westbrook (drawn by C. Sexton),,51,51
3,9:01.0,C. Sexton makes 2-pt jump shot from 12 ft,,53,51
3,8:49.0,,R. Westbrook misses 3-pt jump shot from 25 ft,53,51
3,8:47.0,Defensive rebound by C. Sexton,,53,51
3,8:43.0,C. Sexton makes 2-pt jump shot from 20 ft,,55,51
3,8:28.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by P. George),55,54
3,8:05.0,C. Osman misses 3-pt jump shot from 23 ft,,55,54
3,8:02.0,,Defensive rebound by R. Westbrook,55,54
3,7:55.0,,Á. Abrines misses 3-pt jump shot from 25 ft,55,54
3,7:52.0,Defensive rebound by C. Sexton,,55,54
3,7:46.0,C. Sexton misses 3-pt jump shot from 25 ft,,55,54
3,7:46.0,,Defensive rebound by Á. Abrines,55,54
3,7:34.0,,J. Grant makes 2-pt layup from 1 ft (assist by S. Adams),55,56
3,7:34.0,,Shooting foul by C. Sexton (drawn by J. Grant),55,56
3,7:34.0,,J. Grant misses free throw 1 of 1,55,56
3,7:34.0,Defensive rebound by C. Osman,,55,56
3,7:20.0,T. Thompson misses 2-pt hook shot from 6 ft,,55,56
3,7:18.0,,Defensive rebound by R. Westbrook,55,56
3,7:15.0,,P. George makes 2-pt dunk from 2 ft (assist by R. Westbrook),55,58
3,7:14.0,Cleveland full timeout,,55,58
3,6:55.0,C. Osman misses 2-pt layup at rim,,55,58
3,6:52.0,,Defensive rebound by Á. Abrines,55,58
3,6:45.0,,P. George makes 2-pt layup at rim (assist by R. Westbrook),55,60
3,6:18.0,C. Osman misses 3-pt jump shot from 25 ft,,55,60
3,6:17.0,,Defensive rebound by Team,55,60
3,6:07.0,,P. George makes 2-pt jump shot from 18 ft,55,62
3,5:51.0,Personal foul by P. George (drawn by C. Osman),,55,62
3,5:51.0,J. Clarkson enters the game for L. Nance,,55,62
3,5:51.0,,D. Schröder enters the game for P. George,55,62
3,5:44.0,Turnover by C. Sexton (lost ball; steal by S. Adams),,55,62
3,5:35.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),55,64
3,5:13.0,R. Hood makes 3-pt jump shot from 23 ft (assist by C. Sexton),,58,64
3,4:58.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),58,67
3,4:42.0,C. Sexton makes 2-pt jump shot from 18 ft,,60,67
3,4:30.0,,Turnover by S. Adams (3 sec),60,67
3,4:16.0,J. Clarkson makes 2-pt jump shot from 10 ft,,62,67
3,3:55.0,,D. Schröder misses 3-pt jump shot from 25 ft,62,67
3,3:53.0,,Offensive rebound by Team,62,67
3,3:46.0,,R. Westbrook misses 2-pt jump shot from 8 ft,62,67
3,3:43.0,Defensive rebound by C. Osman,,62,67
3,3:34.0,C. Osman misses 2-pt layup from 1 ft (block by J. Grant),,62,67
3,3:34.0,Offensive rebound by Team,,62,67
3,3:34.0,,Loose ball foul by D. Schröder (drawn by T. Thompson),62,67
3,3:34.0,L. Nance enters the game for C. Osman,,62,67
3,3:34.0,,P. Patterson enters the game for J. Grant,62,67
3,3:24.0,C. Sexton misses 2-pt jump shot from 17 ft,,62,67
3,3:23.0,,Defensive rebound by Team,62,67
3,3:23.0,Loose ball foul by T. Thompson (drawn by D. Schröder),,62,67
3,3:23.0,,D. Schröder makes free throw 1 of 2,62,68
3,3:23.0,,D. Schröder makes free throw 2 of 2,62,69
3,3:04.0,J. Clarkson misses 2-pt jump shot from 6 ft,,62,69
3,3:01.0,,Defensive rebound by R. Westbrook,62,69
3,2:58.0,,Á. Abrines misses 3-pt jump shot from 23 ft,62,69
3,2:56.0,Defensive rebound by L. Nance,,62,69
3,2:38.0,R. Hood misses 2-pt jump shot from 6 ft,,62,69
3,2:35.0,,Defensive rebound by S. Adams,62,69
3,2:24.0,,D. Schröder misses 3-pt jump shot from 25 ft,62,69
3,2:21.0,Defensive rebound by C. Sexton,,62,69
3,2:15.0,Personal foul by D. Schröder (drawn by J. Clarkson),,62,69
3,2:15.0,,Oklahoma City full timeout,62,69
3,2:15.0,C. Osman enters the game for R. Hood,,62,69
3,2:15.0,A. Žižić enters the game for T. Thompson,,62,69
3,2:15.0,,D. Burton enters the game for S. Adams,62,69
3,2:15.0,,R. Felton enters the game for D. Schröder,62,69
3,2:15.0,,N. Noel enters the game for R. Westbrook,62,69
3,2:00.0,C. Sexton misses 2-pt jump shot from 5 ft,,62,69
3,2:00.0,Offensive rebound by A. Žižić,,62,69
3,1:59.0,A. Žižić misses 2-pt layup at rim,,62,69
3,1:55.0,,Defensive rebound by Team,62,69
3,1:42.0,,Á. Abrines misses 2-pt layup from 2 ft (block by A. Žižić),62,69
3,1:42.0,,Offensive rebound by Á. Abrines,62,69
3,1:38.0,,D. Burton misses 3-pt jump shot from 26 ft,62,69
3,1:38.0,Defensive rebound by C. Osman,,62,69
3,1:13.0,J. Clarkson misses 3-pt jump shot from 26 ft,,62,69
3,1:13.0,Offensive rebound by Team,,62,69
3,1:12.0,,Loose ball foul by P. Patterson (drawn by A. Žižić),62,69
3,1:12.0,A. Harrison enters the game for C. Sexton,,62,69
3,1:12.0,A. Žižić misses free throw 1 of 2,,62,69
3,1:12.0,Offensive rebound by Team,,62,69
3,1:12.0,A. Žižić misses free throw 2 of 2,,62,69
