QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
4,7:35.0,,Personal foul by B. McLemore (drawn by R. Covington),85,112
4,7:25.0,,T. Jones misses 2-pt jump shot from 18 ft,85,112
4,7:23.0,Defensive rebound by K. Koufos,,85,112
4,7:16.0,Turnover by F. Mason (bad pass; steal by G. Dieng),,85,112
4,7:09.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),85,114
4,6:58.0,Y. Ferrell makes 2-pt layup from 2 ft,,87,114
4,6:44.0,,G. Dieng makes 2-pt dunk at rim (assist by J. Okogie),87,116
4,6:18.0,Y. Ferrell misses 2-pt layup from 2 ft (block by G. Dieng),,87,116
4,6:16.0,,Defensive rebound by D. Šarić,87,116
4,6:09.0,,G. Dieng misses 2-pt jump shot from 20 ft,87,116
4,6:05.0,Defensive rebound by B. McLemore,,87,116
4,6:01.0,Shooting foul by J. Okogie (drawn by B. McLemore),,87,116
4,6:01.0,B. McLemore makes free throw 1 of 2,,88,116
4,6:01.0,H. Giles enters the game for K. Koufos,,88,116
4,6:01.0,,J. Nunnally enters the game for R. Covington,88,116
4,6:01.0,,A. Tolliver enters the game for D. Šarić,88,116
4,6:01.0,B. McLemore makes free throw 2 of 2,,89,116
4,5:50.0,,Offensive foul by T. Jones (drawn by B. McLemore),89,116
4,5:50.0,,Turnover by T. Jones (offensive foul),89,116
4,5:50.0,S. Labissière enters the game for B. McLemore,,89,116
4,5:50.0,,L. Deng enters the game for G. Dieng,89,116
4,5:38.0,Turnover by H. Giles (lost ball; steal by T. Jones),,89,116
4,5:31.0,,J. Nunnally misses 2-pt jump shot from 8 ft,89,116
4,5:26.0,,Offensive rebound by L. Deng,89,116
4,5:20.0,,A. Tolliver misses 2-pt layup from 2 ft,89,116
4,5:17.0,Defensive rebound by S. Labissière,,89,116
4,5:17.0,Turnover by F. Mason (bad pass),,89,116
4,5:06.0,,Turnover by L. Deng (bad pass),89,116
4,5:00.0,Personal foul by J. Okogie (drawn by Y. Ferrell),,89,116
4,4:51.0,Shooting foul by A. Tolliver (drawn by Y. Ferrell),,89,116
4,4:51.0,Y. Ferrell misses free throw 1 of 2,,89,116
4,4:51.0,Offensive rebound by Team,,89,116
4,4:51.0,Y. Ferrell makes free throw 2 of 2,,90,116
4,4:40.0,,J. Okogie misses 2-pt jump shot from 17 ft,90,116
4,4:36.0,Defensive rebound by S. Labissière,,90,116
4,4:22.0,H. Giles makes 2-pt jump shot from 6 ft,,92,116
4,4:09.0,,A. Tolliver misses 3-pt jump shot from 24 ft,92,116
4,4:06.0,Defensive rebound by S. Labissière,,92,116
4,4:01.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by F. Mason),,95,116
4,3:40.0,,J. Nunnally makes 2-pt layup from 1 ft (assist by A. Tolliver),95,118
4,3:24.0,H. Giles misses 2-pt jump shot from 17 ft,,95,118
4,3:20.0,,Defensive rebound by A. Tolliver,95,118
4,3:08.0,,J. Nunnally makes 3-pt jump shot from 23 ft (assist by J. Okogie),95,121
4,3:07.0,Sacramento full timeout,,95,121
4,3:07.0,B. McLemore enters the game for Y. Ferrell,,95,121
4,3:07.0,T. Williams enters the game for J. Jackson,,95,121
4,2:53.0,Shooting foul by A. Tolliver (drawn by S. Labissière),,95,121
4,2:53.0,S. Labissière misses free throw 1 of 2,,95,121
4,2:53.0,Offensive rebound by Team,,95,121
4,2:53.0,S. Labissière makes free throw 2 of 2,,96,121
4,2:40.0,,Personal foul by S. Labissière (drawn by A. Tolliver),96,121
4,2:40.0,,A. Tolliver makes free throw 1 of 2,96,122
4,2:40.0,,A. Tolliver makes free throw 2 of 2,96,123
4,2:25.0,T. Williams makes 2-pt layup from 1 ft (assist by H. Giles),,98,123
4,2:07.0,,A. Tolliver makes 2-pt jump shot from 18 ft,98,125
4,2:06.0,,Technical foul by J. Nunnally,98,125
4,2:06.0,F. Mason makes technical free throw,,99,125
4,1:57.0,Turnover by S. Labissière (bad pass; steal by L. Deng),,99,125
4,1:54.0,,L. Deng makes 2-pt layup from 1 ft,99,127
4,1:47.0,T. Williams makes 2-pt jump shot from 7 ft,,101,127
4,1:34.0,,J. Okogie misses 3-pt jump shot from 26 ft,101,127
4,1:32.0,Defensive rebound by T. Williams,,101,127
4,1:17.0,B. McLemore misses 3-pt jump shot from 25 ft,,101,127
4,1:13.0,,Defensive rebound by J. Okogie,101,127
4,1:08.0,,A. Tolliver misses 3-pt jump shot from 25 ft,101,127
4,1:05.0,Defensive rebound by T. Williams,,101,127
4,0:59.0,Turnover by T. Williams (bad pass; steal by L. Deng),,101,127
4,0:53.0,,J. Nunnally misses 3-pt jump shot from 23 ft,101,127
4,0:52.0,,Offensive rebound by T. Jones,101,127
4,0:51.0,,A. Tolliver makes 2-pt dunk from 2 ft (assist by T. Jones),101,129
4,0:34.0,Shooting foul by L. Deng (drawn by H. Giles),,101,129
4,0:34.0,H. Giles makes free throw 1 of 2,,102,129
4,0:34.0,H. Giles makes free throw 2 of 2,,103,129
4,0:25.0,,A. Tolliver makes 3-pt jump shot from 27 ft (assist by T. Jones),103,132
4,0:05.0,F. Mason makes 2-pt layup from 1 ft,,105,132
