QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
4,3:34.0,,J. Motley enters the game for M. Harrell,99,121
4,3:34.0,,S. Thornwell enters the game for G. Temple,99,121
4,3:34.0,,T. Wallace enters the game for L. Williams,99,121
4,3:34.0,C. Sexton makes free throw 2 of 2,,100,121
4,3:20.0,,J. Robinson misses 3-pt jump shot from 24 ft,100,121
4,3:18.0,Defensive rebound by A. Žižić,,100,121
4,3:13.0,Shooting foul by T. Wallace (drawn by D. Nwaba),,100,121
4,3:13.0,D. Nwaba makes free throw 1 of 2,,101,121
4,3:13.0,N. Stauskas enters the game for C. Sexton,,101,121
4,3:13.0,D. Nwaba makes free throw 2 of 2,,102,121
4,3:00.0,,Offensive foul by W. Chandler (drawn by D. Adel),102,121
4,3:00.0,,Turnover by W. Chandler (offensive foul),102,121
4,2:48.0,D. Adel makes 2-pt layup from 3 ft (assist by B. Knight),,104,121
4,2:35.0,,J. Robinson makes 2-pt jump shot from 12 ft (assist by J. Motley),104,123
4,2:15.0,A. Žižić makes 2-pt hook shot from 11 ft (assist by D. Adel),,106,123
4,2:02.0,,J. Motley makes 2-pt hook shot from 4 ft (assist by J. Robinson),106,125
4,1:50.0,A. Žižić makes 2-pt dunk from 1 ft (assist by N. Stauskas),,108,125
4,1:39.0,,Shooting foul by B. Knight (drawn by T. Wallace),108,125
4,1:39.0,,T. Wallace makes free throw 1 of 2,108,126
4,1:39.0,,T. Wallace makes free throw 2 of 2,108,127
4,1:28.0,B. Knight misses 2-pt jump shot from 13 ft,,108,127
4,1:27.0,,Defensive rebound by S. Thornwell,108,127
4,1:15.0,,T. Wallace makes 2-pt jump shot from 9 ft,108,129
4,1:03.0,N. Stauskas misses 3-pt jump shot from 28 ft (block by S. Thornwell),,108,129
4,1:03.0,,Defensive rebound by J. Motley,108,129
4,0:52.0,,J. Motley makes 2-pt dunk from 2 ft (assist by T. Wallace),108,131
4,0:35.0,N. Stauskas misses 3-pt jump shot from 26 ft,,108,131
4,0:34.0,,Defensive rebound by W. Chandler,108,131
4,0:32.0,,Personal foul by A. Žižić (drawn by J. Motley),108,131
4,0:32.0,,J. Motley makes free throw 1 of 2,108,132
4,0:32.0,,J. Motley misses free throw 2 of 2,108,132
4,0:29.0,Defensive rebound by A. Žižić,,108,132
4,0:15.0,A. Žižić misses 2-pt jump shot from 9 ft (block by J. Motley),,108,132
4,0:12.0,,Defensive rebound by S. Thornwell,108,132
