QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
4,0:24.0,,Personal take foul by W. Carter (drawn by D. Collison),85,90
4,0:24.0,,D. Collison makes free throw 1 of 2,85,91
4,0:24.0,,D. Collison makes free throw 2 of 2,85,92
4,0:24.0,Chicago full timeout,,85,92
4,0:23.0,L. Markkanen misses 3-pt jump shot from 24 ft,,85,92
4,0:20.0,,Defensive rebound by M. Turner,85,92
4,0:19.0,,Personal take foul by L. Markkanen (drawn by D. Collison),85,92
4,0:19.0,,D. Collison makes free throw 1 of 2,85,93
4,0:19.0,,D. Collison makes free throw 2 of 2,85,94
4,0:19.0,Chicago full timeout,,85,94
4,0:19.0,J. Parker enters the game for W. Carter,,85,94
4,0:15.0,Z. LaVine misses 2-pt layup from 1 ft,,85,94
4,0:15.0,L. Markkanen makes 2-pt dunk at rim,,87,94
4,0:15.0,Offensive rebound by L. Markkanen,,87,94
4,0:14.0,,Personal take foul by C. Payne (drawn by C. Joseph),87,94
4,0:14.0,,C. Joseph makes free throw 1 of 2,87,95
4,0:14.0,,C. Joseph makes free throw 2 of 2,87,96
4,0:08.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by C. Payne),,90,96
