QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
4,4:25.0,,Defensive rebound by A. Davis,107,98
4,4:10.0,,Shooting foul by M. Smart (drawn by A. Davis),107,98
4,4:10.0,,A. Davis makes free throw 1 of 2,107,99
4,4:10.0,,A. Davis makes free throw 2 of 2,107,100
4,4:05.0,Boston full timeout,,107,100
4,4:01.0,K. Irving makes 3-pt jump shot from 27 ft (assist by M. Smart),,110,100
4,3:44.0,,A. Davis misses 3-pt jump shot from 26 ft,110,100
4,3:44.0,Defensive rebound by M. Morris,,110,100
4,3:30.0,M. Morris misses 3-pt jump shot from 23 ft,,110,100
4,3:27.0,Offensive rebound by J. Tatum,,110,100
4,3:24.0,J. Tatum makes 2-pt layup from 2 ft,,112,100
4,3:18.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),112,102
4,2:58.0,K. Irving makes 2-pt jump shot from 13 ft,,114,102
4,2:41.0,,N. Mirotić misses 3-pt jump shot from 29 ft,114,102
4,2:39.0,Defensive rebound by M. Smart,,114,102
4,2:26.0,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),,116,102
4,2:26.0,Shooting foul by A. Davis (drawn by J. Tatum),,116,102
4,2:26.0,,C. Diallo enters the game for A. Davis,116,102
4,2:26.0,,T. Frazier enters the game for J. Holiday,116,102
4,2:26.0,,S. Hill enters the game for E. Moore,116,102
4,2:26.0,J. Tatum makes free throw 1 of 1,,117,102
4,2:17.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by T. Frazier),117,105
4,1:54.0,A. Horford misses 2-pt hook shot from 7 ft,,117,105
4,1:53.0,Offensive rebound by M. Morris,,117,105
4,1:53.0,M. Morris makes 2-pt layup at rim,,119,105
4,1:45.0,,D. Miller misses 3-pt jump shot from 23 ft,119,105
4,1:43.0,,Offensive rebound by Team,119,105
4,1:43.0,T. Rozier enters the game for A. Horford,,119,105
4,1:43.0,R. Williams enters the game for K. Irving,,119,105
4,1:43.0,,W. Johnson enters the game for N. Mirotić,119,105
4,1:35.0,,S. Hill misses 3-pt jump shot from 24 ft,119,105
4,1:32.0,Defensive rebound by R. Williams,,119,105
4,1:15.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),,122,105
4,1:02.0,,Turnover by S. Hill (lost ball; steal by J. Tatum),122,105
4,0:40.0,R. Williams makes 2-pt dunk from 1 ft (assist by M. Morris),,124,105
4,0:33.0,,D. Miller misses 3-pt jump shot from 28 ft,124,105
4,0:30.0,Defensive rebound by R. Williams,,124,105
4,0:06.0,Turnover by Team (shot clock),,124,105
4,0:02.0,,T. Frazier makes 2-pt layup from 3 ft,124,107
