QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
4,2:52.0,,Personal foul by J. Butler (drawn by K. Leonard),94,104
4,2:52.0,D. Rose enters the game for T. Jones,,94,104
4,2:52.0,,S. Ibaka enters the game for J. Valančiūnas,94,104
4,2:38.0,,K. Leonard makes 2-pt jump shot from 13 ft,94,106
4,2:24.0,A. Tolliver misses 3-pt jump shot from 28 ft,,94,106
4,2:19.0,Offensive rebound by J. Butler,,94,106
4,2:18.0,J. Butler makes 2-pt layup from 2 ft,,96,106
4,2:01.0,,K. Leonard misses 2-pt jump shot from 15 ft,96,106
4,1:58.0,Defensive rebound by J. Butler,,96,106
4,1:42.0,J. Butler makes 3-pt jump shot from 23 ft (assist by K. Towns),,99,106
4,1:24.0,,Turnover by K. Lowry (bad pass; steal by K. Towns),99,106
4,1:23.0,Personal take foul by O. Anunoby (drawn by J. Teague),,99,106
4,1:16.0,K. Towns makes 2-pt hook shot from 10 ft,,101,106
4,1:16.0,,Toronto full timeout,101,106
4,0:53.0,,K. Leonard makes 2-pt jump shot from 11 ft,101,108
4,0:53.0,Minnesota full timeout,,101,108
4,0:49.0,J. Teague misses 2-pt jump shot from 4 ft,,101,108
4,0:47.0,,Defensive rebound by S. Ibaka,101,108
4,0:42.0,,Personal foul by A. Tolliver (drawn by K. Lowry),101,108
4,0:38.0,,Personal take foul by D. Rose (drawn by K. Leonard),101,108
4,0:38.0,,K. Leonard makes free throw 1 of 2,101,109
4,0:38.0,,K. Leonard makes free throw 2 of 2,101,110
4,0:28.0,Shooting foul by S. Ibaka (drawn by J. Butler),,101,110
4,0:28.0,J. Butler makes free throw 1 of 2,,102,110
4,0:28.0,J. Butler makes free throw 2 of 2,,103,110
4,0:22.0,,Turnover by K. Leonard (traveling),103,110
4,0:19.0,K. Towns misses 3-pt jump shot from 34 ft,,103,110
4,0:17.0,,Defensive rebound by K. Lowry,103,110
4,0:17.0,,Personal take foul by A. Tolliver (drawn by K. Lowry),103,110
4,0:17.0,,K. Lowry makes free throw 1 of 2,103,111
4,0:17.0,,K. Lowry makes free throw 2 of 2,103,112
4,0:17.0,Minnesota full timeout,,103,112
4,0:13.0,K. Towns makes 2-pt dunk from 1 ft,,105,112
4,0:06.0,,Turnover by K. Lowry (bad pass),105,112
4,0:02.0,J. Teague misses 2-pt jump shot from 7 ft,,105,112
4,0:02.0,Offensive rebound by Team,,105,112
