QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
4,4:01.0,,I. Clark makes 2-pt layup from 2 ft,103,97
4,3:45.0,Turnover by B. Bogdanović (bad pass; steal by C. Diallo),,103,97
4,3:39.0,,Turnover by K. Williams (lost ball; steal by C. Joseph),103,97
4,3:38.0,Personal foul by D. Miller (drawn by C. Joseph),,103,97
4,3:38.0,,J. Okafor enters the game for C. Diallo,103,97
4,3:26.0,C. Joseph misses 3-pt jump shot from 23 ft,,103,97
4,3:22.0,,Defensive rebound by J. Okafor,103,97
4,3:20.0,,New Orleans full timeout,103,97
4,3:04.0,,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Holiday),103,100
4,2:42.0,M. Turner misses 3-pt jump shot from 26 ft,,103,100
4,2:39.0,,Defensive rebound by J. Holiday,103,100
4,2:31.0,,J. Okafor makes 2-pt layup from 2 ft (assist by I. Clark),103,102
4,2:17.0,D. Collison misses 2-pt layup from 2 ft,,103,102
4,2:14.0,Offensive rebound by T. Young,,103,102
4,2:14.0,T. Young misses 2-pt layup from 2 ft,,103,102
4,2:13.0,,Defensive rebound by J. Holiday,103,102
4,2:07.0,,D. Miller misses 3-pt jump shot from 26 ft,103,102
4,2:05.0,Defensive rebound by M. Turner,,103,102
4,1:54.0,D. Collison makes 3-pt jump shot from 26 ft (assist by T. Young),,106,102
4,1:43.0,,J. Holiday misses 3-pt jump shot from 26 ft,106,102
4,1:43.0,Defensive rebound by D. Collison,,106,102
4,1:27.0,Personal foul by I. Clark (drawn by D. Collison),,106,102
4,1:19.0,Turnover by B. Bogdanović (lost ball; steal by J. Holiday),,106,102
4,1:16.0,,J. Okafor makes 2-pt layup from 1 ft (assist by I. Clark),106,104
4,0:59.0,M. Turner misses 2-pt layup from 4 ft,,106,104
4,0:57.0,,Defensive rebound by J. Holiday,106,104
4,0:53.0,,K. Williams misses 3-pt jump shot from 24 ft,106,104
4,0:49.0,Defensive rebound by C. Joseph,,106,104
4,0:27.0,D. Collison makes 2-pt jump shot from 20 ft,,108,104
4,0:25.0,,New Orleans full timeout,108,104
4,0:13.0,,D. Miller misses 3-pt jump shot from 24 ft,108,104
4,0:10.0,Defensive rebound by M. Turner,,108,104
4,0:10.0,Personal take foul by I. Clark (drawn by D. Collison),,108,104
4,0:10.0,D. Collison makes free throw 1 of 2,,109,104
4,0:10.0,D. Collison misses free throw 2 of 2,,109,104
4,0:10.0,,Defensive rebound by J. Okafor,109,104
4,0:10.0,,New Orleans full timeout,109,104
4,0:05.0,,I. Clark makes 2-pt layup from 1 ft (assist by K. Williams),109,106
4,0:05.0,Indiana full timeout,,109,106
4,0:05.0,A. Holiday enters the game for T. Young,,109,106
4,0:05.0,Indiana full timeout,,109,106
4,0:05.0,,C. Diallo enters the game for J. Okafor,109,106
4,0:05.0,Offensive foul by A. Holiday (drawn by I. Clark),,109,106
4,0:05.0,Turnover by A. Holiday (offensive foul),,109,106
4,0:05.0,T. Young enters the game for A. Holiday,,109,106
4,0:05.0,,F. Jackson enters the game for C. Diallo,109,106
4,0:02.0,,Personal foul by C. Joseph (drawn by J. Holiday),109,106
4,0:02.0,,J. Holiday makes free throw 1 of 2,109,107
4,0:02.0,D. Sabonis enters the game for C. Joseph,,109,107
4,0:02.0,,C. Diallo enters the game for I. Clark,109,107
4,0:02.0,,J. Okafor enters the game for F. Jackson,109,107
4,0:02.0,,J. Holiday misses free throw 2 of 2,109,107
4,0:01.0,Defensive rebound by Team,,109,107
