QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
2,9:47.0,Shooting foul by J. Redick (drawn by D. Wade),,27,34
2,9:47.0,D. Wade misses free throw 1 of 2,,27,34
2,9:47.0,Offensive rebound by Team,,27,34
2,9:47.0,D. Wade misses free throw 2 of 2,,27,34
2,9:44.0,,Defensive rebound by M. Scott,27,34
2,9:32.0,,Personal foul by B. Adebayo (drawn by J. Redick),27,34
2,9:26.0,,M. Scott misses 3-pt jump shot from 26 ft,27,34
2,9:22.0,Defensive rebound by D. Wade,,27,34
2,9:15.0,Shooting foul by B. Simmons (drawn by J. Johnson),,27,34
2,9:15.0,J. Johnson makes free throw 1 of 2,,28,34
2,9:15.0,J. Johnson misses free throw 2 of 2,,28,34
2,9:12.0,,Defensive rebound by J. Bolden,28,34
2,9:00.0,,J. Redick misses 3-pt jump shot from 25 ft,28,34
2,8:57.0,,Offensive rebound by J. Bolden,28,34
2,8:55.0,,Turnover by J. Bolden (back court),28,34
2,8:47.0,B. Adebayo makes 2-pt dunk at rim (assist by R. McGruder),,30,34
2,8:31.0,,Shooting foul by J. Johnson (drawn by B. Simmons),30,34
2,8:31.0,,B. Simmons misses free throw 1 of 2,30,34
2,8:31.0,,Offensive rebound by Team,30,34
2,8:31.0,J. Winslow enters the game for J. Johnson,,30,34
2,8:31.0,,B. Simmons misses free throw 2 of 2,30,34
2,8:29.0,Defensive rebound by D. Wade,,30,34
2,8:19.0,R. McGruder makes 2-pt layup from 3 ft (assist by D. Wade),,32,34
2,8:08.0,,B. Simmons misses 2-pt layup from 3 ft,32,34
2,8:08.0,Defensive rebound by Team,,32,34
2,8:08.0,,J. Butler enters the game for J. Bolden,32,34
2,8:08.0,,T. Harris enters the game for M. Scott,32,34
2,8:08.0,,B. Marjanović enters the game for B. Simmons,32,34
2,7:56.0,Personal foul by J. Simmons (drawn by J. Richardson),,32,34
2,7:51.0,Shooting foul by J. Butler (drawn by D. Wade),,32,34
2,7:51.0,D. Wade makes free throw 1 of 2,,33,34
2,7:51.0,,M. Scott enters the game for J. Redick,33,34
2,7:51.0,D. Wade misses free throw 2 of 2,,33,34
2,7:49.0,,Defensive rebound by M. Scott,33,34
2,7:29.0,,Turnover by B. Marjanović (bad pass; steal by D. Wade),33,34
2,7:16.0,J. Winslow makes 2-pt jump shot from 13 ft,,35,34
2,7:16.0,,Philadelphia full timeout,35,34
2,7:16.0,D. Jones enters the game for J. Richardson,,35,34
2,7:16.0,D. Waiters enters the game for D. Wade,,35,34
2,7:01.0,,J. Butler makes 2-pt layup from 1 ft (assist by T. Harris),35,36
2,6:43.0,B. Adebayo misses 2-pt jump shot from 9 ft,,35,36
2,6:40.0,,Defensive rebound by T. Harris,35,36
2,6:24.0,,Turnover by B. Marjanović (bad pass; steal by J. Winslow),35,36
2,6:19.0,J. Winslow misses 2-pt jump shot from 11 ft,,35,36
2,6:18.0,Offensive rebound by D. Jones,,35,36
2,6:17.0,D. Jones makes 2-pt layup from 1 ft,,37,36
2,6:08.0,,Personal foul by J. Winslow (drawn by J. Butler),37,36
2,6:08.0,,J. Butler makes free throw 1 of 2,37,37
2,6:08.0,,J. Butler makes free throw 2 of 2,37,38
