QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
4,2:24.0,,D. Rose makes 2-pt jump shot from 8 ft,88,109
4,2:07.0,Z. Collins makes 2-pt jump shot from 10 ft (assist by C. Swanigan),,90,109
4,1:39.0,,Turnover by D. Šarić (lost ball; steal by C. Swanigan),90,109
4,1:35.0,A. Simons makes 2-pt layup from 1 ft,,92,109
4,1:23.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by G. Dieng),92,112
4,1:05.0,Z. Collins makes 3-pt jump shot from 25 ft (assist by A. Simons),,95,112
4,0:46.0,,A. Wiggins misses 3-pt jump shot from 25 ft,95,112
4,0:44.0,Defensive rebound by A. Simons,,95,112
4,0:38.0,Shooting foul by D. Šarić (drawn by A. Simons),,95,112
4,0:38.0,A. Simons misses free throw 1 of 2,,95,112
4,0:38.0,Offensive rebound by Team,,95,112
4,0:38.0,,J. Nunnally enters the game for D. Rose,95,112
4,0:38.0,,J. Okogie enters the game for A. Wiggins,95,112
4,0:38.0,A. Simons makes free throw 2 of 2,,96,112
4,0:23.0,,J. Okogie misses 3-pt jump shot from 25 ft,96,112
4,0:23.0,Defensive rebound by Team,,96,112
4,0:12.0,G. Trent misses 2-pt layup from 2 ft,,96,112
4,0:08.0,,Defensive rebound by G. Dieng,96,112
