QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
4,2:04.0,,A. Holiday makes 3-pt jump shot from 26 ft,105,90
4,1:40.0,C. LeVert misses 3-pt jump shot from 27 ft,,105,90
4,1:37.0,,Defensive rebound by K. O'Quinn,105,90
4,1:30.0,,K. O'Quinn misses 2-pt jump shot from 11 ft,105,90
4,1:27.0,,Offensive rebound by K. O'Quinn,105,90
4,1:15.0,,K. O'Quinn makes 2-pt layup from 2 ft (assist by A. Holiday),105,92
4,0:51.0,Turnover by Team (shot clock),,105,92
4,0:51.0,T. Graham enters the game for J. Harris,,105,92
4,0:51.0,R. Kurucs enters the game for D. Russell,,105,92
4,0:41.0,,K. O'Quinn makes 2-pt jump shot from 7 ft (assist by A. Holiday),105,94
4,0:19.0,T. Graham makes 3-pt jump shot from 27 ft (assist by J. Dudley),,108,94
4,0:13.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by A. Holiday),108,96
