QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
4,7:51.0,Defensive rebound by L. Stephenson,,72,90
4,7:44.0,I. Zubac misses 2-pt layup from 2 ft (block by T. Gibson),,72,90
4,7:41.0,,Defensive rebound by T. Gibson,72,90
4,7:38.0,,Shooting foul by K. Caldwell-Pope (drawn by K. Towns),72,90
4,7:38.0,T. Chandler enters the game for I. Zubac,,72,90
4,7:38.0,,J. Teague enters the game for T. Jones,72,90
4,7:38.0,,K. Towns makes free throw 1 of 2,72,91
4,7:38.0,,K. Towns makes free throw 2 of 2,72,92
4,7:24.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,75,92
4,7:13.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by K. Towns),75,94
4,6:53.0,S. Mykhailiuk misses 2-pt hook shot from 2 ft,,75,94
4,6:52.0,Offensive rebound by T. Chandler,,75,94
4,6:52.0,T. Chandler misses 2-pt layup at rim,,75,94
4,6:50.0,,Defensive rebound by K. Towns,75,94
4,6:42.0,,J. Teague misses 2-pt layup from 2 ft,75,94
4,6:40.0,,Offensive rebound by T. Gibson,75,94
4,6:39.0,,T. Gibson misses 2-pt hook shot from 2 ft,75,94
4,6:37.0,,Offensive rebound by K. Towns,75,94
4,6:36.0,,K. Towns makes 2-pt layup from 1 ft,75,96
4,6:30.0,Turnover by M. Beasley (out of bounds lost ball),,75,96
4,6:30.0,,Minnesota full timeout,75,96
4,6:21.0,,Turnover by K. Towns (3 sec),75,96
4,6:10.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,75,96
4,6:07.0,,Defensive rebound by J. Teague,75,96
4,5:59.0,,K. Towns misses 2-pt dunk from 1 ft,75,96
4,5:57.0,Defensive rebound by M. Beasley,,75,96
4,5:53.0,Turnover by M. Beasley (bad pass),,75,96
4,5:31.0,,T. Gibson makes 2-pt hook shot from 6 ft,75,98
4,5:19.0,L. Stephenson misses 3-pt jump shot from 24 ft,,75,98
4,5:18.0,,Defensive rebound by K. Towns,75,98
4,5:04.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Teague),75,100
4,5:00.0,LA Lakers full timeout,,75,100
4,5:00.0,I. Bonga enters the game for M. Beasley,,75,100
4,5:00.0,M. Wagner enters the game for K. Caldwell-Pope,,75,100
4,5:00.0,I. Zubac enters the game for T. Chandler,,75,100
4,4:49.0,M. Wagner misses 3-pt jump shot from 25 ft,,75,100
4,4:47.0,,Defensive rebound by Team,75,100
4,4:29.0,,J. Teague misses 3-pt jump shot from 25 ft,75,100
4,4:26.0,,Offensive rebound by Team,75,100
4,4:21.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),75,102
4,4:08.0,S. Mykhailiuk makes 2-pt jump shot from 14 ft,,77,102
4,3:57.0,,K. Towns makes 2-pt layup from 1 ft,77,104
4,3:40.0,M. Wagner misses 3-pt jump shot from 25 ft,,77,104
4,3:36.0,,Defensive rebound by K. Towns,77,104
4,3:18.0,,K. Towns misses 2-pt hook shot from 2 ft,77,104
4,3:17.0,Defensive rebound by Team,,77,104
4,3:17.0,,T. Jones enters the game for T. Gibson,77,104
4,3:17.0,,D. Šarić enters the game for J. Teague,77,104
4,3:01.0,M. Wagner makes 2-pt layup from 3 ft,,79,104
4,3:01.0,Shooting foul by D. Šarić (drawn by M. Wagner),,79,104
4,3:01.0,,G. Dieng enters the game for K. Towns,79,104
4,3:01.0,M. Wagner makes free throw 1 of 1,,80,104
4,2:40.0,,Turnover by D. Šarić (step out of bounds),80,104
4,2:31.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,80,104
4,2:29.0,,Defensive rebound by G. Dieng,80,104
4,2:14.0,,G. Dieng misses 2-pt layup from 2 ft (block by M. Wagner),80,104
4,2:12.0,Defensive rebound by I. Zubac,,80,104
4,2:08.0,Turnover by M. Wagner (lost ball; steal by T. Jones),,80,104
4,2:03.0,,A. Tolliver makes 3-pt jump shot from 23 ft (assist by T. Jones),80,107
4,1:45.0,I. Bonga misses 2-pt jump shot from 16 ft,,80,107
4,1:43.0,,Defensive rebound by J. Okogie,80,107
4,1:33.0,,Personal foul by M. Wagner (drawn by J. Okogie),80,107
4,1:33.0,,J. Okogie makes free throw 1 of 2,80,108
4,1:33.0,,J. Okogie misses free throw 2 of 2,80,108
4,1:31.0,Defensive rebound by M. Wagner,,80,108
4,1:28.0,Personal foul by T. Jones (drawn by L. Stephenson),,80,108
4,1:28.0,,J. Terrell enters the game for J. Okogie,80,108
4,1:28.0,L. Stephenson makes free throw 1 of 2,,81,108
4,1:28.0,L. Stephenson makes free throw 2 of 2,,82,108
4,1:10.0,,Turnover by J. Terrell (bad pass),82,108
4,0:55.0,I. Zubac makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),,84,108
4,0:37.0,,J. Terrell misses 3-pt jump shot from 24 ft,84,108
4,0:34.0,Defensive rebound by I. Zubac,,84,108
4,0:22.0,I. Zubac makes 2-pt dunk from 2 ft (assist by I. Bonga),,86,108
