QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
4,7:54.0,F. Jackson enters the game for J. Okafor,,100,112
4,7:54.0,,W. Matthews enters the game for T. Evans,100,112
4,7:54.0,,T. Young enters the game for T. Leaf,100,112
4,7:42.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,100,114
4,7:28.0,F. Jackson misses 2-pt jump shot from 13 ft,,100,114
4,7:25.0,Offensive rebound by S. Johnson,,100,114
4,7:25.0,S. Johnson misses 2-pt layup from 1 ft,,100,114
4,7:22.0,Offensive rebound by S. Johnson,,100,114
4,7:21.0,Turnover by S. Johnson (bad pass; steal by T. Young),,100,114
4,7:17.0,,W. Matthews misses 3-pt jump shot from 26 ft,100,114
4,7:13.0,Defensive rebound by C. Diallo,,100,114
4,7:09.0,S. Johnson makes 2-pt layup from 1 ft,,102,114
4,7:09.0,Shooting foul by D. Sabonis (drawn by S. Johnson),,102,114
4,7:09.0,S. Johnson misses free throw 1 of 1,,102,114
4,7:08.0,,Defensive rebound by B. Bogdanović,102,114
4,6:56.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,102,114
4,6:53.0,Defensive rebound by K. Williams,,102,114
4,6:34.0,S. Johnson misses 2-pt layup from 1 ft,,102,114
4,6:31.0,Offensive rebound by C. Diallo,,102,114
4,6:31.0,C. Diallo misses 2-pt layup from 1 ft,,102,114
4,6:30.0,,Defensive rebound by T. Young,102,114
4,6:22.0,,Shooting foul by K. Williams (drawn by D. Sabonis),102,114
4,6:22.0,,D. Sabonis makes free throw 1 of 2,102,115
4,6:22.0,,D. Sabonis misses free throw 2 of 2,102,115
4,6:19.0,Defensive rebound by K. Williams,,102,115
4,6:08.0,Turnover by S. Johnson (lost ball; steal by T. Young),,102,115
4,6:00.0,,Shooting foul by C. Diallo (drawn by D. Sabonis),102,115
4,6:00.0,,D. Sabonis misses free throw 1 of 2,102,115
4,6:00.0,,Offensive rebound by Team,102,115
4,6:00.0,,D. Sabonis misses free throw 2 of 2,102,115
4,5:59.0,Defensive rebound by C. Diallo,,102,115
4,5:47.0,Personal foul by B. Bogdanović (drawn by C. Diallo),,102,115
4,5:47.0,C. Diallo makes free throw 1 of 2,,103,115
4,5:47.0,,K. O'Quinn enters the game for D. Sabonis,103,115
4,5:47.0,C. Diallo makes free throw 2 of 2,,104,115
4,5:47.0,,Indiana full timeout,104,115
4,5:47.0,,T. Evans enters the game for B. Bogdanović,104,115
4,5:36.0,,T. Young misses 2-pt layup from 4 ft,104,115
4,5:34.0,Defensive rebound by C. Diallo,,104,115
4,5:30.0,E. Payton makes 2-pt jump shot from 1 ft,,106,115
4,5:08.0,,T. Young misses 2-pt jump shot from 4 ft,106,115
4,5:04.0,Defensive rebound by C. Diallo,,106,115
4,5:01.0,Offensive foul by S. Johnson (drawn by T. Evans),,106,115
4,5:01.0,Turnover by S. Johnson (offensive foul),,106,115
4,5:01.0,,D. Collison enters the game for C. Joseph,106,115
4,4:47.0,,W. Matthews misses 2-pt jump shot from 13 ft,106,115
4,4:44.0,Defensive rebound by C. Diallo,,106,115
4,4:37.0,E. Payton makes 2-pt layup from 1 ft,,108,115
4,4:17.0,,T. Young misses 2-pt hook shot from 6 ft,108,115
4,4:15.0,Defensive rebound by C. Diallo,,108,115
4,4:07.0,Turnover by E. Payton (lost ball; steal by K. O'Quinn),,108,115
4,4:07.0,,Personal foul by E. Payton (drawn by K. O'Quinn),108,115
4,4:07.0,,K. O'Quinn makes free throw 1 of 2,108,116
4,4:07.0,,B. Bogdanović enters the game for T. Evans,108,116
4,4:07.0,,K. O'Quinn makes free throw 2 of 2,108,117
4,3:58.0,F. Jackson misses 3-pt jump shot from 28 ft,,108,117
4,3:54.0,,Defensive rebound by K. O'Quinn,108,117
4,3:39.0,,T. Young misses 2-pt hook shot from 3 ft,108,117
4,3:36.0,,Offensive rebound by K. O'Quinn,108,117
4,3:36.0,,K. O'Quinn makes 2-pt layup at rim,108,119
4,3:24.0,Shooting foul by W. Matthews (drawn by F. Jackson),,108,119
4,3:24.0,F. Jackson misses free throw 1 of 2,,108,119
4,3:24.0,Offensive rebound by Team,,108,119
4,3:24.0,,D. Sabonis enters the game for K. O'Quinn,108,119
4,3:24.0,F. Jackson makes free throw 2 of 2,,109,119
4,3:10.0,,Personal foul by S. Johnson (drawn by B. Bogdanović),109,119
4,3:10.0,,B. Bogdanović makes free throw 1 of 2,109,120
4,3:10.0,,B. Bogdanović makes free throw 2 of 2,109,121
4,3:04.0,K. Williams misses 3-pt jump shot from 27 ft,,109,121
4,3:01.0,,Defensive rebound by W. Matthews,109,121
4,2:48.0,,D. Sabonis misses 2-pt layup from 2 ft,109,121
4,2:47.0,,Offensive rebound by T. Young,109,121
4,2:44.0,,T. Young misses 2-pt layup at rim,109,121
4,2:43.0,,Offensive rebound by T. Young,109,121
4,2:43.0,,T. Young misses 2-pt layup from 6 ft,109,121
4,2:41.0,Defensive rebound by C. Diallo,,109,121
4,2:37.0,F. Jackson misses 2-pt layup from 1 ft,,109,121
4,2:35.0,Offensive rebound by Team,,109,121
4,2:33.0,K. Williams misses 2-pt jump shot from 20 ft,,109,121
4,2:30.0,,Defensive rebound by T. Young,109,121
4,2:19.0,,B. Bogdanović makes 2-pt jump shot from 13 ft,109,123
4,2:05.0,Shooting foul by D. Sabonis (drawn by F. Jackson),,109,123
4,2:05.0,F. Jackson misses free throw 1 of 2,,109,123
4,2:05.0,Offensive rebound by Team,,109,123
4,2:05.0,J. Okafor enters the game for E. Payton,,109,123
4,2:05.0,F. Jackson makes free throw 2 of 2,,110,123
4,1:53.0,,W. Matthews misses 3-pt jump shot from 25 ft,110,123
4,1:50.0,Defensive rebound by Team,,110,123
4,1:31.0,Shooting foul by D. Sabonis (drawn by C. Diallo),,110,123
4,1:31.0,C. Diallo misses free throw 1 of 2,,110,123
4,1:31.0,Offensive rebound by Team,,110,123
4,1:31.0,C. Diallo makes free throw 2 of 2,,111,123
4,1:09.0,,Turnover by D. Collison (traveling),111,123
4,1:00.0,S. Johnson misses 2-pt layup at rim (block by D. Sabonis),,111,123
4,1:00.0,Offensive rebound by Team,,111,123
4,0:57.0,Turnover by K. Williams (bad pass; steal by B. Bogdanović),,111,123
4,0:57.0,,Personal take foul by K. Williams (drawn by T. Young),111,123
4,0:57.0,,T. Young misses free throw 1 of 2,111,123
4,0:57.0,,Offensive rebound by Team,111,123
4,0:57.0,,T. Young makes free throw 2 of 2,111,124
4,0:43.0,F. Jackson misses 2-pt layup from 1 ft,,111,124
4,0:41.0,,Defensive rebound by D. Sabonis,111,124
4,0:22.0,,D. Collison makes 2-pt jump shot from 18 ft,111,126
4,0:12.0,S. Johnson misses 3-pt jump shot from 29 ft,,111,126
4,0:09.0,,Defensive rebound by D. Sabonis,111,126
