QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
4,8:52.0,,D. Miller makes 2-pt jump shot from 6 ft (assist by J. Randle),107,97
4,8:51.0,Atlanta full timeout,,107,97
4,8:51.0,T. Prince enters the game for J. Anderson,,107,97
4,8:34.0,Personal foul by D. Miller (drawn by A. Len),,107,97
4,8:20.0,D. Dedmon makes 2-pt hook shot from 4 ft (assist by T. Young),,109,97
4,8:03.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by D. Miller),109,100
4,7:50.0,Personal foul by S. Johnson (drawn by T. Young),,109,100
4,7:50.0,Away from play foul by I. Clark (drawn by K. Huerter),,109,100
4,7:50.0,T. Young makes free throw 1 of 1,,110,100
4,7:42.0,Personal foul by C. Wood (drawn by T. Young),,110,100
4,7:42.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Huerter),,112,100
4,7:23.0,,I. Clark misses 3-pt jump shot from 25 ft,112,100
4,7:19.0,Defensive rebound by D. Dedmon,,112,100
4,7:15.0,T. Prince misses 3-pt jump shot from 26 ft,,112,100
4,7:15.0,,Defensive rebound by I. Clark,112,100
4,7:03.0,,Turnover by S. Johnson (bad pass; steal by D. Dedmon),112,100
4,6:51.0,D. Dedmon makes 2-pt layup from 2 ft,,114,100
4,6:36.0,,I. Clark makes 3-pt jump shot from 25 ft (assist by S. Johnson),114,103
4,6:19.0,T. Young makes 3-pt jump shot from 26 ft,,117,103
4,5:59.0,,D. Miller misses 2-pt jump shot from 6 ft,117,103
4,5:53.0,,Offensive rebound by J. Randle,117,103
4,5:53.0,,J. Randle makes 2-pt dunk at rim,117,105
4,5:38.0,K. Huerter misses 3-pt jump shot from 27 ft,,117,105
4,5:34.0,,Defensive rebound by J. Randle,117,105
4,5:30.0,,D. Miller misses 3-pt jump shot from 26 ft,117,105
4,5:28.0,,Offensive rebound by C. Wood,117,105
4,5:27.0,,C. Wood makes 2-pt layup from 2 ft,117,107
4,5:27.0,,Shooting foul by A. Len (drawn by C. Wood),117,107
4,5:27.0,D. Bembry enters the game for D. Dedmon,,117,107
4,5:27.0,V. Carter enters the game for K. Huerter,,117,107
4,5:27.0,,K. Williams enters the game for S. Johnson,117,107
4,5:27.0,,C. Wood makes free throw 1 of 1,117,108
4,5:13.0,T. Young makes 2-pt jump shot from 2 ft (assist by V. Carter),,119,108
4,5:02.0,,D. Miller makes 3-pt jump shot from 27 ft (assist by J. Randle),119,111
4,4:46.0,T. Young misses 3-pt jump shot from 25 ft (block by C. Wood),,119,111
4,4:43.0,Offensive rebound by D. Bembry,,119,111
4,4:42.0,D. Bembry makes 2-pt dunk from 1 ft,,121,111
4,4:31.0,,I. Clark misses 3-pt jump shot from 25 ft,121,111
4,4:31.0,Defensive rebound by D. Bembry,,121,111
4,4:31.0,K. Huerter enters the game for T. Young,,121,111
4,4:12.0,D. Bembry makes 2-pt layup from 1 ft (assist by K. Huerter),,123,111
4,3:51.0,,K. Williams makes 3-pt jump shot from 25 ft (assist by D. Miller),123,114
4,3:49.0,Atlanta full timeout,,123,114
4,3:32.0,D. Bembry misses 2-pt layup from 2 ft,,123,114
4,3:28.0,,Defensive rebound by K. Williams,123,114
4,3:14.0,,Shooting foul by V. Carter (drawn by C. Wood),123,114
4,3:14.0,,C. Wood misses free throw 1 of 2,123,114
4,3:14.0,,Offensive rebound by Team,123,114
4,3:14.0,,C. Wood makes free throw 2 of 2,123,115
4,3:01.0,V. Carter makes 3-pt jump shot from 25 ft (assist by T. Prince),,126,115
4,2:47.0,,Turnover by J. Randle (bad pass; steal by K. Huerter),126,115
4,2:41.0,K. Huerter misses 3-pt jump shot from 26 ft,,126,115
4,2:38.0,,Defensive rebound by C. Wood,126,115
4,2:29.0,,Turnover by K. Williams (bad pass; steal by A. Len),126,115
4,2:25.0,K. Huerter misses 3-pt jump shot from 23 ft,,126,115
4,2:21.0,,Defensive rebound by J. Randle,126,115
4,2:11.0,,Turnover by J. Randle (bad pass; steal by T. Prince),126,115
4,2:07.0,Turnover by T. Prince (bad pass),,126,115
4,1:50.0,,Turnover by J. Randle (out of bounds lost ball),126,115
4,1:50.0,T. Young enters the game for D. Bembry,,126,115
4,1:37.0,Turnover by V. Carter (bad pass; steal by K. Williams),,126,115
4,1:29.0,,Personal foul by K. Huerter (drawn by J. Randle),126,115
4,1:29.0,,J. Randle misses free throw 1 of 2,126,115
4,1:29.0,,Offensive rebound by Team,126,115
4,1:29.0,,J. Randle makes free throw 2 of 2,126,116
4,1:16.0,T. Young misses 3-pt jump shot from 27 ft,,126,116
4,1:13.0,,Defensive rebound by D. Miller,126,116
4,1:07.0,,C. Wood makes 2-pt dunk from 1 ft (assist by K. Williams),126,118
4,0:44.0,T. Young misses 2-pt layup from 7 ft (block by C. Wood),,126,118
4,0:41.0,,Defensive rebound by D. Miller,126,118
4,0:39.0,,Shooting foul by T. Prince (drawn by I. Clark),126,118
4,0:39.0,,I. Clark makes free throw 1 of 2,126,119
4,0:39.0,,I. Clark makes free throw 2 of 2,126,120
4,0:34.0,Personal take foul by J. Randle (drawn by T. Young),,126,120
4,0:34.0,T. Young makes free throw 1 of 2,,127,120
4,0:34.0,T. Young makes free throw 2 of 2,,128,120
4,0:34.0,,New Orleans full timeout,128,120
4,0:34.0,J. Anderson enters the game for A. Len,,128,120
4,0:34.0,D. Bembry enters the game for T. Young,,128,120
4,0:29.0,,D. Miller misses 3-pt jump shot from 26 ft,128,120
4,0:24.0,Defensive rebound by D. Bembry,,128,120
4,0:08.0,Personal take foul by I. Clark (drawn by T. Prince),,128,120
4,0:08.0,T. Prince makes free throw 1 of 2,,129,120
4,0:08.0,T. Prince makes free throw 2 of 2,,130,120
4,0:01.0,,C. Wood misses 3-pt jump shot from 26 ft,130,120
4,0:01.0,,Offensive rebound by Team,130,120
