QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
4,8:44.0,,T. Burke misses 2-pt layup from 1 ft (block by J. Bolden),83,102
4,8:43.0,,Offensive rebound by D. Macon,83,102
4,8:43.0,,Personal foul by B. Simmons (drawn by D. Macon),83,102
4,8:43.0,M. Scott enters the game for J. Ennis,,83,102
4,8:37.0,,T. Burke misses 2-pt layup from 4 ft,83,102
4,8:35.0,Defensive rebound by M. Scott,,83,102
4,8:24.0,Personal foul by D. Macon (drawn by B. Simmons),,83,102
4,8:23.0,Turnover by T. Harris (step out of bounds),,83,102
4,8:13.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by T. Burke),83,105
4,8:12.0,Philadelphia full timeout,,83,105
4,8:12.0,S. Milton enters the game for J. Redick,,83,105
4,7:52.0,Shooting foul by D. Finney-Smith (drawn by T. Harris),,83,105
4,7:52.0,T. Harris makes free throw 1 of 2,,84,105
4,7:52.0,T. Harris makes free throw 2 of 2,,85,105
4,7:36.0,,Personal foul by S. Milton (drawn by D. Powell),85,105
4,7:36.0,,R. Broekhoff enters the game for D. Powell,85,105
4,7:30.0,,Shooting foul by M. Scott (drawn by T. Burke),85,105
4,7:30.0,,T. Burke makes free throw 1 of 2,85,106
4,7:30.0,,T. Burke makes free throw 2 of 2,85,107
4,7:12.0,Turnover by B. Simmons (bad pass; steal by M. Kleber),,85,107
4,7:05.0,,D. Macon misses 3-pt jump shot from 25 ft,85,107
4,7:02.0,Defensive rebound by T. Harris,,85,107
4,6:54.0,B. Simmons misses 2-pt layup from 3 ft,,85,107
4,6:52.0,Offensive rebound by B. Simmons,,85,107
4,6:45.0,S. Milton misses 3-pt jump shot from 26 ft,,85,107
4,6:41.0,,Defensive rebound by T. Burke,85,107
4,6:29.0,,M. Kleber misses 3-pt jump shot from 25 ft,85,107
4,6:29.0,Defensive rebound by B. Simmons,,85,107
4,6:20.0,B. Simmons makes 2-pt layup at rim,,87,107
4,6:00.0,,D. Finney-Smith misses 2-pt layup from 2 ft,87,107
4,5:58.0,Defensive rebound by B. Simmons,,87,107
4,5:57.0,Personal take foul by M. Kleber (drawn by B. Simmons),,87,107
4,5:57.0,H. Highsmith enters the game for T. Harris,,87,107
4,5:57.0,T. McConnell enters the game for M. Scott,,87,107
4,5:57.0,Z. Smith enters the game for B. Simmons,,87,107
4,5:57.0,,J. Jackson enters the game for M. Kleber,87,107
4,5:57.0,,D. Powell enters the game for D. Macon,87,107
4,5:46.0,T. McConnell misses 2-pt jump shot from 15 ft,,87,107
4,5:43.0,,Defensive rebound by J. Jackson,87,107
4,5:41.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by J. Jackson),87,109
4,5:41.0,Philadelphia full timeout,,87,109
4,5:41.0,,S. Mejri enters the game for D. Powell,87,109
4,5:24.0,T. McConnell makes 2-pt layup from 3 ft (assist by Z. Smith),,89,109
4,5:03.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),89,112
4,4:48.0,H. Highsmith misses 3-pt jump shot from 23 ft,,89,112
4,4:46.0,,Defensive rebound by Team,89,112
4,4:46.0,A. Johnson enters the game for J. Bolden,,89,112
4,4:46.0,,D. Macon enters the game for D. Finney-Smith,89,112
4,4:30.0,,R. Broekhoff misses 3-pt jump shot from 22 ft,89,112
4,4:25.0,Defensive rebound by A. Johnson,,89,112
4,4:20.0,T. McConnell makes 2-pt layup from 1 ft,,91,112
4,4:01.0,,S. Mejri makes 3-pt jump shot from 24 ft (assist by J. Jackson),91,115
4,4:00.0,Philadelphia full timeout,,91,115
4,4:00.0,J. Simmons enters the game for S. Milton,,91,115
4,3:47.0,H. Highsmith makes 2-pt jump shot from 6 ft (assist by J. Simmons),,93,115
4,3:35.0,,Personal foul by H. Highsmith (drawn by R. Broekhoff),93,115
4,3:35.0,,R. Broekhoff misses free throw 1 of 2,93,115
4,3:35.0,,Offensive rebound by Team,93,115
4,3:35.0,,R. Broekhoff makes free throw 2 of 2,93,116
4,3:27.0,T. McConnell misses 2-pt jump shot from 16 ft,,93,116
4,3:24.0,,Defensive rebound by R. Broekhoff,93,116
4,3:22.0,,R. Broekhoff misses 2-pt layup at rim (block by Z. Smith),93,116
4,3:21.0,,Offensive rebound by Team,93,116
4,3:09.0,,T. Burke misses 2-pt layup from 9 ft (block by T. McConnell),93,116
4,3:06.0,Defensive rebound by T. McConnell,,93,116
4,3:03.0,J. Simmons misses 2-pt jump shot from 17 ft,,93,116
4,2:59.0,,Defensive rebound by S. Mejri,93,116
4,2:53.0,,Shooting foul by Z. Smith (drawn by S. Mejri),93,116
4,2:53.0,,Offensive rebound by Team,93,116
4,2:53.0,,S. Mejri misses free throw 1 of 2,93,116
4,2:53.0,,S. Mejri misses free throw 2 of 2,93,116
4,2:51.0,Defensive rebound by A. Johnson,,93,116
4,2:40.0,A. Johnson makes 2-pt layup from 3 ft (assist by J. Simmons),,95,116
4,2:18.0,,T. Burke makes 2-pt jump shot from 18 ft,95,118
4,2:02.0,T. McConnell makes 2-pt jump shot from 9 ft,,97,118
4,1:52.0,,D. Macon misses 2-pt jump shot from 20 ft,97,118
4,1:49.0,Defensive rebound by H. Highsmith,,97,118
4,1:44.0,H. Highsmith misses 2-pt jump shot from 2 ft (block by S. Mejri),,97,118
4,1:42.0,,Defensive rebound by R. Broekhoff,97,118
4,1:42.0,S. Milton enters the game for Z. Smith,,97,118
4,1:32.0,,S. Mejri makes 2-pt dunk at rim (assist by D. Macon),97,120
4,1:32.0,,Shooting foul by A. Johnson (drawn by S. Mejri),97,120
4,1:32.0,,S. Mejri misses free throw 1 of 1,97,120
4,1:30.0,Defensive rebound by H. Highsmith,,97,120
4,1:23.0,T. McConnell makes 2-pt jump shot from 11 ft,,99,120
4,1:11.0,,Shooting foul by A. Johnson (drawn by S. Mejri),99,120
4,1:11.0,,S. Mejri makes free throw 1 of 2,99,121
4,1:11.0,,S. Mejri makes free throw 2 of 2,99,122
4,0:58.0,T. McConnell makes 3-pt jump shot from 23 ft (assist by J. Simmons),,102,122
4,0:44.0,,Turnover by D. Macon (traveling),102,122
4,0:33.0,A. Johnson misses 3-pt jump shot from 25 ft,,102,122
4,0:30.0,,Defensive rebound by Team,102,122
4,0:06.0,,Turnover by Team (shot clock),102,122
