QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
2,8:10.0,,D. Wright makes 2-pt layup from 1 ft,38,43
2,8:01.0,S. Livingston misses 2-pt layup at rim,,38,43
2,7:58.0,,Defensive rebound by J. Washburn,38,43
2,7:54.0,,C. Parsons makes 2-pt jump shot from 19 ft,38,45
2,7:35.0,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Cousins),,41,45
2,7:27.0,,Memphis full timeout,41,45
2,7:27.0,K. Durant enters the game for A. Iguodala,,41,45
2,7:27.0,,M. Conley enters the game for C. Parsons,41,45
2,7:27.0,,T. Dorsey enters the game for I. Rabb,41,45
2,7:27.0,,J. Holiday enters the game for J. Washburn,41,45
2,7:27.0,,J. Valančiūnas enters the game for D. Wright,41,45
2,7:20.0,,M. Conley misses 2-pt jump shot from 9 ft,41,45
2,7:17.0,,Offensive rebound by B. Caboclo,41,45
2,7:17.0,,B. Caboclo makes 2-pt layup at rim,41,47
2,7:15.0,D. Cousins misses 2-pt jump shot from 20 ft,,41,47
2,6:57.0,Offensive rebound by K. Durant,,41,47
2,6:55.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by S. Livingston),,44,47
2,6:38.0,,T. Dorsey misses 2-pt jump shot from 8 ft,44,47
2,6:35.0,Defensive rebound by S. Livingston,,44,47
2,6:31.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Livingston),,47,47
2,6:04.0,,J. Valančiūnas misses 2-pt jump shot from 12 ft,47,47
2,6:04.0,,Offensive rebound by Team,47,47
2,6:04.0,,Turnover by Team (shot clock),47,47
2,5:44.0,D. Cousins misses 2-pt layup from 1 ft (block by B. Caboclo),,47,47
2,5:41.0,,Defensive rebound by B. Caboclo,47,47
2,5:36.0,,J. Holiday misses 3-pt jump shot from 23 ft,47,47
2,5:34.0,,Offensive rebound by J. Valančiūnas,47,47
2,5:32.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),47,50
2,5:11.0,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Cousins),,50,50
2,4:53.0,,M. Conley misses 3-pt jump shot from 23 ft,50,50
2,4:50.0,,Offensive rebound by J. Holiday,50,50
2,4:50.0,,J. Holiday misses 2-pt layup at rim,50,50
2,4:49.0,Defensive rebound by K. Durant,,50,50
2,4:41.0,S. Livingston misses 2-pt jump shot from 12 ft,,50,50
2,4:37.0,,Defensive rebound by J. Valančiūnas,50,50
2,4:35.0,,T. Dorsey makes 2-pt layup from 1 ft (assist by M. Conley),50,52
2,4:35.0,,Shooting foul by D. Cousins (drawn by T. Dorsey),50,52
2,4:35.0,S. Curry enters the game for Q. Cook,,50,52
2,4:35.0,D. Green enters the game for S. Livingston,,50,52
2,4:35.0,A. Iguodala enters the game for K. Thompson,,50,52
2,4:35.0,,T. Dorsey makes free throw 1 of 1,50,53
2,4:35.0,,D. Wright enters the game for B. Caboclo,50,53
2,4:12.0,S. Curry misses 3-pt jump shot from 26 ft,,50,53
2,4:09.0,,Defensive rebound by J. Holiday,50,53
2,3:55.0,,Turnover by J. Valančiūnas (lost ball; steal by D. Cousins),50,53
2,3:50.0,Shooting foul by T. Dorsey (drawn by D. Green),,50,53
2,3:50.0,D. Green makes free throw 1 of 2,,51,53
2,3:50.0,,C. Parsons enters the game for T. Dorsey,51,53
2,3:50.0,D. Green misses free throw 2 of 2,,51,53
