QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
4,2:05.0,A. Ingram enters the game for J. Hart,,121,105
4,2:05.0,,A. Blakeney enters the game for R. Arcidiacono,121,105
4,2:05.0,,C. Felício enters the game for K. Dunn,121,105
4,2:05.0,,S. Harrison enters the game for R. Lopez,121,105
4,2:05.0,,T. Luwawu-Cabarrot enters the game for L. Markkanen,121,105
4,2:05.0,,B. Sampson enters the game for O. Porter,121,105
4,1:51.0,,C. Felício misses 2-pt layup from 2 ft,121,105
4,1:48.0,,Offensive rebound by C. Felício,121,105
4,1:48.0,,C. Felício misses 2-pt layup from 1 ft (block by J. McGee),121,105
4,1:48.0,,Offensive rebound by Team,121,105
4,1:42.0,,S. Harrison makes 2-pt layup from 1 ft,121,107
4,1:42.0,Violation by Team (def goaltending),,121,107
4,1:21.0,Personal foul by A. Blakeney (drawn by A. Ingram),,121,107
4,1:15.0,A. Ingram misses 2-pt jump shot from 17 ft,,121,107
4,1:13.0,Offensive rebound by J. McGee,,121,107
4,1:12.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,121,107
4,1:09.0,,Defensive rebound by A. Blakeney,121,107
4,1:00.0,,B. Sampson misses 3-pt jump shot from 24 ft,121,107
4,0:57.0,Defensive rebound by K. Kuzma,,121,107
4,0:38.0,K. Kuzma misses 3-pt jump shot from 25 ft,,121,107
4,0:36.0,,Defensive rebound by A. Blakeney,121,107
4,0:27.0,,Turnover by A. Blakeney (lost ball; steal by K. Caldwell-Pope),121,107
4,0:26.0,K. Caldwell-Pope makes 2-pt dunk from 1 ft,,123,107
4,0:20.0,,S. Harrison misses 2-pt layup from 2 ft,123,107
4,0:20.0,Defensive rebound by K. Kuzma,,123,107
