QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
4,2:25.0,,M. Beasley misses 2-pt dunk from 3 ft (block by K. Olynyk),83,100
4,2:21.0,Defensive rebound by J. Winslow,,83,100
4,2:20.0,Turnover by J. Winslow (bad pass; steal by J. Murray),,83,100
4,2:15.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by J. Murray),83,103
4,1:53.0,J. Winslow makes 2-pt dunk from 1 ft (assist by J. Richardson),,85,103
4,1:53.0,,Denver full timeout,85,103
4,1:53.0,R. Anderson enters the game for K. Olynyk,,85,103
4,1:53.0,R. McGruder enters the game for J. Richardson,,85,103
4,1:53.0,D. Robinson enters the game for D. Waiters,,85,103
4,1:53.0,,T. Craig enters the game for W. Barton,85,103
4,1:53.0,,J. Hernangómez enters the game for M. Beasley,85,103
4,1:53.0,,T. Lyles enters the game for N. Jokić,85,103
4,1:53.0,,M. Morris enters the game for J. Murray,85,103
4,1:53.0,,J. Vanderbilt enters the game for M. Plumlee,85,103
4,1:31.0,,M. Morris misses 2-pt jump shot from 20 ft (block by J. Johnson),85,103
4,1:26.0,Defensive rebound by J. Winslow,,85,103
4,1:23.0,D. Robinson misses 3-pt jump shot from 24 ft,,85,103
4,1:21.0,,Defensive rebound by T. Craig,85,103
4,1:17.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,85,103
4,1:13.0,Defensive rebound by R. McGruder,,85,103
4,0:56.0,R. McGruder makes 2-pt jump shot from 10 ft (assist by R. Anderson),,87,103
4,0:45.0,,T. Lyles misses 3-pt jump shot from 25 ft,87,103
4,0:41.0,Defensive rebound by D. Robinson,,87,103
4,0:33.0,J. Winslow misses 2-pt jump shot from 24 ft,,87,103
4,0:29.0,,Defensive rebound by J. Vanderbilt,87,103
4,0:11.0,,J. Vanderbilt misses 2-pt jump shot from 18 ft,87,103
4,0:08.0,Defensive rebound by D. Robinson,,87,103
