QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
4,1:53.0,P. George makes free throw 1 of 2,,109,104
4,1:53.0,P. George makes free throw 2 of 2,,110,104
4,1:40.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by K. Leonard),110,106
4,1:18.0,R. Westbrook misses 3-pt jump shot from 23 ft (block by F. VanVleet),,110,106
4,1:17.0,Offensive rebound by R. Westbrook,,110,106
4,1:16.0,R. Westbrook misses 3-pt jump shot from 24 ft,,110,106
4,1:16.0,Offensive rebound by Team,,110,106
4,1:16.0,Turnover by Team (shot clock),,110,106
4,1:02.0,,Offensive foul by K. Leonard (drawn by R. Westbrook),110,106
4,1:02.0,,Turnover by K. Leonard (offensive foul),110,106
4,0:52.0,Personal foul by P. Siakam (drawn by R. Westbrook),,110,106
4,0:52.0,R. Westbrook makes free throw 1 of 2,,111,106
4,0:52.0,R. Westbrook makes free throw 2 of 2,,112,106
4,0:52.0,,Toronto full timeout,112,106
4,0:48.0,,D. Green misses 3-pt jump shot from 23 ft,112,106
4,0:46.0,Defensive rebound by R. Westbrook,,112,106
4,0:29.0,D. Schröder makes 2-pt layup from 2 ft,,114,106
4,0:20.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by F. VanVleet),114,109
4,0:19.0,Personal foul by P. Siakam (drawn by R. Westbrook),,114,109
4,0:19.0,R. Westbrook makes free throw 1 of 2,,115,109
4,0:19.0,R. Westbrook makes free throw 2 of 2,,116,109
4,0:19.0,,Toronto full timeout,116,109
4,0:12.0,,F. VanVleet misses 3-pt jump shot from 28 ft,116,109
4,0:10.0,Defensive rebound by R. Westbrook,,116,109
