QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
4,2:51.0,C. Payne misses 3-pt jump shot from 28 ft,,99,139
4,2:51.0,Offensive rebound by A. Žižić,,99,139
4,2:51.0,A. Žižić makes 2-pt layup from 2 ft,,101,139
4,2:51.0,Shooting foul by M. Chriss (drawn by A. Žižić),,101,139
4,2:51.0,Cleveland full timeout,,101,139
4,2:51.0,A. Žižić makes free throw 1 of 1,,102,139
4,2:33.0,,G. Clark misses 2-pt hook shot from 7 ft,102,139
4,2:32.0,,Offensive rebound by M. Chriss,102,139
4,2:32.0,,Turnover by M. Chriss (step out of bounds),102,139
4,2:16.0,C. Payne makes 2-pt layup from 2 ft,,104,139
4,2:01.0,,Shooting foul by J. Jones (drawn by B. Knight),104,139
4,2:01.0,,B. Knight makes free throw 1 of 2,104,140
4,2:01.0,,B. Knight makes free throw 2 of 2,104,141
4,1:41.0,A. Žižić makes 2-pt layup from 3 ft (assist by C. Sexton),,106,141
4,1:30.0,,Turnover by J. Ennis (lost ball; steal by C. Payne),106,141
4,1:22.0,Shooting foul by M. Chriss (drawn by C. Sexton),,106,141
4,1:22.0,C. Sexton makes free throw 1 of 2,,107,141
4,1:22.0,C. Sexton makes free throw 2 of 2,,108,141
4,1:17.0,,Turnover by B. Knight (bad pass; steal by C. Payne),108,141
4,1:17.0,Personal foul by B. Knight (drawn by C. Payne),,108,141
4,1:17.0,C. Payne makes free throw 1 of 2,,109,141
4,1:17.0,C. Payne makes free throw 2 of 2,,110,141
4,1:03.0,,D. House misses 3-pt jump shot from 26 ft,110,141
4,1:00.0,Defensive rebound by J. Blossomgame,,110,141
4,0:54.0,C. Payne misses 3-pt jump shot from 30 ft,,110,141
4,0:52.0,Offensive rebound by A. Žižić,,110,141
4,0:52.0,A. Žižić makes 2-pt layup from 3 ft,,112,141
4,0:52.0,Shooting foul by D. House (drawn by A. Žižić),,112,141
4,0:52.0,A. Žižić makes free throw 1 of 1,,113,141
4,0:42.0,,M. Chriss misses 2-pt layup from 4 ft (block by J. Jones),113,141
4,0:40.0,Defensive rebound by C. Sexton,,113,141
4,0:37.0,C. Sexton misses 2-pt layup from 5 ft,,113,141
4,0:34.0,,Defensive rebound by D. House,113,141
4,0:30.0,,Turnover by D. House (bad pass; steal by C. Payne),113,141
4,0:24.0,J. Jones misses 3-pt jump shot from 26 ft,,113,141
4,0:21.0,,Defensive rebound by G. Clark,113,141
4,0:01.0,,M. Chriss misses 3-pt jump shot from 32 ft,113,141
4,0:00.0,Defensive rebound by Team,,113,141
