QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
4,4:19.0,,D. Cunningham enters the game for D. Bertāns,88,111
4,4:19.0,,D. Eubanks enters the game for B. Forbes,88,111
4,3:57.0,,Q. Pondexter makes 3-pt jump shot from 25 ft (assist by J. Poeltl),88,114
4,3:45.0,,Violation by Team (kicked ball),88,114
4,3:39.0,J. Bayless misses 3-pt jump shot from 26 ft,,88,114
4,3:36.0,,Defensive rebound by D. White,88,114
4,3:24.0,,J. Poeltl makes 2-pt jump shot from 10 ft (assist by Q. Pondexter),88,116
4,3:03.0,G. Dieng misses 2-pt hook shot from 10 ft,,88,116
4,3:01.0,,Defensive rebound by D. Eubanks,88,116
4,2:42.0,,D. Cunningham makes 2-pt layup from 6 ft (assist by Q. Pondexter),88,118
4,2:18.0,J. Nunnally makes 3-pt jump shot from 25 ft (assist by G. Dieng),,91,118
4,2:00.0,,Shooting foul by J. Nunnally (drawn by D. Eubanks),91,118
4,2:00.0,,D. Eubanks misses free throw 1 of 2,91,118
4,2:00.0,,Offensive rebound by Team,91,118
4,2:00.0,,D. Eubanks makes free throw 2 of 2,91,119
4,1:48.0,J. Bayless makes 2-pt jump shot from 5 ft,,93,119
4,1:30.0,,J. Poeltl misses 2-pt hook shot from 6 ft,93,119
4,1:28.0,,Offensive rebound by J. Poeltl,93,119
4,1:22.0,,D. White misses 3-pt jump shot from 28 ft,93,119
4,1:22.0,,Offensive rebound by D. Cunningham,93,119
4,1:21.0,,D. Cunningham misses 2-pt layup from 1 ft,93,119
4,1:21.0,,Offensive rebound by D. Cunningham,93,119
4,1:21.0,,Shooting foul by G. Dieng (drawn by D. Cunningham),93,119
4,1:21.0,,D. Cunningham makes free throw 1 of 2,93,120
4,1:21.0,,D. Cunningham misses free throw 2 of 2,93,120
4,1:18.0,Defensive rebound by J. Nunnally,,93,120
4,1:10.0,J. Nunnally makes 3-pt jump shot from 26 ft (assist by J. Bayless),,96,120
4,0:51.0,,Q. Pondexter makes 2-pt layup from 6 ft (assist by D. White),96,122
4,0:44.0,A. Tolliver misses 3-pt jump shot from 27 ft,,96,122
4,0:39.0,,Defensive rebound by D. Cunningham,96,122
4,0:21.0,,J. Poeltl makes 2-pt jump shot from 19 ft (assist by D. White),96,124
4,0:12.0,J. Okogie misses 3-pt jump shot from 27 ft,,96,124
4,0:10.0,Offensive rebound by J. Okogie,,96,124
4,0:10.0,Shooting foul by D. Cunningham (drawn by J. Okogie),,96,124
4,0:10.0,J. Okogie makes free throw 1 of 2,,97,124
4,0:10.0,J. Okogie makes free throw 2 of 2,,98,124
