QUARTER,TIME_REMAINING,NEW YORK_ACTION,HOUSTON_ACTION,NEW YORK_SCORE,HOUSTON_SCORE
4,4:05.0,,K. Faried misses 2-pt layup from 1 ft,86,112
4,4:03.0,Defensive rebound by H. Ellenson,,86,112
4,4:03.0,Turnover by H. Ellenson (bad pass),,86,112
4,3:54.0,,G. Clark makes 3-pt jump shot from 27 ft,86,115
4,3:35.0,Turnover by L. Kornet (bad pass; steal by G. Clark),,86,115
4,3:29.0,,Turnover by A. Rivers (lost ball; steal by B. Garrett),86,115
4,3:24.0,M. Hezonja makes 2-pt dunk at rim (assist by B. Garrett),,88,115
4,3:08.0,,C. Chiozza misses 2-pt layup from 6 ft (block by L. Kornet),88,115
4,3:06.0,Defensive rebound by L. Kornet,,88,115
4,2:56.0,L. Kornet misses 3-pt jump shot from 28 ft,,88,115
4,2:55.0,,Defensive rebound by A. Rivers,88,115
4,2:45.0,,C. Chiozza makes 3-pt jump shot from 28 ft (assist by G. Green),88,118
4,2:21.0,B. Garrett makes 2-pt layup from 2 ft (assist by L. Kornet),,90,118
4,2:07.0,,G. Clark misses 3-pt jump shot from 23 ft,90,118
4,2:06.0,Defensive rebound by M. Hezonja,,90,118
4,1:42.0,Shooting foul by K. Faried (drawn by B. Garrett),,90,118
4,1:42.0,B. Garrett makes free throw 1 of 2,,91,118
4,1:42.0,B. Garrett makes free throw 2 of 2,,92,118
4,1:34.0,,C. Chiozza misses 3-pt jump shot from 26 ft,92,118
4,1:33.0,Defensive rebound by H. Ellenson,,92,118
4,1:25.0,H. Ellenson makes 2-pt jump shot from 2 ft,,94,118
4,1:15.0,,K. Faried misses 2-pt layup from 3 ft,94,118
4,1:14.0,,Offensive rebound by G. Green,94,118
4,1:12.0,,Offensive foul by K. Faried (drawn by H. Ellenson),94,118
4,1:12.0,,Turnover by K. Faried (offensive foul),94,118
4,1:03.0,M. Hezonja misses 2-pt layup from 2 ft,,94,118
4,1:00.0,,Defensive rebound by G. Clark,94,118
4,0:43.0,,K. Faried makes 2-pt jump shot from 4 ft,94,120
4,0:32.0,Turnover by M. Hezonja (bad pass),,94,120
4,0:20.0,,G. Green misses 2-pt layup from 1 ft,94,120
4,0:18.0,Defensive rebound by H. Ellenson,,94,120
4,0:15.0,Shooting foul by G. Clark (drawn by H. Ellenson),,94,120
4,0:15.0,H. Ellenson makes free throw 1 of 2,,95,120
4,0:15.0,H. Ellenson makes free throw 2 of 2,,96,120
