QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
4,7:18.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by G. Harris),89,92
4,6:55.0,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,,89,92
4,6:53.0,Offensive rebound by J. Harris,,89,92
4,6:53.0,J. Harris makes 2-pt layup from 2 ft,,91,92
4,6:53.0,Shooting foul by M. Morris (drawn by J. Harris),,91,92
4,6:53.0,J. Allen enters the game for A. Crabbe,,91,92
4,6:53.0,D. Russell enters the game for S. Dinwiddie,,91,92
4,6:53.0,,N. Jokić enters the game for M. Morris,91,92
4,6:53.0,,J. Murray enters the game for M. Plumlee,91,92
4,6:53.0,J. Harris makes free throw 1 of 1,,92,92
4,6:41.0,,Shooting foul by R. Hollis-Jefferson (drawn by T. Lyles),92,92
4,6:41.0,,T. Lyles makes free throw 1 of 2,92,93
4,6:41.0,J. Dudley enters the game for R. Hollis-Jefferson,,92,93
4,6:41.0,,T. Lyles misses free throw 2 of 2,92,93
4,6:39.0,Defensive rebound by J. Allen,,92,93
4,6:30.0,C. LeVert makes 2-pt jump shot from 10 ft,,94,93
4,6:13.0,,Personal foul by D. Russell (drawn by N. Jokić),94,93
4,6:13.0,,N. Jokić misses free throw 1 of 2,94,93
4,6:13.0,,Offensive rebound by Team,94,93
4,6:13.0,,N. Jokić makes free throw 2 of 2,94,94
4,5:59.0,Personal foul by G. Harris (drawn by J. Allen),,94,94
4,5:59.0,J. Allen misses free throw 1 of 2,,94,94
4,5:59.0,Offensive rebound by Team,,94,94
4,5:59.0,J. Allen makes free throw 2 of 2,,95,94
4,5:49.0,,N. Jokić misses 2-pt jump shot from 6 ft,95,94
4,5:46.0,Defensive rebound by J. Harris,,95,94
4,5:37.0,D. Russell makes 2-pt layup from 1 ft,,97,94
4,5:37.0,Shooting foul by J. Murray (drawn by D. Russell),,97,94
4,5:37.0,,Denver full timeout,97,94
4,5:37.0,,P. Millsap enters the game for T. Lyles,97,94
4,5:37.0,D. Russell misses free throw 1 of 1,,97,94
4,5:37.0,,Defensive rebound by P. Millsap,97,94
4,5:27.0,,Personal foul by J. Allen (drawn by N. Jokić),97,94
4,5:27.0,,N. Jokić makes free throw 1 of 2,97,95
4,5:27.0,,N. Jokić makes free throw 2 of 2,97,96
4,5:13.0,Offensive foul by D. Russell (drawn by J. Murray),,97,96
4,5:13.0,Turnover by D. Russell (offensive foul),,97,96
4,5:05.0,,Personal foul by J. Harris (drawn by G. Harris),97,96
4,5:05.0,,G. Harris makes free throw 1 of 2,97,97
4,5:05.0,S. Dinwiddie enters the game for J. Harris,,97,97
4,5:05.0,,G. Harris makes free throw 2 of 2,97,98
4,4:51.0,D. Russell makes 2-pt jump shot from 10 ft,,99,98
4,4:28.0,,N. Jokić misses 2-pt layup from 1 ft,99,98
4,4:27.0,,Offensive rebound by N. Jokić,99,98
4,4:18.0,,P. Millsap makes 2-pt layup from 2 ft,99,100
4,4:03.0,Personal foul by M. Beasley (drawn by J. Allen),,99,100
4,4:03.0,J. Allen misses free throw 1 of 2,,99,100
4,4:03.0,Offensive rebound by Team,,99,100
4,4:03.0,J. Allen misses free throw 2 of 2,,99,100
4,4:01.0,,Defensive rebound by J. Murray,99,100
4,3:46.0,,N. Jokić misses 2-pt jump shot from 15 ft,99,100
4,3:45.0,,Offensive rebound by Team,99,100
4,3:45.0,Loose ball foul by J. Dudley (drawn by P. Millsap),,99,100
4,3:45.0,,P. Millsap makes free throw 1 of 2,99,101
4,3:45.0,,P. Millsap makes free throw 2 of 2,99,102
4,3:35.0,D. Russell makes 3-pt jump shot from 25 ft,,102,102
4,3:19.0,,J. Murray misses 2-pt jump shot from 12 ft,102,102
4,3:19.0,Defensive rebound by Team,,102,102
4,3:19.0,,Loose ball foul by N. Jokić (drawn by C. LeVert),102,102
4,3:19.0,C. LeVert misses free throw 1 of 2,,102,102
4,3:19.0,Offensive rebound by Team,,102,102
4,3:19.0,C. LeVert misses free throw 2 of 2,,102,102
4,3:17.0,Offensive rebound by J. Allen,,102,102
4,3:16.0,J. Allen makes 2-pt dunk from 1 ft,,104,102
4,3:16.0,,Denver full timeout,104,102
4,3:00.0,,Turnover by G. Harris (lost ball; steal by C. LeVert),104,102
4,2:54.0,C. LeVert misses 2-pt layup from 2 ft,,104,102
4,2:51.0,,Defensive rebound by M. Beasley,104,102
4,2:47.0,,Personal foul by C. LeVert (drawn by J. Murray),104,102
4,2:47.0,,J. Murray makes free throw 1 of 2,104,103
4,2:47.0,,J. Murray makes free throw 2 of 2,104,104
4,2:34.0,D. Russell misses 2-pt jump shot from 5 ft,,104,104
4,2:32.0,Offensive rebound by J. Allen,,104,104
4,2:30.0,J. Allen misses 2-pt hook shot from 2 ft,,104,104
4,2:28.0,,Defensive rebound by N. Jokić,104,104
4,2:19.0,,J. Murray misses 2-pt jump shot from 14 ft,104,104
4,2:16.0,Defensive rebound by S. Dinwiddie,,104,104
4,1:55.0,C. LeVert makes 2-pt jump shot from 8 ft,,106,104
4,1:44.0,,J. Murray makes 2-pt jump shot from 18 ft,106,106
4,1:28.0,J. Allen misses 2-pt layup from 1 ft (block by N. Jokić),,106,106
4,1:25.0,,Defensive rebound by N. Jokić,106,106
4,1:23.0,,M. Beasley makes 2-pt jump shot from 3 ft (assist by N. Jokić),106,108
4,1:23.0,Brooklyn full timeout,,106,108
4,1:13.0,J. Allen misses 2-pt hook shot from 3 ft,,106,108
4,1:11.0,,Defensive rebound by P. Millsap,106,108
4,1:03.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by J. Murray),106,110
4,0:56.0,Shooting foul by J. Murray (drawn by S. Dinwiddie),,106,110
4,0:56.0,S. Dinwiddie makes free throw 1 of 2,,107,110
4,0:56.0,S. Dinwiddie makes free throw 2 of 2,,108,110
4,0:44.0,,J. Murray misses 2-pt jump shot from 16 ft,108,110
4,0:39.0,Defensive rebound by J. Dudley,,108,110
4,0:29.0,J. Allen makes 2-pt dunk from 2 ft (assist by C. LeVert),,110,110
4,0:29.0,,Denver full timeout,110,110
4,0:29.0,J. Harris enters the game for D. Russell,,110,110
4,0:22.0,,Turnover by N. Jokić (traveling),110,110
4,0:22.0,,M. Plumlee enters the game for N. Jokić,110,110
4,0:22.0,Brooklyn full timeout,,110,110
4,0:22.0,A. Crabbe enters the game for J. Allen,,110,110
4,0:01.0,C. LeVert makes 2-pt jump shot from 12 ft,,112,110
4,0:00.0,,Denver full timeout,112,110
4,0:00.0,J. Allen enters the game for A. Crabbe,,112,110
4,0:00.0,,N. Jokić enters the game for M. Plumlee,112,110
4,0:00.0,,M. Beasley misses 3-pt jump shot from 28 ft,112,110
4,0:00.0,,Offensive rebound by Team,112,110
