QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
4,0:21.0,,Personal take foul by L. Galloway (drawn by A. Holiday),100,107
4,0:21.0,,A. Holiday makes free throw 1 of 2,100,108
4,0:21.0,,T. Young enters the game for D. McDermott,100,108
4,0:21.0,,A. Holiday misses free throw 2 of 2,100,108
4,0:21.0,Defensive rebound by A. Drummond,,100,108
4,0:21.0,Detroit full timeout,,100,108
4,0:21.0,,C. Joseph enters the game for A. Holiday,100,108
4,0:19.0,W. Ellington misses 3-pt jump shot from 24 ft,,100,108
4,0:17.0,Offensive rebound by A. Drummond,,100,108
4,0:16.0,A. Drummond makes 2-pt dunk at rim,,102,108
4,0:16.0,,Indiana full timeout,102,108
4,0:16.0,,A. Holiday enters the game for C. Joseph,102,108
4,0:16.0,,D. McDermott enters the game for T. Young,102,108
4,0:11.0,,Personal take foul by T. Maker (drawn by A. Holiday),102,108
4,0:11.0,,Offensive rebound by Team,102,108
4,0:11.0,,A. Holiday misses free throw 1 of 2,102,108
4,0:11.0,,T. Young enters the game for D. McDermott,102,108
4,0:11.0,,A. Holiday makes free throw 2 of 2,102,109
4,0:05.0,R. Jackson misses 2-pt jump shot from 6 ft,,102,109
4,0:02.0,Offensive rebound by A. Drummond,,102,109
4,0:02.0,A. Drummond misses 2-pt layup from 1 ft,,102,109
4,0:01.0,,Defensive rebound by B. Bogdanović,102,109
4,0:01.0,,Personal take foul by A. Drummond (drawn by B. Bogdanović),102,109
4,0:01.0,,B. Bogdanović makes free throw 1 of 2,102,110
4,0:01.0,,B. Bogdanović makes free throw 2 of 2,102,111
