QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
4,6:40.0,Offensive rebound by O. Anunoby,,102,91
4,6:40.0,O. Anunoby makes 2-pt dunk at rim,,104,91
4,6:37.0,,M. Bagley misses 2-pt dunk from 3 ft,104,91
4,6:35.0,Defensive rebound by K. Leonard,,104,91
4,6:32.0,J. Valančiūnas misses 2-pt layup from 7 ft,,104,91
4,6:29.0,,Defensive rebound by T. Williams,104,91
4,6:22.0,,D. Fox makes 2-pt jump shot from 10 ft (assist by T. Williams),104,93
4,6:12.0,Personal foul by M. Bagley (drawn by O. Anunoby),,104,93
4,6:12.0,K. Lowry enters the game for D. Wright,,104,93
4,6:12.0,,B. Hield enters the game for N. Bjelica,104,93
4,6:12.0,,I. Shumpert enters the game for T. Williams,104,93
4,6:01.0,K. Leonard makes 2-pt jump shot from 10 ft,,106,93
4,5:48.0,,Shooting foul by J. Valančiūnas (drawn by W. Cauley-Stein),106,93
4,5:48.0,,W. Cauley-Stein makes free throw 1 of 2,106,94
4,5:48.0,,W. Cauley-Stein makes free throw 2 of 2,106,95
4,5:36.0,J. Valančiūnas misses 2-pt layup from 6 ft (block by B. Hield),,106,95
4,5:34.0,,Defensive rebound by Team,106,95
4,5:30.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by I. Shumpert),106,97
4,5:07.0,K. Leonard misses 3-pt jump shot from 25 ft,,106,97
4,5:05.0,,Defensive rebound by W. Cauley-Stein,106,97
4,4:52.0,,D. Fox makes 2-pt jump shot from 11 ft,106,99
4,4:52.0,Toronto full timeout,,106,99
4,4:52.0,D. Green enters the game for O. Anunoby,,106,99
4,4:52.0,S. Ibaka enters the game for J. Valančiūnas,,106,99
4,4:52.0,P. Siakam enters the game for F. VanVleet,,106,99
4,4:39.0,Personal foul by I. Shumpert (drawn by K. Lowry),,106,99
4,4:31.0,K. Leonard misses 2-pt jump shot from 8 ft,,106,99
4,4:29.0,Offensive rebound by K. Leonard,,106,99
4,4:26.0,S. Ibaka misses 2-pt jump shot from 14 ft,,106,99
4,4:23.0,,Defensive rebound by I. Shumpert,106,99
4,4:18.0,,D. Fox misses 3-pt jump shot from 26 ft,106,99
4,4:13.0,Defensive rebound by K. Lowry,,106,99
4,3:55.0,K. Leonard makes 3-pt jump shot from 25 ft,,109,99
4,3:43.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Hield),109,101
4,3:24.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),,112,101
4,3:18.0,,Offensive foul by D. Fox (drawn by K. Lowry),112,101
4,3:18.0,,Turnover by D. Fox (offensive foul),112,101
4,3:04.0,K. Leonard misses 2-pt jump shot from 16 ft,,112,101
4,3:02.0,,Defensive rebound by W. Cauley-Stein,112,101
4,2:49.0,,D. Fox misses 2-pt jump shot from 5 ft,112,101
4,2:47.0,Defensive rebound by S. Ibaka,,112,101
4,2:43.0,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),,114,101
4,2:43.0,,Sacramento full timeout,114,101
4,2:27.0,,Shooting foul by S. Ibaka (drawn by M. Bagley),114,101
4,2:27.0,,M. Bagley makes free throw 1 of 2,114,102
4,2:27.0,,M. Bagley makes free throw 2 of 2,114,103
4,2:05.0,K. Leonard misses 2-pt jump shot from 13 ft,,114,103
4,2:05.0,Offensive rebound by Team,,114,103
4,2:05.0,,Loose ball foul by I. Shumpert (drawn by S. Ibaka),114,103
4,1:57.0,Turnover by K. Leonard (traveling),,114,103
4,1:47.0,,M. Bagley misses 2-pt hook shot from 7 ft,114,103
4,1:44.0,Defensive rebound by S. Ibaka,,114,103
4,1:40.0,Offensive foul by S. Ibaka (drawn by I. Shumpert),,114,103
4,1:40.0,Turnover by S. Ibaka (offensive foul),,114,103
4,1:40.0,F. VanVleet enters the game for D. Green,,114,103
4,1:27.0,,D. Fox misses 3-pt jump shot from 25 ft,114,103
4,1:23.0,Defensive rebound by P. Siakam,,114,103
4,1:23.0,M. Richardson enters the game for K. Leonard,,114,103
4,1:03.0,K. Lowry misses 3-pt jump shot from 26 ft,,114,103
4,1:00.0,Offensive rebound by S. Ibaka,,114,103
4,0:59.0,S. Ibaka misses 2-pt jump shot from 5 ft (block by M. Bagley),,114,103
4,0:59.0,,Defensive rebound by Team,114,103
4,0:52.0,,B. Hield misses 2-pt jump shot from 16 ft,114,103
4,0:48.0,Defensive rebound by S. Ibaka,,114,103
4,0:33.0,Turnover by S. Ibaka (lost ball; steal by W. Cauley-Stein),,114,103
4,0:29.0,,I. Shumpert makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),114,105
4,0:05.0,Turnover by Team (shot clock),,114,105
