QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
4,0:20.0,Personal take foul by A. Žižić (drawn by B. Adebayo),,97,91
4,0:20.0,B. Adebayo makes free throw 1 of 2,,98,91
4,0:20.0,B. Adebayo makes free throw 2 of 2,,99,91
4,0:11.0,,C. Sexton misses 3-pt jump shot from 30 ft,99,91
4,0:09.0,,Offensive rebound by A. Burks,99,91
4,0:09.0,,Cleveland full timeout,99,91
4,0:07.0,,R. Hood misses 3-pt jump shot from 24 ft,99,91
4,0:05.0,,Offensive rebound by Team,99,91
4,0:03.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by R. Hood),99,94
4,0:02.0,Personal foul by C. Sexton (drawn by J. Richardson),,99,94
4,0:02.0,J. Richardson misses free throw 1 of 2,,99,94
4,0:02.0,Offensive rebound by Team,,99,94
4,0:02.0,J. Richardson makes free throw 2 of 2,,100,94
