QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
4,1:29.0,,D. Mitchell misses free throw 1 of 2,107,113
4,1:29.0,,Offensive rebound by Team,107,113
4,1:29.0,G. Hayward enters the game for J. Brown,,107,113
4,1:29.0,M. Morris enters the game for A. Horford,,107,113
4,1:29.0,,D. Mitchell makes free throw 2 of 2,107,114
4,1:16.0,J. Tatum misses 2-pt layup from 3 ft,,107,114
4,1:14.0,,Defensive rebound by R. Gobert,107,114
4,0:57.0,,D. Mitchell misses 2-pt layup from 2 ft,107,114
4,0:55.0,Defensive rebound by T. Rozier,,107,114
4,0:54.0,Personal foul by R. Rubio (drawn by T. Rozier),,107,114
4,0:47.0,Shooting foul by R. Gobert (drawn by G. Hayward),,107,114
4,0:47.0,G. Hayward makes free throw 1 of 2,,108,114
4,0:47.0,G. Hayward makes free throw 2 of 2,,109,114
4,0:28.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Rubio),109,117
4,0:20.0,T. Rozier makes 3-pt jump shot from 28 ft,,112,117
4,0:18.0,,Personal foul by J. Tatum (drawn by D. Mitchell),112,117
4,0:18.0,,D. Mitchell makes free throw 1 of 2,112,118
4,0:18.0,A. Baynes enters the game for T. Rozier,,112,118
4,0:18.0,,D. Mitchell makes free throw 2 of 2,112,119
4,0:18.0,Boston full timeout,,112,119
4,0:18.0,T. Rozier enters the game for A. Baynes,,112,119
4,0:17.0,Personal foul by D. Mitchell (drawn by M. Smart),,112,119
4,0:17.0,M. Smart makes free throw 1 of 2,,113,119
4,0:17.0,G. Yabusele enters the game for T. Rozier,,113,119
4,0:17.0,,D. Favors enters the game for R. Rubio,113,119
4,0:17.0,M. Smart misses free throw 2 of 2,,113,119
4,0:14.0,,Defensive rebound by R. Gobert,113,119
4,0:14.0,,Personal foul by G. Yabusele (drawn by R. Gobert),113,119
4,0:14.0,,R. Gobert makes free throw 1 of 2,113,120
4,0:14.0,,R. Rubio enters the game for D. Favors,113,120
4,0:14.0,,R. Gobert makes free throw 2 of 2,113,121
4,0:09.0,M. Smart misses 3-pt jump shot from 27 ft,,113,121
4,0:08.0,,Defensive rebound by D. Mitchell,113,121
4,0:08.0,,Personal foul by J. Tatum (drawn by D. Mitchell),113,121
4,0:08.0,,D. Mitchell makes free throw 1 of 2,113,122
4,0:08.0,,D. Mitchell makes free throw 2 of 2,113,123
4,0:04.0,J. Tatum makes 2-pt dunk from 1 ft,,115,123
