QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
4,8:41.0,,D. Mitchell misses 3-pt jump shot from 25 ft,89,86
4,8:38.0,Defensive rebound by J. Green,,89,86
4,8:31.0,L. Williams misses 2-pt jump shot from 14 ft,,89,86
4,8:28.0,,Defensive rebound by J. Crowder,89,86
4,8:18.0,,D. Mitchell makes 2-pt jump shot from 9 ft (assist by J. Crowder),89,88
4,7:59.0,L. Williams misses 2-pt jump shot from 16 ft,,89,88
4,7:56.0,,Defensive rebound by D. Favors,89,88
4,7:48.0,,D. Mitchell misses 2-pt jump shot from 6 ft,89,88
4,7:45.0,Defensive rebound by J. Green,,89,88
4,7:40.0,Personal foul by R. O'Neale (drawn by L. Williams),,89,88
4,7:40.0,D. Gallinari enters the game for M. Harrell,,89,88
4,7:40.0,,R. Gobert enters the game for D. Favors,89,88
4,7:40.0,,R. Neto enters the game for J. Ingles,89,88
4,7:33.0,Def 3 sec tech foul by Team,,89,88
4,7:33.0,D. Gallinari makes technical free throw,,90,88
4,7:21.0,J. Green misses 2-pt layup from 8 ft (block by R. Gobert),,90,88
4,7:19.0,Offensive rebound by J. Green,,90,88
4,7:18.0,J. Green misses 2-pt jump shot from 14 ft,,90,88
4,7:16.0,,Defensive rebound by R. Neto,90,88
4,7:09.0,,R. Neto makes 3-pt jump shot from 25 ft,90,91
4,6:57.0,J. Green misses 3-pt jump shot from 25 ft,,90,91
4,6:56.0,Offensive rebound by Team,,90,91
4,6:56.0,,Loose ball foul by J. Crowder (drawn by D. Gallinari),90,91
4,6:56.0,,Technical foul by J. Crowder,90,91
4,6:56.0,D. Gallinari makes technical free throw,,91,91
4,6:48.0,L. Shamet misses 3-pt jump shot from 27 ft,,91,91
4,6:47.0,,Defensive rebound by Team,91,91
4,6:47.0,Loose ball foul by J. Green (drawn by R. Gobert),,91,91
4,6:47.0,,J. Ingles enters the game for D. Mitchell,91,91
4,6:28.0,,R. Neto makes 2-pt layup from 3 ft,91,93
4,6:19.0,L. Shamet makes 3-pt jump shot from 25 ft,,94,93
4,5:57.0,,J. Crowder misses 3-pt jump shot from 25 ft,94,93
4,5:55.0,Defensive rebound by Team,,94,93
4,5:55.0,S. Gilgeous-Alexander enters the game for P. Beverley,,94,93
4,5:55.0,M. Harrell enters the game for J. Green,,94,93
4,5:55.0,,T. Sefolosha enters the game for J. Crowder,94,93
4,5:44.0,M. Harrell misses 2-pt hook shot from 7 ft,,94,93
4,5:42.0,,Defensive rebound by R. Gobert,94,93
4,5:27.0,,Turnover by J. Ingles (bad pass),94,93
4,5:27.0,,D. Mitchell enters the game for R. O'Neale,94,93
4,5:18.0,L. Shamet misses 3-pt jump shot from 25 ft,,94,93
4,5:16.0,,Defensive rebound by T. Sefolosha,94,93
4,5:01.0,,Personal foul by L. Shamet (drawn by D. Mitchell),94,93
4,5:01.0,P. Beverley enters the game for L. Shamet,,94,93
4,5:01.0,,Utah full timeout,94,93
4,4:53.0,,J. Ingles makes 2-pt jump shot from 7 ft (assist by D. Mitchell),94,95
4,4:53.0,,Shooting foul by D. Gallinari (drawn by J. Ingles),94,95
4,4:53.0,,J. Crowder enters the game for T. Sefolosha,94,95
4,4:53.0,,J. Ingles makes free throw 1 of 1,94,96
4,4:42.0,D. Gallinari misses 2-pt jump shot from 18 ft,,94,96
4,4:39.0,,Defensive rebound by R. Gobert,94,96
4,4:29.0,,Turnover by J. Crowder (traveling),94,96
4,4:21.0,L. Williams misses 3-pt jump shot from 26 ft,,94,96
4,4:18.0,,Defensive rebound by D. Mitchell,94,96
4,4:09.0,,D. Mitchell makes 2-pt jump shot from 8 ft,94,98
4,3:57.0,D. Gallinari misses 2-pt layup from 6 ft,,94,98
4,3:55.0,Offensive rebound by D. Gallinari,,94,98
4,3:55.0,D. Gallinari misses 2-pt jump shot from 5 ft (block by D. Mitchell),,94,98
4,3:55.0,Offensive rebound by Team,,94,98
4,3:51.0,M. Harrell makes 2-pt layup from 4 ft (assist by P. Beverley),,96,98
4,3:30.0,,Shooting foul by M. Harrell (drawn by R. Gobert),96,98
4,3:30.0,,R. Gobert makes free throw 1 of 2,96,99
4,3:30.0,,R. Gobert makes free throw 2 of 2,96,100
4,3:21.0,D. Gallinari misses 3-pt jump shot from 28 ft,,96,100
4,3:18.0,,Defensive rebound by R. Neto,96,100
4,3:07.0,,J. Crowder misses 3-pt jump shot from 25 ft,96,100
4,3:04.0,,Offensive rebound by J. Ingles,96,100
4,3:00.0,,R. Neto misses 3-pt jump shot from 25 ft,96,100
4,2:55.0,,Offensive rebound by R. Gobert,96,100
4,2:53.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Gobert),96,103
4,2:53.0,LA Clippers full timeout,,96,103
4,2:38.0,Shooting foul by R. Gobert (drawn by M. Harrell),,96,103
4,2:38.0,M. Harrell makes free throw 1 of 2,,97,103
4,2:38.0,L. Shamet enters the game for S. Gilgeous-Alexander,,97,103
4,2:38.0,M. Harrell makes free throw 2 of 2,,98,103
4,2:26.0,,D. Mitchell makes 2-pt layup from 3 ft,98,105
4,2:16.0,L. Williams misses 2-pt jump shot from 12 ft (block by J. Ingles),,98,105
4,2:13.0,Offensive rebound by L. Williams,,98,105
4,2:02.0,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),,100,105
4,1:46.0,,Shooting foul by M. Harrell (drawn by D. Mitchell),100,105
4,1:46.0,,D. Mitchell misses free throw 1 of 2,100,105
4,1:46.0,,Offensive rebound by Team,100,105
4,1:46.0,,D. Mitchell misses free throw 2 of 2,100,105
4,1:44.0,,Offensive rebound by Team,100,105
4,1:34.0,,J. Crowder misses 2-pt dunk from 1 ft,100,105
4,1:33.0,,Offensive rebound by R. Gobert,100,105
4,1:33.0,,R. Gobert makes 2-pt dunk from 2 ft,100,107
4,1:27.0,Shooting foul by R. Gobert (drawn by L. Williams),,100,107
4,1:27.0,L. Williams makes free throw 1 of 2,,101,107
4,1:27.0,S. Thornwell enters the game for L. Shamet,,101,107
4,1:27.0,L. Williams misses free throw 2 of 2,,101,107
4,1:24.0,Offensive rebound by P. Beverley,,101,107
4,1:23.0,P. Beverley misses 2-pt layup from 3 ft,,101,107
4,1:22.0,,Defensive rebound by J. Crowder,101,107
4,1:15.0,,R. Neto makes 2-pt layup from 2 ft,101,109
4,1:08.0,Shooting foul by J. Ingles (drawn by L. Williams),,101,109
4,1:08.0,L. Williams makes free throw 1 of 2,,102,109
4,1:08.0,L. Williams makes free throw 2 of 2,,103,109
4,0:51.0,,Turnover by D. Mitchell (bad pass; steal by S. Thornwell),103,109
4,0:39.0,Shooting foul by J. Crowder (drawn by D. Gallinari),,103,109
4,0:39.0,D. Gallinari makes free throw 1 of 2,,104,109
4,0:39.0,G. Temple enters the game for L. Williams,,104,109
4,0:39.0,D. Gallinari makes free throw 2 of 2,,105,109
4,0:26.0,,D. Mitchell misses 3-pt jump shot from 24 ft,105,109
4,0:23.0,Defensive rebound by D. Gallinari,,105,109
4,0:23.0,LA Clippers full timeout,,105,109
4,0:23.0,J. Green enters the game for G. Temple,,105,109
4,0:23.0,L. Williams enters the game for S. Thornwell,,105,109
4,0:23.0,,R. O'Neale enters the game for R. Neto,105,109
4,0:20.0,L. Williams misses 3-pt jump shot from 27 ft,,105,109
4,0:16.0,,Defensive rebound by R. O'Neale,105,109
4,0:15.0,,Personal take foul by M. Harrell (drawn by D. Mitchell),105,109
4,0:15.0,L. Shamet enters the game for M. Harrell,,105,109
4,0:15.0,,D. Mitchell makes free throw 1 of 2,105,110
4,0:15.0,,D. Mitchell makes free throw 2 of 2,105,111
4,0:10.0,Turnover by P. Beverley (bad pass),,105,111
