QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
4,0:39.0,,Turnover by B. Simmons (bad pass; steal by N. Vučević),104,108
4,0:36.0,Turnover by N. Vučević (bad pass; steal by M. Scott),,104,108
4,0:32.0,,Personal take foul by E. Fournier (drawn by J. Butler),104,108
4,0:22.0,,Personal take foul by D. Augustin (drawn by T. Harris),104,108
4,0:22.0,,T. Harris makes free throw 1 of 2,104,109
4,0:22.0,,J. Simmons enters the game for J. Redick,104,109
4,0:22.0,,T. Harris makes free throw 2 of 2,104,110
4,0:22.0,Orlando full timeout,,104,110
4,0:19.0,E. Fournier misses 3-pt jump shot from 26 ft,,104,110
4,0:16.0,Offensive rebound by J. Isaac,,104,110
4,0:15.0,J. Isaac misses 3-pt jump shot from 23 ft,,104,110
4,0:12.0,,Defensive rebound by T. Harris,104,110
4,0:11.0,,Personal take foul by N. Vučević (drawn by T. Harris),104,110
4,0:11.0,,T. Harris makes free throw 1 of 2,104,111
4,0:11.0,,T. Harris makes free throw 2 of 2,104,112
4,0:04.0,J. Isaac makes 2-pt dunk from 2 ft (assist by D. Augustin),,106,112
4,0:02.0,,Personal take foul by E. Fournier (drawn by J. Butler),106,112
4,0:02.0,,J. Butler makes free throw 1 of 2,106,113
4,0:02.0,,J. Butler makes free throw 2 of 2,106,114
