QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
4,3:42.0,Defensive rebound by E. Turner,,124,116
4,3:37.0,E. Turner makes 2-pt layup from 1 ft,,126,116
4,3:28.0,,Shooting foul by Z. Collins (drawn by A. Wiggins),126,116
4,3:28.0,,A. Wiggins makes free throw 1 of 2,126,117
4,3:28.0,,A. Wiggins makes free throw 2 of 2,126,118
4,3:14.0,Z. Collins misses 3-pt jump shot from 25 ft,,126,118
4,3:11.0,Offensive rebound by A. Aminu,,126,118
4,3:10.0,Shooting foul by C. Reynolds (drawn by Z. Collins),,126,118
4,3:10.0,Z. Collins makes free throw 1 of 2,,127,118
4,3:10.0,Z. Collins makes free throw 2 of 2,,128,118
4,2:59.0,,C. Reynolds misses 3-pt jump shot from 25 ft,128,118
4,2:56.0,Defensive rebound by Z. Collins,,128,118
4,2:39.0,Offensive foul by Z. Collins (drawn by T. Jones),,128,118
4,2:39.0,Turnover by Z. Collins (offensive foul),,128,118
4,2:31.0,,K. Towns misses 2-pt layup from 2 ft (block by Z. Collins),128,118
4,2:28.0,Defensive rebound by E. Turner,,128,118
4,2:09.0,D. Lillard misses 3-pt jump shot from 26 ft,,128,118
4,2:06.0,,Defensive rebound by A. Wiggins,128,118
4,2:01.0,,Turnover by A. Wiggins (lost ball; steal by E. Turner),128,118
4,1:43.0,S. Curry misses 2-pt layup from 6 ft,,128,118
4,1:40.0,Offensive rebound by E. Turner,,128,118
4,1:33.0,D. Lillard makes 2-pt layup from 4 ft,,130,118
4,1:33.0,Shooting foul by A. Wiggins (drawn by D. Lillard),,130,118
4,1:33.0,D. Lillard misses free throw 1 of 1,,130,118
4,1:28.0,Offensive rebound by E. Turner,,130,118
4,1:18.0,D. Lillard makes 2-pt layup from 1 ft,,132,118
4,1:10.0,,A. Wiggins misses 2-pt jump shot from 23 ft,132,118
4,1:08.0,Defensive rebound by Z. Collins,,132,118
4,0:49.0,S. Curry misses 2-pt jump shot from 4 ft,,132,118
4,0:47.0,,Defensive rebound by K. Towns,132,118
4,0:37.0,,D. Šarić misses 3-pt jump shot from 25 ft,132,118
4,0:35.0,,Offensive rebound by K. Towns,132,118
4,0:34.0,,K. Towns makes 2-pt layup from 2 ft,132,120
4,0:09.0,A. Aminu misses 2-pt jump shot from 21 ft,,132,120
4,0:07.0,,Defensive rebound by K. Towns,132,120
4,0:03.0,,C. Reynolds makes 2-pt dunk from 2 ft (assist by T. Jones),132,122
