QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
4,5:53.0,L. Kornet misses 3-pt jump shot from 26 ft,,80,112
4,5:51.0,,Defensive rebound by J. Lin,80,112
4,5:47.0,,J. Lin misses 3-pt jump shot from 27 ft,80,112
4,5:44.0,Defensive rebound by K. Knox,,80,112
4,5:37.0,K. Knox misses 2-pt hook shot from 4 ft,,80,112
4,5:35.0,Offensive rebound by K. Knox,,80,112
4,5:30.0,K. Knox misses 2-pt jump shot from 21 ft,,80,112
4,5:27.0,,Defensive rebound by E. Moreland,80,112
4,5:12.0,,M. Miller makes 3-pt jump shot from 25 ft (assist by E. Moreland),80,115
4,4:52.0,Turnover by H. Ellenson (bad pass; steal by P. McCaw),,80,115
4,4:47.0,,M. Miller makes 3-pt jump shot from 30 ft (assist by P. McCaw),80,118
4,4:18.0,L. Kornet makes 2-pt jump shot from 11 ft,,82,118
4,4:00.0,,Turnover by E. Moreland (bad pass; steal by K. Allen),82,118
4,3:57.0,K. Allen misses 2-pt layup from 1 ft,,82,118
4,3:56.0,,Defensive rebound by E. Moreland,82,118
4,3:52.0,,J. Lin makes 2-pt jump shot from 21 ft (assist by E. Moreland),82,120
4,3:33.0,J. Jenkins makes 2-pt jump shot from 17 ft (assist by H. Ellenson),,84,120
4,3:22.0,,Turnover by J. Lin (bad pass; steal by K. Knox),84,120
4,3:18.0,K. Knox makes 2-pt layup from 1 ft,,86,120
4,2:57.0,,J. Lin makes 2-pt jump shot from 20 ft,86,122
4,2:37.0,K. Knox misses 2-pt layup from 7 ft,,86,122
4,2:34.0,,Defensive rebound by M. Miller,86,122
4,2:32.0,,Shooting foul by K. Allen (drawn by J. Lin),86,122
4,2:32.0,New York full timeout,,86,122
4,2:32.0,,J. Lin makes free throw 1 of 3,86,123
4,2:32.0,,J. Lin misses free throw 2 of 3,86,123
4,2:32.0,,Offensive rebound by Team,86,123
4,2:32.0,,J. Lin makes free throw 3 of 3,86,124
4,2:21.0,Shooting foul by C. Boucher (drawn by J. Jenkins),,86,124
4,2:21.0,J. Jenkins makes free throw 1 of 2,,87,124
4,2:21.0,J. Jenkins makes free throw 2 of 2,,88,124
4,2:06.0,,P. McCaw makes 2-pt dunk from 1 ft (assist by E. Moreland),88,126
4,1:49.0,Turnover by K. Knox (bad pass; steal by C. Boucher),,88,126
4,1:32.0,,C. Boucher misses 3-pt jump shot from 23 ft,88,126
4,1:29.0,Defensive rebound by K. Knox,,88,126
4,1:24.0,H. Ellenson makes 2-pt layup from 1 ft (assist by K. Knox),,90,126
4,1:09.0,,Turnover by P. McCaw (offensive foul),90,126
4,1:09.0,,Offensive foul by P. McCaw (drawn by J. Jenkins),90,126
4,0:57.0,K. Knox misses 3-pt jump shot from 26 ft,,90,126
4,0:55.0,,Defensive rebound by C. Boucher,90,126
4,0:42.0,,J. Lin misses 3-pt jump shot from 29 ft,90,126
4,0:40.0,Defensive rebound by K. Knox,,90,126
4,0:38.0,Clear path foul by J. Lin,,90,126
4,0:38.0,H. Ellenson makes clear path free throw 1 of 2,,91,126
4,0:38.0,H. Ellenson makes clear path free throw 2 of 2,,92,126
4,0:31.0,L. Kornet misses 3-pt jump shot from 26 ft,,92,126
4,0:28.0,,Defensive rebound by P. McCaw,92,126
4,0:16.0,,C. Boucher makes 2-pt layup from 1 ft (assist by J. Lin),92,128
4,0:08.0,K. Allen misses 3-pt jump shot from 25 ft,,92,128
4,0:05.0,,Defensive rebound by C. Boucher,92,128
