QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
2,9:32.0,Defensive rebound by H. Whiteside,,33,37
2,9:21.0,J. Johnson misses 2-pt layup from 5 ft,,33,37
2,9:20.0,,Defensive rebound by L. Kornet,33,37
2,9:15.0,,Personal foul by D. Robinson (drawn by L. Thomas),33,37
2,9:06.0,,L. Kornet makes 3-pt jump shot from 25 ft (assist by K. Allen),33,40
2,8:49.0,H. Whiteside misses 2-pt jump shot from 13 ft,,33,40
2,8:47.0,,Defensive rebound by K. Allen,33,40
2,8:42.0,,D. Smith misses 3-pt jump shot from 25 ft,33,40
2,8:40.0,Defensive rebound by D. Wade,,33,40
2,8:32.0,D. Wade misses 2-pt layup from 2 ft (block by L. Kornet),,33,40
2,8:30.0,Offensive rebound by D. Wade,,33,40
2,8:28.0,D. Wade makes 2-pt layup from 1 ft,,35,40
2,8:23.0,,L. Thomas makes 2-pt dunk from 2 ft (assist by D. Smith),35,42
2,8:21.0,Miami full timeout,,35,42
2,8:21.0,B. Adebayo enters the game for J. Johnson,,35,42
2,8:21.0,D. Jones enters the game for H. Whiteside,,35,42
2,8:21.0,,E. Mudiay enters the game for D. Smith,35,42
2,8:04.0,D. Wade misses 2-pt layup from 2 ft,,35,42
2,8:02.0,,Defensive rebound by D. Dotson,35,42
2,7:53.0,,Turnover by L. Thomas (bad pass; steal by B. Adebayo),35,42
2,7:38.0,B. Adebayo misses 2-pt jump shot from 10 ft,,35,42
2,7:36.0,,Defensive rebound by L. Kornet,35,42
2,7:14.0,,K. Allen misses 2-pt jump shot from 10 ft,35,42
2,7:13.0,,Offensive rebound by K. Allen,35,42
2,7:12.0,,Shooting foul by D. Robinson (drawn by K. Allen),35,42
2,7:12.0,R. Anderson enters the game for G. Dragić,,35,42
2,7:12.0,D. Waiters enters the game for D. Robinson,,35,42
2,7:12.0,,M. Robinson enters the game for L. Kornet,35,42
2,7:12.0,,K. Allen makes free throw 1 of 2,35,43
2,7:12.0,,K. Allen makes free throw 2 of 2,35,44
2,6:59.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),,37,44
