QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
3,10:00.0,W. Ellington makes 3-pt jump shot from 25 ft,,59,49
3,9:52.0,,Turnover by D. Waiters (out of bounds lost ball),59,49
3,9:38.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by W. Ellington),,62,49
3,9:22.0,,H. Whiteside misses 2-pt hook shot from 4 ft,62,49
3,9:20.0,Defensive rebound by A. Drummond,,62,49
3,9:13.0,Shooting foul by H. Whiteside (drawn by A. Drummond),,62,49
3,9:13.0,A. Drummond makes free throw 1 of 2,,63,49
3,9:13.0,A. Drummond makes free throw 2 of 2,,64,49
3,9:05.0,,Personal foul by R. Jackson (drawn by J. Richardson),64,49
3,8:54.0,,D. Waiters makes 2-pt layup from 1 ft,64,51
3,8:41.0,R. Jackson makes 2-pt jump shot from 11 ft,,66,51
3,8:27.0,,D. Waiters makes 2-pt layup from 2 ft,66,53
3,8:13.0,Turnover by R. Jackson (lost ball; steal by K. Olynyk),,66,53
3,8:12.0,,Shooting foul by B. Brown (drawn by J. Richardson),66,53
3,8:12.0,,Offensive rebound by Team,66,53
3,8:12.0,,J. Richardson misses free throw 1 of 2,66,53
3,8:12.0,,J. Richardson makes free throw 2 of 2,66,54
3,8:03.0,B. Griffin misses 2-pt jump shot from 6 ft (block by H. Whiteside),,66,54
3,8:03.0,Offensive rebound by Team,,66,54
3,7:58.0,Turnover by B. Griffin (bad pass; steal by H. Whiteside),,66,54
3,7:52.0,,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),66,56
3,7:52.0,Detroit full timeout,,66,56
3,7:43.0,Personal foul by J. Richardson (drawn by R. Jackson),,66,56
3,7:38.0,Turnover by A. Drummond (out of bounds lost ball),,66,56
3,7:25.0,,J. Richardson makes 2-pt jump shot from 12 ft (assist by D. Waiters),66,58
3,7:06.0,B. Griffin misses 2-pt jump shot from 20 ft,,66,58
3,7:04.0,,Defensive rebound by K. Olynyk,66,58
3,6:44.0,,D. Waiters misses 3-pt jump shot from 25 ft,66,58
3,6:44.0,,Offensive rebound by Team,66,58
3,6:44.0,,Personal foul by B. Brown (drawn by K. Olynyk),66,58
3,6:44.0,L. Kennard enters the game for W. Ellington,,66,58
3,6:38.0,,Turnover by D. Waiters (bad pass; steal by L. Kennard),66,58
3,6:37.0,Personal foul by D. Waiters (drawn by L. Kennard),,66,58
3,6:37.0,L. Galloway enters the game for B. Brown,,66,58
3,6:25.0,Offensive foul by B. Griffin (drawn by K. Olynyk),,66,58
3,6:25.0,Turnover by B. Griffin (offensive foul),,66,58
3,6:19.0,,Personal foul by B. Griffin (drawn by J. Richardson),66,58
3,6:10.0,,K. Olynyk makes 2-pt layup from 4 ft (assist by D. Waiters),66,60
3,6:10.0,,Shooting foul by A. Drummond (drawn by K. Olynyk),66,60
3,6:10.0,,K. Olynyk makes free throw 1 of 1,66,61
3,5:54.0,R. Jackson makes 2-pt layup from 1 ft,,68,61
3,5:42.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),68,64
3,5:23.0,L. Galloway makes 2-pt jump shot from 17 ft (assist by B. Griffin),,70,64
3,5:03.0,,D. Waiters misses 3-pt jump shot from 26 ft,70,64
3,5:01.0,Defensive rebound by A. Drummond,,70,64
3,5:01.0,I. Smith enters the game for R. Jackson,,70,64
3,5:01.0,,D. Wade enters the game for J. Richardson,70,64
3,4:44.0,B. Griffin makes 2-pt dunk from 1 ft (assist by I. Smith),,72,64
3,4:24.0,,D. Waiters misses 2-pt layup from 2 ft (block by A. Drummond),72,64
3,4:21.0,Defensive rebound by L. Kennard,,72,64
3,4:19.0,L. Kennard misses 2-pt jump shot from 21 ft,,72,64
3,4:19.0,,Defensive rebound by Team,72,64
3,4:19.0,Loose ball foul by A. Drummond (drawn by H. Whiteside),,72,64
3,4:19.0,,H. Whiteside makes free throw 1 of 2,72,65
3,4:19.0,,G. Dragić enters the game for D. Robinson,72,65
3,4:19.0,,H. Whiteside misses free throw 2 of 2,72,65
3,4:16.0,Defensive rebound by A. Drummond,,72,65
3,4:02.0,I. Smith makes 2-pt layup from 2 ft,,74,65
3,3:46.0,,Shooting foul by A. Drummond (drawn by K. Olynyk),74,65
3,3:46.0,,K. Olynyk makes free throw 1 of 2,74,66
3,3:46.0,Z. Pachulia enters the game for A. Drummond,,74,66
3,3:46.0,,B. Adebayo enters the game for D. Waiters,74,66
3,3:46.0,,D. Jones enters the game for H. Whiteside,74,66
3,3:46.0,,K. Olynyk makes free throw 2 of 2,74,67
3,3:34.0,B. Griffin misses 3-pt jump shot from 25 ft,,74,67
3,3:32.0,,Defensive rebound by D. Wade,74,67
3,3:21.0,,D. Wade misses 2-pt jump shot from 14 ft,74,67
3,3:18.0,Defensive rebound by Z. Pachulia,,74,67
3,3:11.0,Turnover by I. Smith (bad pass; steal by K. Olynyk),,74,67
3,3:02.0,,D. Jones misses 3-pt jump shot from 24 ft,74,67
3,3:02.0,,Offensive rebound by Team,74,67
3,3:02.0,,Personal foul by L. Kennard (drawn by K. Olynyk),74,67
3,3:02.0,,K. Olynyk makes free throw 1 of 2,74,68
3,3:02.0,,K. Olynyk misses free throw 2 of 2,74,68
3,3:00.0,Defensive rebound by B. Griffin,,74,68
3,2:51.0,L. Kennard makes 3-pt jump shot from 23 ft (assist by B. Griffin),,77,68
3,2:51.0,,Miami full timeout,77,68
3,2:51.0,,J. Richardson enters the game for K. Olynyk,77,68
3,2:31.0,,Offensive foul by D. Wade (drawn by B. Griffin),77,68
3,2:31.0,,Turnover by D. Wade (offensive foul),77,68
3,2:23.0,Offensive foul by B. Griffin (drawn by B. Adebayo),,77,68
3,2:23.0,Turnover by B. Griffin (offensive foul),,77,68
3,2:12.0,,D. Wade makes 2-pt layup from 2 ft,77,70
3,1:56.0,Offensive foul by Z. Pachulia (drawn by B. Adebayo),,77,70
3,1:56.0,Turnover by Z. Pachulia (offensive foul),,77,70
