QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
4,2:38.0,D. White makes 2-pt dunk at rim (assist by C. Metu),,81,122
4,2:24.0,,Shooting foul by C. Metu (drawn by J. Okogie),81,122
4,2:24.0,,J. Okogie misses free throw 1 of 2,81,122
4,2:24.0,,Offensive rebound by Team,81,122
4,2:24.0,,J. Okogie makes free throw 2 of 2,81,123
4,2:16.0,Shooting foul by L. Deng (drawn by Q. Pondexter),,81,123
4,2:16.0,Q. Pondexter makes free throw 1 of 2,,82,123
4,2:16.0,Q. Pondexter makes free throw 2 of 2,,83,123
4,2:06.0,,J. Nunnally misses 3-pt jump shot from 25 ft,83,123
4,2:03.0,Defensive rebound by C. Metu,,83,123
4,1:51.0,D. White misses 2-pt layup at rim,,83,123
4,1:49.0,,Defensive rebound by L. Deng,83,123
4,1:44.0,,A. Tolliver makes 3-pt jump shot from 28 ft (assist by T. Jones),83,126
4,1:34.0,C. Metu misses 2-pt jump shot from 18 ft,,83,126
4,1:30.0,Offensive rebound by J. Poeltl,,83,126
4,1:28.0,D. White misses 2-pt layup from 2 ft,,83,126
4,1:26.0,,Defensive rebound by J. Okogie,83,126
4,1:18.0,,L. Deng makes 2-pt jump shot from 8 ft (assist by J. Nunnally),83,128
4,1:18.0,Violation by Team (def goaltending),,83,128
4,1:07.0,J. Poeltl makes 2-pt jump shot from 2 ft,,85,128
4,0:50.0,,J. Okogie misses 3-pt jump shot from 25 ft,85,128
4,0:47.0,Defensive rebound by Q. Pondexter,,85,128
4,0:41.0,D. Bertāns makes 2-pt layup from 1 ft (assist by Q. Pondexter),,87,128
4,0:29.0,,T. Jones misses 3-pt jump shot from 25 ft,87,128
4,0:25.0,Defensive rebound by Q. Pondexter,,87,128
4,0:21.0,Q. Pondexter makes 2-pt layup from 1 ft,,89,128
