QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
3,0:01.0,,M. Brogdon makes free throw 1 of 1,81,92
3,0:00.0,J. Embiid misses 3-pt jump shot from 39 ft,,81,92
3,0:00.0,Offensive rebound by Team,,81,92
4,11:42.0,J. Embiid makes 2-pt jump shot from 13 ft (assist by J. Redick),,83,92
4,11:29.0,,M. Brogdon misses 2-pt layup from 1 ft (block by J. Embiid),83,92
4,11:25.0,Defensive rebound by J. Embiid,,83,92
4,11:23.0,M. Muscala misses 3-pt jump shot from 26 ft,,83,92
4,11:18.0,,Defensive rebound by G. Antetokounmpo,83,92
4,11:14.0,,Personal foul by M. Muscala (drawn by G. Antetokounmpo),83,92
4,11:04.0,,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),83,94
4,11:04.0,,Shooting foul by J. Embiid (drawn by B. Lopez),83,94
4,11:04.0,,B. Lopez makes free throw 1 of 1,83,95
4,10:54.0,M. Muscala makes 2-pt jump shot from 16 ft (assist by B. Simmons),,85,95
4,10:36.0,,T. Snell misses 3-pt jump shot from 27 ft,85,95
4,10:33.0,Defensive rebound by B. Simmons,,85,95
4,10:30.0,J. Redick misses 3-pt jump shot from 29 ft,,85,95
4,10:28.0,,Defensive rebound by Team,85,95
4,10:12.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),85,98
4,10:01.0,Personal foul by M. Brogdon (drawn by J. Embiid),,85,98
4,10:01.0,D. Šarić enters the game for M. Muscala,,85,98
4,10:01.0,,E. Bledsoe enters the game for M. Brogdon,85,98
4,9:53.0,J. Embiid misses 3-pt jump shot from 26 ft,,85,98
4,9:50.0,Offensive rebound by D. Šarić,,85,98
4,9:49.0,D. Šarić makes 2-pt layup at rim,,87,98
4,9:41.0,,Personal foul by M. Fultz (drawn by E. Bledsoe),87,98
4,9:23.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,87,98
4,9:20.0,Defensive rebound by B. Simmons,,87,98
4,9:16.0,J. Embiid misses 2-pt dunk from 2 ft (block by B. Lopez),,87,98
4,9:12.0,,Defensive rebound by E. Bledsoe,87,98
4,9:08.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,87,98
4,9:08.0,Defensive rebound by D. Šarić,,87,98
4,8:53.0,M. Fultz makes 3-pt jump shot from 24 ft (assist by J. Redick),,90,98
4,8:29.0,,E. Bledsoe makes 2-pt jump shot from 19 ft,90,100
4,8:18.0,Personal foul by D. DiVincenzo (drawn by J. Redick),,90,100
4,8:18.0,M. Muscala enters the game for J. Embiid,,90,100
4,8:18.0,,M. Brogdon enters the game for G. Antetokounmpo,90,100
4,8:18.0,,E. İlyasova enters the game for D. DiVincenzo,90,100
4,8:18.0,,K. Middleton enters the game for B. Lopez,90,100
4,8:08.0,Offensive foul by B. Simmons (drawn by E. İlyasova),,90,100
4,8:08.0,Turnover by B. Simmons (offensive foul),,90,100
4,7:59.0,,Personal foul by M. Muscala (drawn by E. Bledsoe),90,100
4,7:54.0,,K. Middleton misses 3-pt jump shot from 26 ft,90,100
4,7:54.0,Defensive rebound by Team,,90,100
4,7:54.0,,Loose ball foul by E. İlyasova (drawn by M. Muscala),90,100
4,7:54.0,Philadelphia full timeout,,90,100
4,7:54.0,,G. Antetokounmpo enters the game for E. İlyasova,90,100
4,7:54.0,,J. Henson enters the game for T. Snell,90,100
4,7:35.0,M. Muscala misses 3-pt jump shot from 26 ft,,90,100
4,7:32.0,,Defensive rebound by G. Antetokounmpo,90,100
4,7:25.0,,Offensive foul by K. Middleton (drawn by M. Muscala),90,100
4,7:25.0,,Turnover by K. Middleton (offensive foul),90,100
4,7:25.0,R. Covington enters the game for J. Redick,,90,100
4,7:16.0,R. Covington misses 2-pt jump shot from 17 ft,,90,100
4,7:14.0,,Defensive rebound by Team,90,100
4,6:58.0,,G. Antetokounmpo makes 2-pt layup at rim,90,102
4,6:50.0,B. Simmons misses 2-pt layup from 2 ft,,90,102
4,6:47.0,,Defensive rebound by K. Middleton,90,102
4,6:46.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),90,104
4,6:46.0,,Shooting foul by M. Fultz (drawn by G. Antetokounmpo),90,104
4,6:46.0,J. Embiid enters the game for M. Muscala,,90,104
4,6:46.0,,B. Lopez enters the game for J. Henson,90,104
4,6:46.0,,G. Antetokounmpo makes free throw 1 of 1,90,105
4,6:39.0,Personal foul by B. Lopez (drawn by R. Covington),,90,105
4,6:26.0,J. Embiid makes 2-pt hook shot from 7 ft,,92,105
4,6:12.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),92,107
4,6:11.0,Philadelphia full timeout,,92,107
4,6:11.0,J. Redick enters the game for M. Fultz,,92,107
4,5:54.0,B. Simmons makes 2-pt dunk from 2 ft,,94,107
4,5:46.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by K. Middleton),94,110
4,5:29.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Redick),,96,110
4,5:20.0,,E. Bledsoe misses 3-pt jump shot from 29 ft,96,110
4,5:20.0,Defensive rebound by D. Šarić,,96,110
4,5:12.0,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),,99,110
4,4:50.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,99,110
4,4:48.0,Defensive rebound by B. Simmons,,99,110
4,4:44.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,102,110
4,4:40.0,,Milwaukee full timeout,102,110
4,4:28.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),102,112
4,4:05.0,J. Embiid misses 2-pt layup from 6 ft (block by G. Antetokounmpo),,102,112
4,4:03.0,,Defensive rebound by E. Bledsoe,102,112
4,3:52.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,102,112
4,3:49.0,Defensive rebound by J. Embiid,,102,112
4,3:39.0,B. Simmons misses 2-pt layup from 3 ft (block by B. Lopez),,102,112
4,3:39.0,Offensive rebound by Team,,102,112
4,3:37.0,J. Embiid misses 3-pt jump shot from 29 ft,,102,112
4,3:34.0,Offensive rebound by B. Simmons,,102,112
4,3:32.0,B. Simmons misses 2-pt hook shot from 4 ft,,102,112
4,3:32.0,,Defensive rebound by Team,102,112
4,3:32.0,Loose ball foul by D. Šarić (drawn by K. Middleton),,102,112
4,3:32.0,,K. Middleton makes free throw 1 of 2,102,113
4,3:32.0,,E. İlyasova enters the game for G. Antetokounmpo,102,113
4,3:32.0,,K. Middleton makes free throw 2 of 2,102,114
4,3:24.0,J. Redick misses 3-pt jump shot from 28 ft (block by E. Bledsoe),,102,114
4,3:22.0,,Defensive rebound by E. Bledsoe,102,114
4,3:21.0,Personal foul by E. Bledsoe (drawn by J. Embiid),,102,114
4,3:21.0,,Turnover by E. Bledsoe (lost ball),102,114
4,3:21.0,J. Embiid makes free throw 1 of 2,,103,114
4,3:21.0,J. Embiid makes free throw 2 of 2,,104,114
4,3:18.0,,Milwaukee full timeout,104,114
4,3:18.0,,G. Antetokounmpo enters the game for E. İlyasova,104,114
4,3:06.0,,G. Antetokounmpo misses 2-pt hook shot from 2 ft,104,114
4,3:04.0,Defensive rebound by J. Embiid,,104,114
4,2:48.0,B. Simmons misses 2-pt jump shot from 10 ft,,104,114
4,2:44.0,,Defensive rebound by K. Middleton,104,114
4,2:30.0,,M. Brogdon misses 2-pt layup from 2 ft (block by J. Embiid),104,114
4,2:27.0,Defensive rebound by B. Simmons,,104,114
4,2:21.0,J. Embiid makes 2-pt hook shot from 4 ft (assist by J. Redick),,106,114
4,2:08.0,,Personal foul by B. Simmons (drawn by G. Antetokounmpo),106,114
4,2:08.0,,G. Antetokounmpo makes free throw 1 of 2,106,115
4,2:08.0,,G. Antetokounmpo makes free throw 2 of 2,106,116
4,2:05.0,Personal foul by G. Antetokounmpo (drawn by B. Simmons),,106,116
4,2:05.0,B. Simmons misses free throw 1 of 2,,106,116
4,2:05.0,Offensive rebound by Team,,106,116
4,2:05.0,B. Simmons misses free throw 2 of 2,,106,116
4,2:02.0,,Defensive rebound by G. Antetokounmpo,106,116
4,1:45.0,,E. Bledsoe makes 2-pt layup from 1 ft,106,118
4,1:45.0,Philadelphia full timeout,,106,118
4,1:32.0,R. Covington misses 3-pt jump shot from 28 ft,,106,118
4,1:31.0,,Defensive rebound by E. Bledsoe,106,118
4,1:31.0,,Personal take foul by R. Covington (drawn by E. Bledsoe),106,118
4,1:31.0,,E. Bledsoe makes free throw 1 of 2,106,119
4,1:31.0,M. Fultz enters the game for R. Covington,,106,119
4,1:31.0,F. Korkmaz enters the game for J. Embiid,,106,119
4,1:31.0,T. McConnell enters the game for J. Redick,,106,119
4,1:31.0,M. Muscala enters the game for D. Šarić,,106,119
4,1:31.0,L. Shamet enters the game for B. Simmons,,106,119
4,1:31.0,,D. DiVincenzo enters the game for G. Antetokounmpo,106,119
4,1:31.0,,E. İlyasova enters the game for K. Middleton,106,119
4,1:31.0,,E. Bledsoe makes free throw 2 of 2,106,120
4,1:14.0,L. Shamet misses 2-pt jump shot from 7 ft,,106,120
4,1:13.0,Offensive rebound by M. Muscala,,106,120
4,1:12.0,,Violation by Team (def goaltending),106,120
4,1:12.0,M. Muscala makes 2-pt layup from 1 ft,,108,120
4,0:59.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,108,120
4,0:56.0,Defensive rebound by F. Korkmaz,,108,120
4,0:38.0,L. Shamet misses 2-pt jump shot from 18 ft,,108,120
4,0:35.0,,Defensive rebound by D. DiVincenzo,108,120
4,0:20.0,,M. Brogdon misses 2-pt layup from 2 ft,108,120
4,0:19.0,,Offensive rebound by Team,108,120
4,0:19.0,,J. Henson enters the game for E. Bledsoe,108,120
4,0:19.0,,T. Snell enters the game for B. Lopez,108,120
4,0:08.0,,T. Snell makes 3-pt jump shot from 28 ft,108,123
