QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
4,3:32.0,,D. Wade misses 3-pt jump shot from 23 ft,87,115
4,3:30.0,Defensive rebound by S. Milton,,87,115
4,3:23.0,J. Simmons misses 2-pt hook shot from 9 ft,,87,115
4,3:22.0,Offensive rebound by G. Monroe,,87,115
4,3:22.0,Shooting foul by U. Haslem (drawn by G. Monroe),,87,115
4,3:22.0,G. Monroe makes free throw 1 of 2,,88,115
4,3:22.0,G. Monroe makes free throw 2 of 2,,89,115
4,3:09.0,,U. Haslem misses 3-pt jump shot from 25 ft,89,115
4,3:06.0,Defensive rebound by S. Milton,,89,115
4,2:52.0,S. Milton misses 3-pt jump shot from 23 ft,,89,115
4,2:50.0,Offensive rebound by S. Milton,,89,115
4,2:44.0,H. Highsmith makes 2-pt layup from 2 ft (assist by J. Simmons),,91,115
4,2:26.0,,D. Wade misses 2-pt layup from 1 ft,91,115
4,2:23.0,Defensive rebound by G. Monroe,,91,115
4,2:19.0,S. Milton misses 2-pt layup from 2 ft,,91,115
4,2:17.0,,Defensive rebound by D. Wade,91,115
4,2:13.0,,D. Wade misses 2-pt layup from 1 ft,91,115
4,2:11.0,Defensive rebound by J. Simmons,,91,115
4,2:09.0,G. Monroe makes 2-pt layup from 1 ft (assist by S. Milton),,93,115
4,2:09.0,Shooting foul by J. Johnson (drawn by G. Monroe),,93,115
4,2:09.0,,Miami full timeout,93,115
4,2:09.0,G. Monroe makes free throw 1 of 1,,94,115
4,1:54.0,,D. Wade misses 3-pt jump shot from 25 ft,94,115
4,1:51.0,Defensive rebound by A. Johnson,,94,115
4,1:49.0,Shooting foul by U. Haslem (drawn by G. Monroe),,94,115
4,1:49.0,G. Monroe makes free throw 1 of 2,,95,115
4,1:49.0,G. Monroe makes free throw 2 of 2,,96,115
4,1:30.0,,U. Haslem makes 2-pt jump shot from 11 ft,96,117
4,1:17.0,H. Highsmith misses 2-pt jump shot from 2 ft,,96,117
4,1:14.0,,Defensive rebound by U. Haslem,96,117
4,1:06.0,,Shooting foul by G. Monroe (drawn by U. Haslem),96,117
4,1:06.0,,U. Haslem makes free throw 1 of 2,96,118
4,1:06.0,,R. Anderson enters the game for J. Johnson,96,118
4,1:06.0,,U. Haslem misses free throw 2 of 2,96,118
4,1:02.0,Defensive rebound by A. Johnson,,96,118
4,1:02.0,Personal take foul by D. Wade (drawn by S. Milton),,96,118
4,1:02.0,S. Milton misses free throw 1 of 2,,96,118
4,1:02.0,Offensive rebound by Team,,96,118
4,1:02.0,,J. Johnson enters the game for U. Haslem,96,118
4,1:02.0,,Y. Maten enters the game for D. Wade,96,118
4,1:02.0,S. Milton makes free throw 2 of 2,,97,118
4,0:52.0,,D. Jones makes 2-pt dunk from 1 ft (assist by J. Johnson),97,120
4,0:42.0,G. Monroe makes 2-pt jump shot from 13 ft (assist by J. Simmons),,99,120
4,0:22.0,,Y. Maten misses 2-pt layup from 2 ft,99,120
4,0:21.0,,Offensive rebound by Y. Maten,99,120
4,0:20.0,,Y. Maten misses 2-pt layup from 1 ft,99,120
4,0:20.0,,Offensive rebound by Team,99,120
4,0:17.0,,D. Robinson makes 2-pt jump shot from 16 ft (assist by J. Johnson),99,122
