QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
4,2:00.0,B. Simmons makes 2-pt layup at rim (assist by J. Butler),,112,94
4,1:45.0,,M. Turner misses 2-pt jump shot from 20 ft,112,94
4,1:45.0,Defensive rebound by B. Simmons,,112,94
4,1:26.0,B. Simmons makes 2-pt layup from 1 ft,,114,94
4,1:11.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,114,94
4,1:09.0,,Offensive rebound by Team,114,94
4,1:09.0,J. Bolden enters the game for J. Embiid,,114,94
4,1:09.0,Philadelphia full timeout,,114,94
4,1:09.0,F. Korkmaz enters the game for J. Butler,,114,94
4,1:09.0,T. McConnell enters the game for W. Chandler,,114,94
4,1:09.0,M. Muscala enters the game for J. Redick,,114,94
4,1:09.0,L. Shamet enters the game for B. Simmons,,114,94
4,1:09.0,,A. Holiday enters the game for B. Bogdanović,114,94
4,1:09.0,,A. Johnson enters the game for D. Collison,114,94
4,1:09.0,,T. Leaf enters the game for V. Oladipo,114,94
4,1:09.0,,D. McDermott enters the game for M. Turner,114,94
4,1:09.0,,D. Sabonis enters the game for T. Young,114,94
4,1:01.0,,A. Holiday misses 3-pt jump shot from 26 ft,114,94
4,0:58.0,Defensive rebound by L. Shamet,,114,94
4,0:46.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by T. McConnell),,117,94
4,0:36.0,,T. Leaf makes 2-pt dunk from 2 ft (assist by A. Holiday),117,96
4,0:22.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by F. Korkmaz),,120,96
4,0:10.0,,A. Holiday misses 3-pt jump shot from 30 ft,120,96
4,0:06.0,Defensive rebound by J. Bolden,,120,96
