QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
4,2:08.0,,Offensive foul by W. Carter (drawn by I. Shumpert),106,86
4,2:08.0,H. Giles enters the game for W. Cauley-Stein,,106,86
4,2:08.0,,K. Dunn enters the game for R. Arcidiacono,106,86
4,2:08.0,,C. Felício enters the game for W. Carter,106,86
4,2:08.0,,C. Hutchison enters the game for J. Holiday,106,86
4,2:08.0,,C. Payne enters the game for Z. LaVine,106,86
4,2:08.0,,B. Portis enters the game for L. Markkanen,106,86
4,1:47.0,D. Fox makes 2-pt layup from 1 ft (assist by H. Giles),,108,86
4,1:26.0,,C. Payne misses 3-pt jump shot from 26 ft,108,86
4,1:23.0,,Offensive rebound by B. Portis,108,86
4,1:20.0,,B. Portis misses 2-pt hook shot from 4 ft,108,86
4,1:18.0,Defensive rebound by B. Bogdanović,,108,86
4,1:00.0,Turnover by D. Fox (traveling),,108,86
4,0:46.0,,Personal foul by I. Shumpert (drawn by B. Portis),108,86
4,0:38.0,,C. Hutchison makes 3-pt jump shot from 23 ft (assist by K. Dunn),108,89
4,0:24.0,Turnover by D. Fox (back court),,108,89
4,0:15.0,,Turnover by B. Portis (lost ball; steal by B. Hield),108,89
