QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
4,5:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),108,104
4,5:36.0,Phoenix full timeout,,108,104
4,5:36.0,R. Holmes enters the game for D. Ayton,,108,104
4,5:36.0,T. Warren enters the game for J. Crawford,,108,104
4,5:18.0,Turnover by T. Ariza (bad pass),,108,104
4,5:06.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),108,107
4,4:53.0,Personal foul by E. Bledsoe (drawn by D. Booker),,108,107
4,4:45.0,D. Booker misses 2-pt layup from 6 ft (block by E. Bledsoe),,108,107
4,4:45.0,Offensive rebound by Team,,108,107
4,4:40.0,D. Booker misses 2-pt jump shot from 15 ft,,108,107
4,4:35.0,,Defensive rebound by K. Middleton,108,107
4,4:26.0,,B. Lopez misses 3-pt jump shot from 27 ft,108,107
4,4:22.0,,Offensive rebound by M. Brogdon,108,107
4,4:21.0,,Turnover by G. Antetokounmpo (lost ball; steal by R. Holmes),108,107
4,4:21.0,Personal foul by G. Antetokounmpo (drawn by R. Holmes),,108,107
4,4:21.0,,Technical foul by I. Kokoskov,108,107
4,4:21.0,D. Ayton enters the game for M. Bridges,,108,107
4,4:21.0,J. Crawford enters the game for R. Holmes,,108,107
4,4:21.0,,K. Middleton makes technical free throw,108,108
4,4:03.0,J. Crawford misses 2-pt jump shot from 11 ft,,108,108
4,3:59.0,,Defensive rebound by K. Middleton,108,108
4,3:59.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),108,110
4,3:59.0,,Shooting foul by D. Booker (drawn by G. Antetokounmpo),108,110
4,3:59.0,Technical foul by D. Booker,,108,110
4,3:59.0,,K. Middleton makes technical free throw,108,111
4,3:59.0,,G. Antetokounmpo misses free throw 1 of 1,108,111
4,3:59.0,Defensive rebound by Team,,108,111
4,3:57.0,,Loose ball foul by K. Middleton (drawn by T. Ariza),108,111
4,3:44.0,T. Warren misses 2-pt jump shot from 15 ft,,108,111
4,3:41.0,,Defensive rebound by B. Lopez,108,111
4,3:36.0,,Turnover by K. Middleton (bad pass; steal by J. Crawford),108,111
4,3:31.0,D. Booker misses 2-pt layup from 1 ft,,108,111
4,3:29.0,,Defensive rebound by B. Lopez,108,111
4,3:26.0,,M. Brogdon makes 2-pt layup from 1 ft,108,113
4,3:26.0,,Shooting foul by D. Ayton (drawn by M. Brogdon),108,113
4,3:26.0,Phoenix full timeout,,108,113
4,3:26.0,,M. Brogdon makes free throw 1 of 1,108,114
4,3:18.0,D. Booker misses 3-pt jump shot from 27 ft,,108,114
4,3:14.0,,Defensive rebound by G. Antetokounmpo,108,114
4,3:09.0,,Milwaukee full timeout,108,114
4,3:00.0,,B. Lopez misses 3-pt jump shot from 26 ft,108,114
4,2:58.0,Defensive rebound by T. Ariza,,108,114
4,2:41.0,T. Warren misses 3-pt jump shot from 23 ft,,108,114
4,2:38.0,,Defensive rebound by M. Brogdon,108,114
4,2:14.0,,B. Lopez misses 3-pt jump shot from 23 ft,108,114
4,2:12.0,Defensive rebound by T. Ariza,,108,114
4,1:52.0,D. Booker misses 2-pt jump shot from 16 ft,,108,114
4,1:49.0,,Defensive rebound by G. Antetokounmpo,108,114
4,1:28.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,108,114
4,1:26.0,Defensive rebound by T. Warren,,108,114
4,1:17.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by D. Ayton),,111,114
4,0:58.0,,K. Middleton misses 2-pt layup from 1 ft,111,114
4,0:56.0,Defensive rebound by T. Ariza,,111,114
4,0:53.0,T. Warren makes 2-pt layup from 2 ft (assist by J. Crawford),,113,114
4,0:53.0,Shooting foul by B. Lopez (drawn by T. Warren),,113,114
4,0:53.0,M. Bridges enters the game for J. Crawford,,113,114
4,0:53.0,T. Warren makes free throw 1 of 1,,114,114
4,0:53.0,,Milwaukee full timeout,114,114
4,0:44.0,,K. Middleton misses 2-pt jump shot from 11 ft (block by T. Warren),114,114
4,0:44.0,Defensive rebound by Team,,114,114
4,0:29.0,T. Warren misses 2-pt layup from 3 ft (block by B. Lopez),,114,114
4,0:26.0,,Defensive rebound by G. Antetokounmpo,114,114
4,0:12.0,,Turnover by G. Antetokounmpo (out of bounds lost ball),114,114
4,0:12.0,Phoenix full timeout,,114,114
4,0:12.0,J. Crawford enters the game for M. Bridges,,114,114
4,0:00.0,J. Crawford makes 2-pt jump shot from 17 ft,,116,114
4,0:00.0,,Milwaukee full timeout,116,114
