QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
4,10:18.0,G. Hill makes free throw 3 of 3,,88,92
4,10:05.0,,J. Embiid makes 2-pt jump shot from 13 ft,88,94
4,9:56.0,Turnover by K. Middleton (bad pass; steal by Z. Smith),,88,94
4,9:52.0,,Z. Smith misses 2-pt layup from 2 ft,88,94
4,9:48.0,Defensive rebound by S. Brown,,88,94
4,9:45.0,D. Wilson makes 3-pt jump shot from 28 ft (assist by S. Brown),,91,94
4,9:45.0,G. Antetokounmpo enters the game for D. Wilson,,91,94
4,9:45.0,,S. Milton enters the game for J. Redick,91,94
4,9:28.0,,J. Embiid makes 2-pt jump shot from 13 ft,91,96
4,9:10.0,G. Hill makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,93,96
4,8:54.0,,Turnover by B. Simmons (bad pass; steal by S. Brown),93,96
4,8:50.0,Turnover by S. Brown (bad pass; steal by J. Embiid),,93,96
4,8:37.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Embiid),93,99
4,8:25.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,95,99
4,8:14.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),95,102
4,8:04.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by K. Middleton),,98,102
4,8:03.0,,Philadelphia full timeout,98,102
4,8:03.0,P. Connaughton enters the game for E. İlyasova,,98,102
4,8:03.0,B. Lopez enters the game for K. Middleton,,98,102
4,8:03.0,,T. Harris enters the game for Z. Smith,98,102
4,7:36.0,,J. Embiid makes 2-pt jump shot from 8 ft (assist by T. Harris),98,104
4,7:19.0,B. Lopez makes 2-pt jump shot from 11 ft,,100,104
4,7:04.0,,J. Embiid misses 2-pt jump shot from 11 ft,100,104
4,7:02.0,Defensive rebound by B. Lopez,,100,104
4,6:55.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,103,104
4,6:32.0,,J. Embiid misses 2-pt hook shot from 6 ft,103,104
4,6:30.0,Defensive rebound by P. Connaughton,,103,104
4,6:27.0,Shooting foul by M. Scott (drawn by G. Antetokounmpo),,103,104
4,6:27.0,G. Antetokounmpo misses free throw 1 of 2,,103,104
4,6:27.0,Offensive rebound by Team,,103,104
4,6:27.0,,J. Bolden enters the game for J. Embiid,103,104
4,6:27.0,,J. Redick enters the game for S. Milton,103,104
4,6:27.0,G. Antetokounmpo makes free throw 2 of 2,,104,104
4,6:07.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Simmons),104,106
4,5:58.0,Shooting foul by B. Simmons (drawn by G. Antetokounmpo),,104,106
4,5:58.0,G. Antetokounmpo makes free throw 1 of 2,,105,106
4,5:58.0,G. Antetokounmpo misses free throw 2 of 2,,105,106
4,5:56.0,,Defensive rebound by J. Bolden,105,106
4,5:50.0,,J. Bolden makes 3-pt jump shot from 26 ft (assist by J. Redick),105,109
4,5:28.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by P. Connaughton),,107,109
4,5:08.0,,M. Scott misses 3-pt jump shot from 23 ft,107,109
4,5:05.0,Defensive rebound by S. Brown,,107,109
4,5:02.0,S. Brown makes 2-pt dunk at rim,,109,109
4,5:02.0,,Philadelphia full timeout,109,109
4,5:02.0,,J. Embiid enters the game for J. Bolden,109,109
4,4:52.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Embiid),109,111
4,4:30.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by J. Embiid),,109,111
4,4:26.0,Offensive rebound by Team,,109,111
4,4:25.0,S. Brown makes 2-pt jump shot from 4 ft,,111,111
4,4:14.0,,M. Scott makes 3-pt jump shot from 23 ft (assist by J. Embiid),111,114
4,4:04.0,B. Lopez misses 3-pt jump shot from 26 ft,,111,114
4,4:01.0,,Defensive rebound by T. Harris,111,114
4,3:53.0,,Shooting foul by B. Lopez (drawn by J. Embiid),111,114
4,3:53.0,,J. Embiid misses free throw 1 of 2,111,114
4,3:53.0,,Offensive rebound by Team,111,114
4,3:53.0,E. İlyasova enters the game for P. Connaughton,,111,114
4,3:53.0,K. Middleton enters the game for G. Hill,,111,114
4,3:53.0,,J. Embiid makes free throw 2 of 2,111,115
4,3:35.0,S. Brown misses 2-pt layup from 3 ft (block by T. Harris),,111,115
4,3:34.0,,Defensive rebound by Team,111,115
4,3:20.0,,J. Embiid misses 2-pt jump shot from 21 ft,111,115
4,3:20.0,Defensive rebound by G. Antetokounmpo,,111,115
4,3:12.0,Personal foul by M. Scott (drawn by G. Antetokounmpo),,111,115
4,3:12.0,G. Antetokounmpo makes free throw 1 of 2,,112,115
4,3:12.0,G. Hill enters the game for S. Brown,,112,115
4,3:12.0,Milwaukee full timeout,,112,115
4,3:12.0,P. Connaughton enters the game for E. İlyasova,,112,115
4,3:12.0,G. Antetokounmpo makes free throw 2 of 2,,113,115
4,2:54.0,,M. Scott makes 3-pt jump shot from 22 ft (assist by J. Embiid),113,118
4,2:35.0,G. Hill misses 2-pt layup from 2 ft (block by J. Embiid),,113,118
4,2:32.0,Offensive rebound by K. Middleton,,113,118
4,2:26.0,Personal foul by M. Scott (drawn by K. Middleton),,113,118
4,2:26.0,K. Middleton misses free throw 1 of 2,,113,118
4,2:26.0,Offensive rebound by Team,,113,118
4,2:26.0,S. Brown enters the game for P. Connaughton,,113,118
4,2:26.0,K. Middleton makes free throw 2 of 2,,114,118
4,2:11.0,,Offensive foul by T. Harris (drawn by G. Hill),114,118
4,2:11.0,,Turnover by T. Harris (offensive foul),114,118
4,1:54.0,G. Hill makes 3-pt jump shot from 26 ft,,117,118
4,1:38.0,,Shooting foul by B. Lopez (drawn by J. Embiid),117,118
4,1:38.0,,J. Embiid makes free throw 1 of 2,117,119
4,1:38.0,,J. Embiid misses free throw 2 of 2,117,119
4,1:36.0,Defensive rebound by K. Middleton,,117,119
4,1:24.0,G. Hill makes 2-pt jump shot from 14 ft,,119,119
4,1:07.0,,J. Redick misses 3-pt jump shot from 26 ft,119,119
4,1:03.0,Defensive rebound by G. Antetokounmpo,,119,119
4,1:02.0,G. Hill makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,121,119
4,1:02.0,,Philadelphia full timeout,121,119
4,0:48.0,,J. Embiid misses 2-pt layup from 5 ft (block by G. Antetokounmpo),121,119
4,0:48.0,,Offensive rebound by Team,121,119
4,0:44.0,,Turnover by J. Embiid (bad pass; steal by B. Lopez),121,119
4,0:40.0,S. Brown makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,123,119
4,0:31.0,,T. Harris misses 2-pt jump shot from 19 ft,123,119
4,0:27.0,Defensive rebound by G. Antetokounmpo,,123,119
4,0:25.0,Personal take foul by B. Simmons (drawn by K. Middleton),,123,119
4,0:25.0,K. Middleton makes free throw 1 of 2,,124,119
4,0:25.0,K. Middleton makes free throw 2 of 2,,125,119
4,0:25.0,,Philadelphia full timeout,125,119
4,0:23.0,,J. Embiid misses 3-pt jump shot from 26 ft,125,119
4,0:20.0,Defensive rebound by G. Antetokounmpo,,125,119
4,0:16.0,B. Lopez makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,127,119
4,0:11.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by M. Scott),127,122
4,0:11.0,Personal take foul by J. Redick (drawn by G. Hill),,127,122
4,0:11.0,G. Hill misses free throw 1 of 2,,127,122
4,0:11.0,Offensive rebound by Team,,127,122
4,0:11.0,P. Connaughton enters the game for K. Middleton,,127,122
4,0:11.0,G. Hill makes free throw 2 of 2,,128,122
4,0:05.0,,J. Redick misses 3-pt jump shot from 26 ft,128,122
4,0:01.0,Defensive rebound by B. Lopez,,128,122
