QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SAN ANTONIO_ACTION,BROOKLYN_SCORE,SAN ANTONIO_SCORE
4,7:35.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by R. Gay),97,92
4,7:18.0,D. Carroll misses 3-pt jump shot from 24 ft,,97,92
4,7:16.0,,Defensive rebound by R. Gay,97,92
4,7:11.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by R. Gay),97,95
4,6:53.0,Shooting foul by B. Forbes (drawn by D. Russell),,97,95
4,6:53.0,D. Russell makes free throw 1 of 2,,98,95
4,6:53.0,J. Allen enters the game for D. Carroll,,98,95
4,6:53.0,J. Harris enters the game for E. Davis,,98,95
4,6:53.0,,P. Mills enters the game for B. Forbes,98,95
4,6:53.0,D. Russell makes free throw 2 of 2,,99,95
4,6:37.0,,L. Aldridge misses 2-pt jump shot from 13 ft,99,95
4,6:34.0,Defensive rebound by R. Kurucs,,99,95
4,6:28.0,D. Russell misses 2-pt jump shot from 15 ft,,99,95
4,6:26.0,,Defensive rebound by D. White,99,95
4,6:21.0,,D. White makes 2-pt layup from 2 ft,99,97
4,6:21.0,Brooklyn full timeout,,99,97
4,6:21.0,S. Napier enters the game for D. Russell,,99,97
4,5:59.0,T. Graham misses 2-pt jump shot from 8 ft,,99,97
4,5:57.0,,Defensive rebound by L. Aldridge,99,97
4,5:44.0,,P. Mills misses 3-pt jump shot from 26 ft,99,97
4,5:40.0,Defensive rebound by R. Kurucs,,99,97
4,5:32.0,Shooting foul by M. Belinelli (drawn by S. Napier),,99,97
4,5:32.0,S. Napier misses free throw 1 of 3,,99,97
4,5:32.0,Offensive rebound by Team,,99,97
4,5:32.0,S. Napier makes free throw 2 of 3,,100,97
4,5:32.0,,D. Bertāns enters the game for M. Belinelli,100,97
4,5:32.0,,D. DeRozan enters the game for R. Gay,100,97
4,5:32.0,S. Napier makes free throw 3 of 3,,101,97
4,5:18.0,,D. White makes 3-pt jump shot from 23 ft (assist by L. Aldridge),101,100
4,5:01.0,R. Kurucs misses 3-pt jump shot from 25 ft,,101,100
4,4:59.0,,Defensive rebound by D. White,101,100
4,4:54.0,,Shooting foul by T. Graham (drawn by D. White),101,100
4,4:54.0,,D. White makes free throw 1 of 2,101,101
4,4:54.0,D. Carroll enters the game for T. Graham,,101,101
4,4:54.0,D. Russell enters the game for S. Napier,,101,101
4,4:54.0,,D. White misses free throw 2 of 2,101,101
4,4:53.0,Defensive rebound by D. Carroll,,101,101
4,4:30.0,Turnover by R. Kurucs (off goaltending),,101,101
4,4:14.0,,L. Aldridge misses 2-pt jump shot from 9 ft,101,101
4,4:10.0,,Offensive rebound by D. DeRozan,101,101
4,4:10.0,,D. DeRozan makes 2-pt layup from 1 ft,101,103
4,4:04.0,D. Russell misses 2-pt jump shot from 16 ft,,101,103
4,4:01.0,,Defensive rebound by D. DeRozan,101,103
4,3:55.0,,L. Aldridge misses 2-pt layup at rim (block by D. Russell),101,103
4,3:53.0,Defensive rebound by D. Carroll,,101,103
4,3:47.0,Personal foul by D. Bertāns (drawn by D. Carroll),,101,103
4,3:47.0,D. Carroll makes free throw 1 of 2,,102,103
4,3:47.0,S. Napier enters the game for R. Kurucs,,102,103
4,3:47.0,D. Carroll makes free throw 2 of 2,,103,103
4,3:34.0,,Personal foul by D. Russell (drawn by D. White),103,103
4,3:34.0,,D. White makes free throw 1 of 2,103,104
4,3:34.0,,D. White makes free throw 2 of 2,103,105
4,3:19.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,106,105
4,3:02.0,,D. Bertāns misses 3-pt jump shot from 26 ft,106,105
4,2:59.0,,Offensive rebound by L. Aldridge,106,105
4,2:59.0,,Shooting foul by D. Carroll (drawn by L. Aldridge),106,105
4,2:59.0,,L. Aldridge misses free throw 1 of 2,106,105
4,2:59.0,,Offensive rebound by Team,106,105
4,2:59.0,,L. Aldridge makes free throw 2 of 2,106,106
4,2:46.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,109,106
4,2:31.0,,L. Aldridge misses 2-pt layup from 1 ft,109,106
4,2:26.0,,Offensive rebound by L. Aldridge,109,106
4,2:26.0,,L. Aldridge makes 2-pt layup from 1 ft,109,108
4,2:11.0,Turnover by D. Russell (bad pass; steal by D. White),,109,108
4,2:07.0,,Shooting foul by J. Allen (drawn by D. White),109,108
4,2:07.0,,D. White makes free throw 1 of 2,109,109
4,2:07.0,,D. White makes free throw 2 of 2,109,110
4,1:45.0,D. Carroll misses 3-pt jump shot from 25 ft,,109,110
4,1:41.0,,Defensive rebound by Team,109,110
4,1:29.0,,D. DeRozan makes 2-pt jump shot from 12 ft,109,112
4,1:29.0,Brooklyn full timeout,,109,112
4,1:20.0,D. Russell makes 2-pt layup from 2 ft,,111,112
4,1:04.0,,P. Mills misses 2-pt layup from 3 ft,111,112
4,1:00.0,,Offensive rebound by L. Aldridge,111,112
4,0:51.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),111,114
4,0:51.0,,Shooting foul by J. Harris (drawn by L. Aldridge),111,114
4,0:51.0,,L. Aldridge makes free throw 1 of 1,111,115
4,0:37.0,D. Russell misses 3-pt jump shot from 25 ft,,111,115
4,0:37.0,,Defensive rebound by D. DeRozan,111,115
4,0:16.0,,D. DeRozan misses 2-pt jump shot from 16 ft,111,115
4,0:12.0,Defensive rebound by D. Russell,,111,115
4,0:11.0,D. Russell misses 3-pt jump shot from 25 ft,,111,115
4,0:07.0,Offensive rebound by D. Russell,,111,115
4,0:04.0,S. Napier makes 3-pt jump shot from 23 ft (assist by D. Russell),,114,115
4,0:04.0,,San Antonio full timeout,114,115
4,0:04.0,T. Graham enters the game for S. Napier,,114,115
4,0:04.0,R. Hollis-Jefferson enters the game for D. Russell,,114,115
4,0:04.0,,B. Forbes enters the game for D. Bertāns,114,115
4,0:04.0,,R. Gay enters the game for P. Mills,114,115
4,0:03.0,,Personal foul by J. Allen (drawn by L. Aldridge),114,115
4,0:03.0,,L. Aldridge makes free throw 1 of 2,114,116
4,0:03.0,E. Davis enters the game for J. Harris,,114,116
4,0:03.0,,L. Aldridge makes free throw 2 of 2,114,117
4,0:03.0,Brooklyn full timeout,,114,117
4,0:03.0,J. Harris enters the game for J. Allen,,114,117
4,0:03.0,S. Napier enters the game for E. Davis,,114,117
4,0:03.0,D. Russell enters the game for R. Hollis-Jefferson,,114,117
4,0:03.0,,D. Bertāns enters the game for B. Forbes,114,117
4,0:03.0,,P. Mills enters the game for R. Gay,114,117
4,0:00.0,S. Napier misses 3-pt jump shot from 26 ft,,114,117
4,0:00.0,Offensive rebound by Team,,114,117
