QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
4,5:36.0,,Q. Cook misses 3-pt jump shot from 26 ft,91,127
4,5:34.0,,Offensive rebound by A. McKinnie,91,127
4,5:29.0,,Q. Cook misses 3-pt jump shot from 23 ft,91,127
4,5:27.0,Defensive rebound by Q. Pondexter,,91,127
4,5:13.0,Shooting foul by Q. Cook (drawn by L. Walker),,91,127
4,5:13.0,L. Walker makes free throw 1 of 2,,92,127
4,5:13.0,L. Walker makes free throw 2 of 2,,93,127
4,5:05.0,,Q. Cook misses 3-pt jump shot from 28 ft,93,127
4,5:03.0,Defensive rebound by C. Metu,,93,127
4,4:41.0,Shooting foul by J. Jerebko (drawn by L. Walker),,93,127
4,4:41.0,L. Walker makes free throw 1 of 2,,94,127
4,4:41.0,L. Walker makes free throw 2 of 2,,95,127
4,4:22.0,,M. Derrickson misses 2-pt jump shot from 6 ft (block by D. Eubanks),95,127
4,4:20.0,Defensive rebound by C. Metu,,95,127
4,4:00.0,L. Walker misses 2-pt jump shot from 21 ft,,95,127
4,3:58.0,Offensive rebound by C. Metu,,95,127
4,3:55.0,C. Metu makes 2-pt jump shot from 9 ft,,97,127
4,3:35.0,,J. Jerebko makes 2-pt layup from 2 ft,97,129
4,3:23.0,Turnover by L. Walker (lost ball; steal by Q. Cook),,97,129
4,3:18.0,Violation by Team (def goaltending),,97,129
4,3:18.0,,Q. Cook makes 2-pt layup from 2 ft (assist by A. McKinnie),97,131
4,2:58.0,D. Cunningham makes 3-pt jump shot from 27 ft (assist by C. Metu),,100,131
4,2:47.0,,Golden State full timeout,100,131
4,2:37.0,,J. Bell makes 2-pt dunk from 2 ft (assist by Q. Cook),100,133
4,2:14.0,Turnover by D. Cunningham (bad pass),,100,133
4,1:55.0,,Q. Cook misses 3-pt jump shot from 28 ft,100,133
4,1:51.0,,Offensive rebound by M. Derrickson,100,133
4,1:41.0,,M. Derrickson makes 3-pt jump shot from 31 ft (assist by A. McKinnie),100,136
4,1:20.0,C. Metu misses 2-pt jump shot from 21 ft,,100,136
4,1:18.0,,Defensive rebound by A. McKinnie,100,136
4,0:57.0,,Q. Cook makes 2-pt layup from 3 ft,100,138
4,0:44.0,Turnover by D. Eubanks (bad pass; steal by Q. Cook),,100,138
4,0:43.0,,Personal foul by Q. Pondexter (drawn by Q. Cook),100,138
4,0:35.0,,J. Bell misses 2-pt jump shot from 16 ft,100,138
4,0:34.0,,Offensive rebound by M. Derrickson,100,138
4,0:28.0,,J. Jerebko makes 3-pt jump shot from 31 ft (assist by M. Derrickson),100,141
4,0:15.0,D. Eubanks makes 2-pt hook shot from 6 ft (assist by Q. Pondexter),,102,141
