QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
4,7:43.0,,R. Gobert makes 2-pt layup from 2 ft (assist by K. Korver),97,111
4,7:33.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,99,111
4,7:33.0,Shooting foul by G. Niang (drawn by J. Collins),,99,111
4,7:33.0,J. Collins misses free throw 1 of 1,,99,111
4,7:32.0,,Defensive rebound by G. Niang,99,111
4,7:23.0,,K. Korver makes 2-pt jump shot from 24 ft (assist by R. Rubio),99,113
4,7:10.0,Turnover by D. Dedmon (out of bounds lost ball),,99,113
4,7:10.0,,J. Ingles enters the game for R. Rubio,99,113
4,7:00.0,,K. Korver misses 2-pt jump shot from 12 ft,99,113
4,6:56.0,Defensive rebound by J. Collins,,99,113
4,6:52.0,Shooting foul by G. Niang (drawn by T. Young),,99,113
4,6:52.0,T. Young makes free throw 1 of 2,,100,113
4,6:52.0,,Utah full timeout,100,113
4,6:52.0,K. Bazemore enters the game for K. Huerter,,100,113
4,6:52.0,T. Young misses free throw 2 of 2,,100,113
4,6:49.0,,Defensive rebound by J. Ingles,100,113
4,6:36.0,,D. Mitchell misses 2-pt jump shot from 4 ft,100,113
4,6:34.0,Defensive rebound by J. Collins,,100,113
4,6:26.0,Personal foul by R. Gobert (drawn by J. Collins),,100,113
4,6:23.0,T. Young makes 3-pt jump shot from 25 ft,,103,113
4,6:06.0,,J. Ingles misses 2-pt layup from 3 ft (block by J. Collins),103,113
4,6:03.0,Defensive rebound by K. Bazemore,,103,113
4,5:54.0,J. Collins makes 2-pt dunk from 2 ft (assist by D. Dedmon),,105,113
4,5:53.0,,Utah full timeout,105,113
4,5:53.0,,J. Crowder enters the game for K. Korver,105,113
4,5:53.0,,R. Rubio enters the game for G. Niang,105,113
4,5:37.0,,Shooting foul by T. Young (drawn by R. Rubio),105,113
4,5:37.0,,R. Rubio makes free throw 1 of 3,105,114
4,5:37.0,,R. Rubio makes free throw 2 of 3,105,115
4,5:37.0,,R. Rubio misses free throw 3 of 3,105,115
4,5:34.0,Defensive rebound by J. Collins,,105,115
4,5:25.0,T. Young misses 2-pt jump shot from 6 ft,,105,115
4,5:22.0,,Defensive rebound by D. Mitchell,105,115
4,5:17.0,,R. Gobert makes 2-pt layup from 4 ft (assist by R. Rubio),105,117
4,5:17.0,,Shooting foul by J. Collins (drawn by R. Gobert),105,117
4,5:17.0,,R. Gobert misses free throw 1 of 1,105,117
4,5:15.0,Defensive rebound by D. Dedmon,,105,117
4,4:54.0,K. Bazemore misses 3-pt jump shot from 23 ft,,105,117
4,4:51.0,,Defensive rebound by J. Crowder,105,117
4,4:38.0,,R. Rubio misses 3-pt jump shot from 22 ft,105,117
4,4:35.0,Defensive rebound by K. Bazemore,,105,117
4,4:30.0,Personal foul by J. Ingles (drawn by T. Young),,105,117
4,4:30.0,T. Young makes free throw 1 of 2,,106,117
4,4:30.0,T. Young makes free throw 2 of 2,,107,117
4,4:16.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),107,119
4,4:16.0,,Shooting foul by D. Dedmon (drawn by R. Gobert),107,119
4,4:16.0,O. Spellman enters the game for D. Dedmon,,107,119
4,4:16.0,,R. Gobert misses free throw 1 of 1,107,119
4,4:14.0,Defensive rebound by K. Bazemore,,107,119
4,4:04.0,O. Spellman misses 3-pt jump shot from 28 ft,,107,119
4,4:00.0,Offensive rebound by K. Bazemore,,107,119
4,3:59.0,K. Bazemore misses 2-pt jump shot from 2 ft,,107,119
4,3:59.0,,Defensive rebound by J. Ingles,107,119
4,3:52.0,,J. Crowder misses 3-pt jump shot from 23 ft,107,119
4,3:49.0,,Offensive rebound by R. Gobert,107,119
4,3:48.0,,Shooting foul by T. Young (drawn by R. Gobert),107,119
4,3:48.0,,R. Gobert makes free throw 1 of 2,107,120
4,3:48.0,K. Huerter enters the game for K. Bazemore,,107,120
4,3:48.0,,R. Gobert makes free throw 2 of 2,107,121
4,3:31.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Huerter),,109,121
4,3:31.0,Shooting foul by R. Gobert (drawn by J. Collins),,109,121
4,3:31.0,J. Collins makes free throw 1 of 1,,110,121
4,3:13.0,,Personal foul by T. Prince (drawn by R. Gobert),110,121
4,3:13.0,,R. Gobert makes free throw 1 of 2,110,122
4,3:13.0,,R. Gobert makes free throw 2 of 2,110,123
4,2:59.0,J. Collins misses 3-pt jump shot from 24 ft,,110,123
4,2:56.0,,Defensive rebound by J. Ingles,110,123
4,2:49.0,,Offensive foul by R. Gobert (drawn by T. Prince),110,123
4,2:49.0,,Turnover by R. Gobert (offensive foul),110,123
4,2:39.0,K. Huerter misses 3-pt jump shot from 28 ft,,110,123
4,2:36.0,,Defensive rebound by J. Crowder,110,123
4,2:24.0,,D. Mitchell makes 2-pt layup from 6 ft (assist by J. Ingles),110,125
4,2:04.0,Turnover by J. Collins (lost ball; steal by J. Crowder),,110,125
4,1:45.0,,J. Ingles makes 3-pt jump shot from 25 ft,110,128
4,1:35.0,Atlanta full timeout,,110,128
4,1:35.0,T. Dorsey enters the game for J. Collins,,110,128
4,1:35.0,D. Hamilton enters the game for K. Huerter,,110,128
4,1:35.0,A. Len enters the game for T. Prince,,110,128
4,1:35.0,J. Lin enters the game for T. Young,,110,128
4,1:35.0,,G. Allen enters the game for J. Crowder,110,128
4,1:35.0,,N. Mitrou-Long enters the game for R. Gobert,110,128
4,1:35.0,,G. Niang enters the game for J. Ingles,110,128
4,1:35.0,,R. O'Neale enters the game for D. Mitchell,110,128
4,1:35.0,,E. Udoh enters the game for R. Rubio,110,128
4,1:35.0,Away from play foul by G. Niang (drawn by J. Lin),,110,128
4,1:35.0,J. Lin makes free throw 1 of 1,,111,128
4,1:24.0,D. Hamilton misses 2-pt jump shot from 13 ft,,111,128
4,1:20.0,Offensive rebound by Team,,111,128
4,1:12.0,O. Spellman misses 3-pt jump shot from 26 ft,,111,128
4,1:08.0,,Defensive rebound by N. Mitrou-Long,111,128
4,0:49.0,,N. Mitrou-Long misses 2-pt jump shot from 2 ft,111,128
4,0:47.0,Defensive rebound by O. Spellman,,111,128
4,0:36.0,Offensive foul by D. Hamilton (drawn by N. Mitrou-Long),,111,128
4,0:36.0,Turnover by D. Hamilton (offensive foul),,111,128
4,0:28.0,,G. Allen misses 3-pt jump shot from 26 ft,111,128
4,0:24.0,Defensive rebound by D. Hamilton,,111,128
4,0:19.0,Shooting foul by G. Allen (drawn by T. Dorsey),,111,128
4,0:19.0,T. Dorsey misses free throw 1 of 2,,111,128
4,0:19.0,Offensive rebound by Team,,111,128
4,0:19.0,T. Dorsey makes free throw 2 of 2,,112,128
