QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
4,3:10.0,,Boston full timeout,90,99
4,2:58.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by K. Irving),90,102
4,2:40.0,J. Green makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,93,102
4,2:21.0,,Shooting foul by T. Satoranský (drawn by J. Brown),93,102
4,2:21.0,,J. Brown makes free throw 1 of 2,93,103
4,2:21.0,,J. Brown makes free throw 2 of 2,93,104
4,2:01.0,J. Green misses 3-pt jump shot from 25 ft,,93,104
4,2:00.0,Offensive rebound by T. Satoranský,,93,104
4,1:55.0,B. Beal misses 3-pt jump shot from 23 ft,,93,104
4,1:53.0,,Defensive rebound by J. Brown,93,104
4,1:47.0,,M. Smart makes 2-pt dunk from 2 ft (assist by A. Horford),93,106
4,1:37.0,J. Green misses 3-pt jump shot from 23 ft,,93,106
4,1:35.0,,Defensive rebound by K. Irving,93,106
4,1:28.0,,K. Irving misses 2-pt layup from 3 ft,93,106
4,1:26.0,Defensive rebound by B. Portis,,93,106
4,1:24.0,Shooting foul by G. Hayward (drawn by B. Portis),,93,106
4,1:24.0,B. Portis misses free throw 1 of 2,,93,106
4,1:24.0,Offensive rebound by Team,,93,106
4,1:24.0,B. Portis makes free throw 2 of 2,,94,106
4,1:12.0,,J. Brown misses 3-pt jump shot from 24 ft,94,106
4,1:10.0,Defensive rebound by B. Beal,,94,106
4,1:02.0,T. Ariza misses 3-pt jump shot from 24 ft,,94,106
4,1:00.0,,Defensive rebound by J. Brown,94,106
4,0:45.0,,Shooting foul by B. Portis (drawn by G. Hayward),94,106
4,0:45.0,,G. Hayward makes free throw 1 of 2,94,107
4,0:45.0,T. Brown enters the game for B. Beal,,94,107
4,0:45.0,T. Bryant enters the game for B. Portis,,94,107
4,0:45.0,C. Randle enters the game for T. Satoranský,,94,107
4,0:45.0,,T. Rozier enters the game for A. Horford,94,107
4,0:45.0,,R. Williams enters the game for K. Irving,94,107
4,0:45.0,,G. Hayward misses free throw 2 of 2,94,107
4,0:45.0,Defensive rebound by T. Bryant,,94,107
4,0:37.0,T. Bryant makes 2-pt jump shot from 17 ft (assist by T. Brown),,96,107
4,0:23.0,,J. Brown misses 3-pt jump shot from 27 ft,96,107
4,0:21.0,Defensive rebound by T. Bryant,,96,107
