QUARTER,TIME_REMAINING,ATLANTA_ACTION,SACRAMENTO_ACTION,ATLANTA_SCORE,SACRAMENTO_SCORE
4,6:47.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),97,122
4,6:30.0,T. Young misses 3-pt jump shot from 26 ft,,97,122
4,6:27.0,,Defensive rebound by M. Bagley,97,122
4,6:24.0,,B. Hield misses 3-pt jump shot from 26 ft,97,122
4,6:20.0,Defensive rebound by K. Huerter,,97,122
4,6:11.0,Turnover by K. Bazemore (bad pass),,97,122
4,6:11.0,J. Lin enters the game for K. Huerter,,97,122
4,6:11.0,T. Prince enters the game for T. Young,,97,122
4,6:01.0,,M. Bagley misses 2-pt jump shot from 15 ft,97,122
4,5:57.0,Defensive rebound by J. Lin,,97,122
4,5:53.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by J. Lin),,100,122
4,5:32.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,100,122
4,5:28.0,Defensive rebound by D. Dedmon,,100,122
4,5:20.0,J. Lin makes 2-pt jump shot from 6 ft,,102,122
4,5:05.0,,Shooting foul by D. Dedmon (drawn by W. Cauley-Stein),102,122
4,5:05.0,,W. Cauley-Stein misses free throw 1 of 2,102,122
4,5:05.0,,Offensive rebound by Team,102,122
4,5:05.0,A. Len enters the game for O. Spellman,,102,122
4,5:05.0,,W. Cauley-Stein makes free throw 2 of 2,102,123
4,4:49.0,Turnover by T. Prince (lost ball; steal by B. Hield),,102,123
4,4:40.0,,Turnover by B. Bogdanović (bad pass; steal by K. Bazemore),102,123
4,4:35.0,K. Bazemore misses 3-pt jump shot from 25 ft,,102,123
4,4:35.0,Offensive rebound by Team,,102,123
4,4:35.0,,Loose ball foul by B. Hield (drawn by T. Prince),102,123
4,4:35.0,,K. Koufos enters the game for W. Cauley-Stein,102,123
4,4:21.0,D. Dedmon misses 3-pt jump shot from 24 ft,,102,123
4,4:20.0,Offensive rebound by Team,,102,123
4,4:20.0,Turnover by Team (shot clock),,102,123
4,4:20.0,D. Hamilton enters the game for K. Bazemore,,102,123
4,4:02.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,102,123
4,4:01.0,Defensive rebound by Team,,102,123
4,4:01.0,,J. Jackson enters the game for B. Bogdanović,102,123
4,3:50.0,A. Len makes 2-pt jump shot from 15 ft (assist by D. Hamilton),,104,123
4,3:25.0,,Shooting foul by D. Hamilton (drawn by J. Jackson),104,123
4,3:25.0,,J. Jackson makes free throw 1 of 2,104,124
4,3:25.0,J. Anderson enters the game for D. Dedmon,,104,124
4,3:25.0,O. Spellman enters the game for T. Prince,,104,124
4,3:25.0,,F. Mason enters the game for Y. Ferrell,104,124
4,3:25.0,,J. Jackson makes free throw 2 of 2,104,125
4,3:13.0,J. Lin misses 3-pt jump shot from 23 ft,,104,125
4,3:11.0,,Defensive rebound by B. Hield,104,125
4,2:58.0,,K. Koufos makes 2-pt hook shot from 7 ft (assist by B. Hield),104,127
4,2:44.0,A. Len misses 3-pt jump shot from 25 ft,,104,127
4,2:41.0,,Defensive rebound by J. Jackson,104,127
4,2:28.0,,K. Koufos makes 2-pt layup from 1 ft (assist by B. Hield),104,129
4,2:18.0,D. Hamilton misses 3-pt jump shot from 23 ft,,104,129
4,2:15.0,Offensive rebound by A. Len,,104,129
4,2:14.0,A. Len makes 2-pt layup from 3 ft,,106,129
4,1:56.0,,M. Bagley misses 2-pt layup from 7 ft,106,129
4,1:56.0,,Offensive rebound by M. Bagley,106,129
4,1:56.0,,Shooting foul by A. Len (drawn by M. Bagley),106,129
4,1:56.0,Atlanta full timeout,,106,129
4,1:56.0,,S. Labissière enters the game for B. Hield,106,129
4,1:56.0,,M. Bagley misses free throw 1 of 2,106,129
4,1:56.0,,Offensive rebound by Team,106,129
4,1:56.0,,M. Bagley misses free throw 2 of 2,106,129
4,1:54.0,Defensive rebound by J. Lin,,106,129
4,1:51.0,Personal take foul by F. Mason (drawn by J. Lin),,106,129
4,1:51.0,,Y. Ferrell enters the game for M. Bagley,106,129
4,1:41.0,A. Len makes 3-pt jump shot from 23 ft (assist by J. Lin),,109,129
4,1:23.0,,J. Jackson misses 3-pt jump shot from 23 ft,109,129
4,1:19.0,Defensive rebound by J. Anderson,,109,129
4,1:17.0,Shooting foul by S. Labissière (drawn by J. Anderson),,109,129
4,1:17.0,J. Anderson makes free throw 1 of 2,,110,129
4,1:17.0,J. Anderson makes free throw 2 of 2,,111,129
4,1:07.0,,F. Mason makes 2-pt layup from 2 ft (assist by S. Labissière),111,131
4,0:58.0,J. Lin misses 2-pt layup from 2 ft,,111,131
4,0:56.0,,Defensive rebound by K. Koufos,111,131
4,0:47.0,,K. Koufos makes 2-pt dunk from 1 ft (assist by F. Mason),111,133
4,0:40.0,O. Spellman misses 3-pt jump shot from 25 ft,,111,133
4,0:36.0,,Defensive rebound by K. Koufos,111,133
4,0:28.0,,Personal foul by A. Len (drawn by F. Mason),111,133
4,0:28.0,,F. Mason makes free throw 1 of 2,111,134
4,0:28.0,,F. Mason makes free throw 2 of 2,111,135
4,0:21.0,A. Len makes 2-pt dunk from 2 ft (assist by J. Lin),,113,135
