QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
4,5:31.0,,K. Birch enters the game for M. Bamba,108,84
4,5:31.0,,I. Briscoe enters the game for E. Fournier,108,84
4,5:31.0,,M. Frazier enters the game for A. Gordon,108,84
4,5:31.0,,J. Martin enters the game for T. Ross,108,84
4,5:15.0,,I. Briscoe misses 2-pt jump shot from 7 ft,108,84
4,5:13.0,Defensive rebound by M. Harrell,,108,84
4,4:59.0,M. Harrell misses 2-pt layup from 1 ft,,108,84
4,4:56.0,,Defensive rebound by J. Grant,108,84
4,4:56.0,T. Wallace enters the game for M. Teodosić,,108,84
4,4:40.0,,I. Briscoe misses 2-pt jump shot from 11 ft,108,84
4,4:36.0,Defensive rebound by T. Wallace,,108,84
4,4:30.0,Personal foul by M. Frazier (drawn by M. Harrell),,108,84
4,4:16.0,Personal foul by J. Grant (drawn by S. Gilgeous-Alexander),,108,84
4,4:02.0,M. Harrell makes 2-pt layup from 1 ft (assist by M. Scott),,110,84
4,4:02.0,Shooting foul by J. Grant (drawn by M. Harrell),,110,84
4,4:02.0,M. Harrell misses free throw 1 of 1,,110,84
4,3:57.0,,Defensive rebound by K. Birch,110,84
4,3:55.0,,Personal foul by M. Harrell (drawn by K. Birch),110,84
4,3:50.0,,Shooting foul by T. Wallace (drawn by J. Grant),110,84
4,3:50.0,,J. Grant misses free throw 1 of 2,110,84
4,3:50.0,,Offensive rebound by Team,110,84
4,3:50.0,,J. Grant makes free throw 2 of 2,110,85
4,3:31.0,S. Gilgeous-Alexander misses 2-pt jump shot from 6 ft,,110,85
4,3:28.0,,Defensive rebound by K. Birch,110,85
4,3:24.0,,J. Martin makes 2-pt layup from 1 ft (assist by J. Grant),110,87
4,3:09.0,J. Robinson misses 2-pt jump shot from 14 ft,,110,87
4,3:09.0,Offensive rebound by Team,,110,87
4,3:04.0,T. Wallace misses 2-pt jump shot from 16 ft,,110,87
4,3:01.0,Offensive rebound by M. Harrell,,110,87
4,3:00.0,J. Robinson misses 3-pt jump shot from 28 ft,,110,87
4,3:00.0,,Defensive rebound by K. Birch,110,87
4,2:49.0,,J. Martin makes 2-pt jump shot from 21 ft (assist by J. Grant),110,89
4,2:34.0,Personal foul by J. Martin (drawn by S. Gilgeous-Alexander),,110,89
4,2:34.0,LA Clippers full timeout,,110,89
4,2:34.0,S. Gilgeous-Alexander makes free throw 1 of 2,,111,89
4,2:34.0,S. Gilgeous-Alexander makes free throw 2 of 2,,112,89
4,2:13.0,,J. Martin misses 2-pt jump shot from 19 ft,112,89
4,2:11.0,Defensive rebound by J. Robinson,,112,89
4,2:05.0,Turnover by J. Robinson (bad pass; steal by J. Grant),,112,89
4,1:59.0,,Turnover by J. Grant (bad pass; steal by M. Scott),112,89
4,1:50.0,T. Wallace makes 2-pt jump shot from 10 ft (assist by M. Scott),,114,89
4,1:40.0,,I. Briscoe misses 2-pt jump shot from 5 ft (block by M. Harrell),114,89
4,1:40.0,,Offensive rebound by Team,114,89
4,1:33.0,,J. Grant makes 2-pt jump shot from 19 ft,114,91
4,1:09.0,J. Robinson makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,117,91
4,0:58.0,,K. Birch makes 2-pt hook shot from 5 ft,117,93
4,0:42.0,J. Robinson misses 3-pt jump shot from 25 ft,,117,93
4,0:40.0,,Defensive rebound by K. Birch,117,93
4,0:31.0,,J. Martin makes 2-pt jump shot from 21 ft,117,95
4,0:23.0,T. Wallace makes 2-pt jump shot from 7 ft,,119,95
4,0:23.0,Shooting foul by I. Briscoe (drawn by T. Wallace),,119,95
4,0:23.0,T. Wallace makes free throw 1 of 1,,120,95
