QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
4,2:32.0,,Z. LaVine makes 2-pt jump shot from 14 ft (assist by W. Carter),92,98
4,2:23.0,Personal foul by C. Payne (drawn by N. Jokić),,92,98
4,2:16.0,M. Beasley misses 3-pt jump shot from 24 ft,,92,98
4,2:12.0,Offensive rebound by N. Jokić,,92,98
4,2:02.0,P. Millsap makes 2-pt jump shot from 4 ft,,94,98
4,1:39.0,,Z. LaVine misses 2-pt jump shot from 18 ft,94,98
4,1:37.0,Defensive rebound by J. Murray,,94,98
4,1:35.0,G. Harris makes 2-pt dunk at rim (assist by J. Murray),,96,98
4,1:21.0,,Turnover by C. Payne (bad pass),96,98
4,1:07.0,M. Beasley makes 2-pt jump shot from 16 ft (assist by N. Jokić),,98,98
4,1:07.0,,Chicago full timeout,98,98
4,1:07.0,,R. Arcidiacono enters the game for C. Payne,98,98
4,0:55.0,,Personal foul by G. Harris (drawn by Z. LaVine),98,98
4,0:44.0,,W. Carter misses 2-pt layup from 2 ft,98,98
4,0:41.0,Defensive rebound by N. Jokić,,98,98
4,0:29.0,N. Jokić misses 2-pt hook shot from 5 ft,,98,98
4,0:27.0,,Defensive rebound by R. Arcidiacono,98,98
4,0:07.0,,Z. LaVine misses 2-pt jump shot from 4 ft (block by N. Jokić),98,98
4,0:06.0,,Offensive rebound by Team,98,98
4,0:06.0,,Chicago full timeout,98,98
4,0:06.0,M. Plumlee enters the game for N. Jokić,,98,98
4,0:05.0,,J. Holiday misses 2-pt jump shot from 20 ft (block by P. Millsap),98,98
4,0:05.0,,Offensive rebound by Team,98,98
4,0:05.0,,Turnover by Team (shot clock),98,98
4,0:05.0,Denver full timeout,,98,98
4,0:05.0,N. Jokić enters the game for M. Plumlee,,98,98
4,0:05.0,,C. Hutchison enters the game for J. Parker,98,98
4,0:03.0,Turnover by M. Beasley (out of bounds lost ball),,98,98
4,0:03.0,M. Plumlee enters the game for N. Jokić,,98,98
4,0:03.0,,J. Parker enters the game for C. Hutchison,98,98
4,0:00.0,,J. Parker misses 3-pt jump shot from 31 ft,98,98
4,0:00.0,,Offensive rebound by Team,98,98
1OT,4:35.0,,Turnover by J. Parker (step out of bounds),98,98
1OT,4:26.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by G. Harris),,100,98
1OT,4:11.0,,J. Parker misses 3-pt jump shot from 24 ft,100,98
1OT,4:07.0,,Offensive rebound by W. Carter,100,98
1OT,4:05.0,,Z. LaVine misses 3-pt jump shot from 27 ft,100,98
1OT,4:00.0,Defensive rebound by J. Murray,,100,98
1OT,3:43.0,P. Millsap misses 2-pt jump shot from 14 ft,,100,98
1OT,3:39.0,,Defensive rebound by Z. LaVine,100,98
1OT,3:25.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Arcidiacono),100,100
1OT,3:12.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,103,100
1OT,2:47.0,,J. Parker makes 2-pt dunk at rim (assist by J. Holiday),103,102
1OT,2:35.0,G. Harris misses 2-pt jump shot from 8 ft,,103,102
1OT,2:33.0,,Defensive rebound by J. Holiday,103,102
1OT,2:30.0,,Shooting foul by P. Millsap (drawn by W. Carter),103,102
1OT,2:30.0,,W. Carter makes free throw 1 of 2,103,103
1OT,2:30.0,,W. Carter makes free throw 2 of 2,103,104
1OT,2:16.0,J. Murray misses 2-pt jump shot from 16 ft,,103,104
1OT,2:16.0,Offensive rebound by N. Jokić,,103,104
1OT,2:16.0,Personal foul by J. Holiday (drawn by N. Jokić),,103,104
1OT,2:10.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,106,104
1OT,1:51.0,,Turnover by Z. LaVine (bad pass),106,104
1OT,1:37.0,M. Beasley misses 3-pt jump shot from 27 ft,,106,104
1OT,1:28.0,,Defensive rebound by J. Holiday,106,104
1OT,1:26.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by Z. LaVine),106,107
1OT,1:17.0,Turnover by N. Jokić (bad pass),,106,107
1OT,1:01.0,,W. Carter misses 2-pt layup from 2 ft (block by N. Jokić),106,107
1OT,0:58.0,,Offensive rebound by W. Carter,106,107
1OT,0:57.0,,W. Carter misses 2-pt layup from 2 ft (block by P. Millsap),106,107
1OT,0:57.0,Defensive rebound by N. Jokić,,106,107
1OT,0:57.0,Denver full timeout,,106,107
1OT,0:36.0,M. Beasley misses 2-pt layup from 5 ft (block by W. Carter),,106,107
1OT,0:33.0,,Defensive rebound by J. Holiday,106,107
1OT,0:13.0,,Z. LaVine misses 2-pt jump shot from 15 ft,106,107
1OT,0:11.0,Defensive rebound by N. Jokić,,106,107
1OT,0:03.0,Personal foul by Z. LaVine (drawn by J. Murray),,106,107
1OT,0:03.0,Denver full timeout,,106,107
1OT,0:03.0,,C. Hutchison enters the game for J. Parker,106,107
1OT,0:00.0,N. Jokić misses 2-pt jump shot from 15 ft,,106,107
1OT,0:00.0,Offensive rebound by P. Millsap,,106,107
1OT,0:00.0,P. Millsap makes 2-pt layup from 2 ft,,108,107
1OT,0:00.0,,Chicago full timeout,108,107
