QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
4,2:08.0,,Q. Pondexter misses free throw 1 of 2,92,118
4,2:08.0,,Offensive rebound by Team,92,118
4,2:08.0,,Q. Pondexter makes free throw 2 of 2,92,119
4,1:54.0,T. McConnell makes 2-pt jump shot from 16 ft (assist by A. Johnson),,94,119
4,1:43.0,,D. Eubanks makes 2-pt hook shot from 8 ft (assist by D. White),94,121
4,1:33.0,Personal foul by D. White (drawn by F. Korkmaz),,94,121
4,1:23.0,T. McConnell makes 2-pt jump shot from 12 ft (assist by A. Johnson),,96,121
4,1:07.0,,D. Eubanks makes 2-pt hook shot from 7 ft,96,123
4,0:56.0,S. Milton misses 2-pt layup from 3 ft,,96,123
4,0:56.0,,Defensive rebound by D. Cunningham,96,123
4,0:32.0,,J. Poeltl misses 2-pt layup from 4 ft (block by T. McConnell),96,123
4,0:32.0,,Offensive rebound by Team,96,123
4,0:31.0,,Turnover by Team (shot clock),96,123
4,0:13.0,J. Bolden misses 3-pt jump shot from 26 ft,,96,123
4,0:08.0,,Defensive rebound by Q. Pondexter,96,123
