QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
4,4:45.0,,D. Gallinari makes free throw 1 of 2,95,103
4,4:45.0,,D. Gallinari makes free throw 2 of 2,95,104
4,4:36.0,T. Evans makes 2-pt layup from 1 ft,,97,104
4,4:21.0,,Shooting foul by T. Evans (drawn by S. Gilgeous-Alexander),97,104
4,4:21.0,,S. Gilgeous-Alexander makes free throw 1 of 2,97,105
4,4:21.0,,S. Gilgeous-Alexander makes free throw 2 of 2,97,106
4,4:21.0,Indiana full timeout,,97,106
4,4:21.0,W. Matthews enters the game for D. McDermott,,97,106
4,4:10.0,Def 3 sec tech foul by Team,,97,106
4,4:10.0,B. Bogdanović makes technical free throw,,98,106
4,4:03.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,100,106
4,3:44.0,,D. Gallinari misses 3-pt jump shot from 26 ft,100,106
4,3:41.0,Defensive rebound by T. Evans,,100,106
4,3:33.0,T. Evans misses 2-pt layup from 1 ft,,100,106
4,3:32.0,Offensive rebound by D. Sabonis,,100,106
4,3:32.0,D. Sabonis misses 2-pt layup from 1 ft,,100,106
4,3:31.0,,Defensive rebound by L. Shamet,100,106
4,3:17.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,100,106
4,3:15.0,Defensive rebound by T. Young,,100,106
4,3:01.0,B. Bogdanović makes 2-pt layup from 2 ft,,102,106
4,3:01.0,,LA Clippers full timeout,102,106
4,3:01.0,,L. Williams enters the game for L. Shamet,102,106
4,2:38.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Williams),102,108
4,2:22.0,W. Matthews misses 3-pt jump shot from 25 ft,,102,108
4,2:19.0,,Defensive rebound by M. Harrell,102,108
4,2:00.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by D. Gallinari),102,110
4,1:59.0,Personal foul by P. Beverley (drawn by B. Bogdanović),,102,110
4,1:59.0,B. Bogdanović misses free throw 1 of 2,,102,110
4,1:59.0,Offensive rebound by Team,,102,110
4,1:59.0,B. Bogdanović misses free throw 2 of 2,,102,110
4,1:56.0,,Defensive rebound by M. Harrell,102,110
4,1:45.0,,L. Williams misses 3-pt jump shot from 26 ft,102,110
4,1:41.0,Defensive rebound by D. Sabonis,,102,110
4,1:34.0,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Evans),,104,110
4,1:34.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Sabonis),,104,110
4,1:34.0,D. Sabonis makes free throw 1 of 1,,105,110
4,1:11.0,,L. Williams misses 3-pt jump shot from 29 ft,105,110
4,1:04.0,Defensive rebound by B. Bogdanović,,105,110
4,1:02.0,T. Evans makes 2-pt layup from 1 ft,,107,110
4,0:40.0,,L. Williams makes 2-pt jump shot from 21 ft,107,112
4,0:40.0,Indiana full timeout,,107,112
4,0:40.0,,S. Thornwell enters the game for L. Williams,107,112
4,0:33.0,T. Evans makes 2-pt layup from 2 ft,,109,112
4,0:33.0,,LA Clippers full timeout,109,112
4,0:33.0,M. Turner enters the game for D. Sabonis,,109,112
4,0:33.0,,L. Williams enters the game for S. Thornwell,109,112
4,0:10.0,,P. Beverley makes 2-pt jump shot from 4 ft (assist by L. Williams),109,114
4,0:10.0,Indiana full timeout,,109,114
4,0:10.0,D. Sabonis enters the game for M. Turner,,109,114
4,0:10.0,,S. Thornwell enters the game for L. Williams,109,114
4,0:02.0,Turnover by B. Bogdanović (lost ball; steal by S. Thornwell),,109,114
4,0:02.0,,Personal foul by T. Young (drawn by S. Gilgeous-Alexander),109,114
4,0:02.0,,S. Gilgeous-Alexander makes free throw 1 of 2,109,115
4,0:02.0,,S. Gilgeous-Alexander misses free throw 2 of 2,109,115
4,0:01.0,Defensive rebound by D. Sabonis,,109,115
