QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
4,5:23.0,,S. Johnson misses 2-pt layup from 1 ft,91,103
4,5:22.0,Defensive rebound by D. Ayton,,91,103
4,5:21.0,D. Booker makes 3-pt jump shot from 29 ft (assist by D. Ayton),,94,103
4,5:16.0,,Personal foul by J. Crawford (drawn by A. Drummond),94,103
4,5:16.0,,A. Drummond makes free throw 1 of 2,94,104
4,5:16.0,,A. Drummond misses free throw 2 of 2,94,104
4,5:11.0,Defensive rebound by D. Ayton,,94,104
4,5:05.0,Turnover by D. Booker (bad pass; steal by R. Jackson),,94,104
4,5:02.0,,R. Bullock makes 2-pt layup from 1 ft (assist by R. Jackson),94,106
4,4:44.0,D. Booker makes 3-pt jump shot from 29 ft (assist by T. Ariza),,97,106
4,4:40.0,,Personal foul by J. Crawford (drawn by A. Drummond),97,106
4,4:40.0,,A. Drummond misses free throw 1 of 2,97,106
4,4:40.0,,Offensive rebound by Team,97,106
4,4:40.0,,A. Drummond misses free throw 2 of 2,97,106
4,4:37.0,Defensive rebound by D. Ayton,,97,106
4,4:30.0,Personal foul by R. Jackson (drawn by D. Booker),,97,106
4,4:23.0,Turnover by T. Ariza (traveling),,97,106
4,4:23.0,,Detroit full timeout,97,106
4,4:23.0,,L. Galloway enters the game for A. Drummond,97,106
4,4:03.0,,B. Griffin makes 2-pt layup from 2 ft,97,108
4,3:48.0,M. Bridges misses 3-pt jump shot from 24 ft,,97,108
4,3:44.0,Offensive rebound by M. Bridges,,97,108
4,3:43.0,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),,99,108
4,3:25.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),99,111
4,3:11.0,D. Booker makes 2-pt layup from 6 ft (assist by J. Crawford),,101,111
4,2:45.0,,R. Jackson misses 3-pt jump shot from 27 ft,101,111
4,2:42.0,Defensive rebound by J. Crawford,,101,111
4,2:37.0,Turnover by M. Bridges (bad pass; steal by R. Jackson),,101,111
4,2:37.0,,Detroit full timeout,101,111
4,2:15.0,,B. Griffin makes 3-pt jump shot from 28 ft (assist by R. Jackson),101,114
4,2:01.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Crawford),,103,114
4,1:48.0,,R. Jackson makes 2-pt layup from 4 ft,103,116
4,1:41.0,Turnover by D. Booker (out of bounds lost ball),,103,116
4,1:41.0,,B. Brown enters the game for R. Bullock,103,116
4,1:19.0,,B. Griffin makes 2-pt jump shot from 18 ft,103,118
4,1:19.0,Phoenix full timeout,,103,118
4,1:13.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by T. Ariza),,105,118
4,0:50.0,,B. Griffin misses 3-pt jump shot from 28 ft,105,118
4,0:46.0,Defensive rebound by Team,,105,118
4,0:44.0,Turnover by T. Ariza (bad pass; steal by S. Johnson),,105,118
4,0:21.0,,B. Griffin misses 3-pt jump shot from 28 ft,105,118
4,0:18.0,Defensive rebound by D. Booker,,105,118
4,0:11.0,D. Ayton makes 2-pt layup from 3 ft (assist by D. Booker),,107,118
