QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
4,1:02.0,Offensive rebound by Team,,86,101
4,1:02.0,K. Lucas enters the game for R. Bullock,,86,101
4,1:02.0,G. Robinson enters the game for R. Jackson,,86,101
4,1:02.0,,J. McRae enters the game for T. Ariza,86,101
4,1:02.0,,G. Payton enters the game for T. Satoranský,86,101
4,1:02.0,B. Griffin makes free throw 2 of 2,,87,101
4,0:51.0,,J. McRae misses 2-pt jump shot from 17 ft,87,101
4,0:47.0,,Offensive rebound by S. Dekker,87,101
4,0:44.0,,T. Bryant misses 2-pt hook shot from 15 ft,87,101
4,0:42.0,Defensive rebound by Team,,87,101
4,0:42.0,J. Leuer enters the game for B. Griffin,,87,101
4,0:25.0,S. Johnson misses 2-pt jump shot from 8 ft,,87,101
4,0:23.0,,Defensive rebound by T. Bryant,87,101
4,0:00.0,,Turnover by Team (shot clock),87,101
