QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
4,2:02.0,,J. Hart enters the game for L. Ball,100,94
4,2:02.0,J. Jackson makes free throw 2 of 2,,101,94
4,1:50.0,,K. Kuzma misses 3-pt jump shot from 26 ft,101,94
4,1:46.0,Defensive rebound by M. Gasol,,101,94
4,1:30.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),,104,94
4,1:30.0,,LA Lakers full timeout,104,94
4,1:21.0,,L. James misses 3-pt jump shot from 26 ft,104,94
4,1:17.0,,Offensive rebound by J. Hart,104,94
4,1:16.0,,J. Hart makes 3-pt jump shot from 22 ft,104,97
4,0:54.0,M. Conley misses 3-pt jump shot from 27 ft,,104,97
4,0:52.0,Offensive rebound by Team,,104,97
4,0:52.0,Turnover by Team (shot clock),,104,97
4,0:47.0,,L. James makes 2-pt layup from 1 ft,104,99
4,0:38.0,Memphis full timeout,,104,99
4,0:38.0,,K. Caldwell-Pope enters the game for I. Zubac,104,99
4,0:25.0,J. Jackson makes 3-pt jump shot from 26 ft,,107,99
4,0:19.0,,L. James misses 2-pt layup from 2 ft (block by K. Anderson),107,99
4,0:16.0,Defensive rebound by J. Jackson,,107,99
