QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
4,7:23.0,,M. Kleber misses 3-pt jump shot from 23 ft,99,104
4,7:22.0,Defensive rebound by K. Lowry,,99,104
4,7:20.0,Personal foul by D. Powell (drawn by K. Lowry),,99,104
4,7:20.0,K. Leonard enters the game for F. VanVleet,,99,104
4,7:06.0,D. Green makes 2-pt hook shot from 1 ft (assist by K. Lowry),,101,104
4,6:46.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),101,106
4,6:41.0,Personal foul by L. Dončić (drawn by D. Green),,101,106
4,6:31.0,K. Leonard makes 2-pt hook shot from 4 ft,,103,106
4,6:20.0,,L. Dončić misses 2-pt jump shot from 3 ft,103,106
4,6:19.0,,Offensive rebound by D. Powell,103,106
4,6:18.0,,D. Powell misses 2-pt layup at rim,103,106
4,6:17.0,,Offensive rebound by Team,103,106
4,6:04.0,,L. Dončić misses 2-pt layup from 3 ft,103,106
4,6:03.0,Defensive rebound by S. Ibaka,,103,106
4,6:03.0,,W. Matthews enters the game for J. Brunson,103,106
4,6:03.0,,D. Smith enters the game for L. Dončić,103,106
4,5:54.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. Green),,106,106
4,5:54.0,,Dallas full timeout,106,106
4,5:54.0,,H. Barnes enters the game for M. Kleber,106,106
4,5:54.0,,D. Jordan enters the game for D. Powell,106,106
4,5:37.0,,D. Finney-Smith misses 3-pt jump shot from 27 ft,106,106
4,5:34.0,Defensive rebound by K. Lowry,,106,106
4,5:30.0,K. Lowry misses 2-pt jump shot from 4 ft,,106,106
4,5:27.0,,Defensive rebound by D. Jordan,106,106
4,5:15.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Smith),106,108
4,5:02.0,K. Leonard misses 2-pt jump shot from 10 ft,,106,108
4,5:01.0,,Defensive rebound by D. Jordan,106,108
4,4:48.0,,Personal foul by K. Lowry (drawn by D. Smith),106,108
4,4:36.0,,D. Smith misses 3-pt jump shot from 25 ft,106,108
4,4:33.0,Defensive rebound by D. Green,,106,108
4,4:27.0,K. Leonard makes 2-pt jump shot from 8 ft (assist by K. Lowry),,108,108
4,4:07.0,,W. Matthews misses 3-pt jump shot from 27 ft,108,108
4,4:04.0,Defensive rebound by D. Green,,108,108
4,3:56.0,P. Siakam makes 2-pt hook shot from 5 ft,,110,108
4,3:56.0,Shooting foul by W. Matthews (drawn by P. Siakam),,110,108
4,3:56.0,,L. Dončić enters the game for D. Finney-Smith,110,108
4,3:56.0,P. Siakam makes free throw 1 of 1,,111,108
4,3:41.0,,Personal foul by K. Lowry (drawn by D. Smith),111,108
4,3:29.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),111,110
4,3:08.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),,113,110
4,2:54.0,,Shooting foul by S. Ibaka (drawn by D. Jordan),113,110
4,2:54.0,,D. Jordan makes free throw 1 of 2,113,111
4,2:54.0,,D. Jordan makes free throw 2 of 2,113,112
4,2:41.0,K. Lowry misses 3-pt jump shot from 25 ft,,113,112
4,2:38.0,Offensive rebound by K. Leonard,,113,112
4,2:35.0,K. Leonard misses 3-pt jump shot from 23 ft,,113,112
4,2:33.0,,Defensive rebound by D. Jordan,113,112
4,2:11.0,,L. Dončić misses 2-pt jump shot from 16 ft,113,112
4,2:07.0,Defensive rebound by S. Ibaka,,113,112
4,2:07.0,Personal foul by L. Dončić (drawn by S. Ibaka),,113,112
4,2:07.0,S. Ibaka misses free throw 1 of 2,,113,112
4,2:07.0,Offensive rebound by Team,,113,112
4,2:07.0,S. Ibaka makes free throw 2 of 2,,114,112
4,1:55.0,,H. Barnes misses 3-pt jump shot from 25 ft,114,112
4,1:52.0,Defensive rebound by K. Leonard,,114,112
4,1:34.0,D. Green makes 2-pt jump shot from 12 ft (assist by K. Leonard),,116,112
4,1:34.0,,Dallas full timeout,116,112
4,1:20.0,,Shooting foul by S. Ibaka (drawn by H. Barnes),116,112
4,1:20.0,,H. Barnes misses free throw 1 of 2,116,112
4,1:20.0,,Offensive rebound by Team,116,112
4,1:20.0,,H. Barnes misses free throw 2 of 2,116,112
4,1:18.0,Defensive rebound by K. Leonard,,116,112
4,1:00.0,K. Leonard makes 2-pt layup at rim,,118,112
4,0:51.0,,Turnover by L. Dončić (bad pass; steal by D. Green),118,112
4,0:32.0,Personal foul by W. Matthews (drawn by K. Leonard),,118,112
4,0:32.0,K. Leonard makes free throw 1 of 2,,119,112
4,0:32.0,K. Leonard misses free throw 2 of 2,,119,112
4,0:30.0,,Defensive rebound by H. Barnes,119,112
4,0:23.0,,L. Dončić makes 3-pt jump shot from 26 ft,119,115
4,0:16.0,Personal foul by D. Jordan (drawn by K. Leonard),,119,115
4,0:16.0,K. Leonard makes free throw 1 of 2,,120,115
4,0:16.0,K. Leonard makes free throw 2 of 2,,121,115
4,0:16.0,,Dallas full timeout,121,115
4,0:16.0,,R. Broekhoff enters the game for D. Jordan,121,115
4,0:13.0,,L. Dončić makes 2-pt dunk from 1 ft (assist by R. Broekhoff),121,117
4,0:09.0,Personal foul by W. Matthews (drawn by K. Lowry),,121,117
4,0:09.0,K. Lowry makes free throw 1 of 2,,122,117
4,0:09.0,K. Lowry makes free throw 2 of 2,,123,117
4,0:02.0,,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by D. Smith),123,120
