QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
4,3:05.0,,Defensive rebound by M. Gasol,86,93
4,2:49.0,,B. Caboclo makes 3-pt jump shot from 26 ft (assist by J. Jackson),86,96
4,2:28.0,T. Young misses 2-pt layup from 7 ft,,86,96
4,2:28.0,Offensive rebound by Team,,86,96
4,2:28.0,,Loose ball foul by B. Caboclo (drawn by B. Bogdanović),86,96
4,2:28.0,B. Bogdanović makes free throw 1 of 2,,87,96
4,2:28.0,B. Bogdanović misses free throw 2 of 2,,87,96
4,2:27.0,,Defensive rebound by B. Caboclo,87,96
4,2:09.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by J. Holiday),87,99
4,2:07.0,Indiana full timeout,,87,99
4,1:54.0,B. Bogdanović misses 3-pt jump shot from 25 ft (block by B. Caboclo),,87,99
4,1:49.0,Offensive rebound by T. Young,,87,99
4,1:48.0,Turnover by T. Young (bad pass; steal by M. Conley),,87,99
4,1:29.0,,J. Jackson makes 2-pt jump shot from 7 ft (assist by M. Conley),87,101
4,1:14.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Evans),,90,101
4,0:55.0,,M. Conley misses 3-pt jump shot from 25 ft,90,101
4,0:53.0,Defensive rebound by D. Collison,,90,101
4,0:47.0,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),,93,101
4,0:44.0,,Personal take foul by B. Bogdanović (drawn by M. Conley),93,101
4,0:38.0,,Personal take foul by T. Young (drawn by M. Gasol),93,101
4,0:38.0,,M. Gasol makes free throw 1 of 2,93,102
4,0:38.0,,M. Gasol misses free throw 2 of 2,93,102
4,0:37.0,Defensive rebound by B. Bogdanović,,93,102
4,0:37.0,Indiana full timeout,,93,102
4,0:37.0,D. McDermott enters the game for T. Evans,,93,102
4,0:33.0,D. Collison makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,96,102
4,0:30.0,,Personal take foul by B. Bogdanović (drawn by J. Holiday),96,102
4,0:30.0,,J. Holiday makes free throw 1 of 2,96,103
4,0:30.0,,J. Holiday makes free throw 2 of 2,96,104
4,0:22.0,Shooting foul by M. Conley (drawn by D. Collison),,96,104
4,0:22.0,D. Collison makes free throw 1 of 2,,97,104
4,0:22.0,D. Collison makes free throw 2 of 2,,98,104
4,0:19.0,,Personal foul by B. Bogdanović (drawn by J. Holiday),98,104
4,0:19.0,C. Joseph enters the game for B. Bogdanović,,98,104
4,0:19.0,,J. Holiday makes free throw 1 of 2,98,105
4,0:19.0,,S. Mack enters the game for J. Jackson,98,105
4,0:19.0,,J. Holiday misses free throw 2 of 2,98,105
4,0:17.0,Defensive rebound by T. Young,,98,105
4,0:11.0,Personal foul by M. Conley (drawn by D. Collison),,98,105
4,0:11.0,D. Collison makes free throw 1 of 2,,99,105
4,0:11.0,D. Collison makes free throw 2 of 2,,100,105
4,0:10.0,,Personal take foul by T. Young (drawn by M. Conley),100,105
4,0:10.0,A. Holiday enters the game for T. Young,,100,105
4,0:10.0,,M. Conley misses free throw 1 of 2,100,105
4,0:10.0,,Offensive rebound by Team,100,105
4,0:10.0,,M. Conley makes free throw 2 of 2,100,106
4,0:01.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),,103,106
