QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
4,5:37.0,,B. Adebayo misses 2-pt jump shot from 8 ft,107,109
4,5:35.0,Defensive rebound by D. Green,,107,109
4,5:23.0,Personal foul by D. Jones (drawn by K. Durant),,107,109
4,5:23.0,A. Iguodala enters the game for K. Thompson,,107,109
4,5:23.0,,K. Olynyk enters the game for D. Jones,107,109
4,5:09.0,K. Durant makes 2-pt jump shot from 20 ft,,109,109
4,4:52.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),109,111
4,4:42.0,Personal foul by J. Richardson (drawn by S. Curry),,109,111
4,4:28.0,S. Curry misses 3-pt jump shot from 25 ft,,109,111
4,4:26.0,,Defensive rebound by B. Adebayo,109,111
4,4:17.0,,Personal foul by D. Green (drawn by J. Richardson),109,111
4,4:08.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),109,114
4,4:03.0,Golden State full timeout,,109,114
4,4:03.0,K. Thompson enters the game for S. Livingston,,109,114
4,3:48.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Durant),,112,114
4,3:48.0,Shooting foul by D. Waiters (drawn by K. Thompson),,112,114
4,3:48.0,K. Thompson makes free throw 1 of 1,,113,114
4,3:36.0,,Shooting foul by K. Thompson (drawn by B. Adebayo),113,114
4,3:36.0,,B. Adebayo misses free throw 1 of 2,113,114
4,3:36.0,,Offensive rebound by Team,113,114
4,3:36.0,,D. Wade enters the game for D. Waiters,113,114
4,3:36.0,,B. Adebayo misses free throw 2 of 2,113,114
4,3:34.0,Defensive rebound by A. Iguodala,,113,114
4,3:16.0,K. Thompson makes 3-pt jump shot from 26 ft,,116,114
4,3:16.0,,Miami full timeout,116,114
4,3:09.0,,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),116,116
4,2:49.0,K. Thompson misses 3-pt jump shot from 23 ft,,116,116
4,2:47.0,,Defensive rebound by D. Wade,116,116
4,2:40.0,,Turnover by J. Richardson (traveling),116,116
4,2:26.0,S. Curry makes 2-pt layup from 1 ft,,118,116
4,2:18.0,,Personal foul by D. Green (drawn by B. Adebayo),118,116
4,2:18.0,J. Bell enters the game for D. Green,,118,116
4,2:05.0,,K. Olynyk misses 3-pt jump shot from 25 ft,118,116
4,2:03.0,,Offensive rebound by D. Wade,118,116
4,1:58.0,,D. Wade makes 2-pt jump shot from 16 ft,118,118
4,1:50.0,,Violation by Team (kicked ball),118,118
4,1:32.0,Turnover by S. Curry (lost ball; steal by J. Winslow),,118,118
4,1:18.0,,J. Richardson misses 3-pt jump shot from 24 ft,118,118
4,1:16.0,Defensive rebound by K. Durant,,118,118
4,1:07.0,K. Durant makes 3-pt jump shot from 26 ft,,121,118
4,1:07.0,Shooting foul by B. Adebayo (drawn by K. Durant),,121,118
4,1:07.0,K. Durant makes free throw 1 of 1,,122,118
4,1:07.0,,Miami full timeout,122,118
4,0:56.0,,Shooting foul by A. Iguodala (drawn by B. Adebayo),122,118
4,0:56.0,,B. Adebayo makes free throw 1 of 2,122,119
4,0:56.0,,B. Adebayo makes free throw 2 of 2,122,120
4,0:38.0,Golden State full timeout,,122,120
4,0:33.0,Turnover by K. Durant (bad pass; steal by K. Olynyk),,122,120
4,0:18.0,,K. Olynyk misses 3-pt jump shot from 26 ft,122,120
4,0:18.0,Defensive rebound by J. Bell,,122,120
4,0:18.0,Personal take foul by J. Winslow (drawn by J. Bell),,122,120
4,0:18.0,J. Bell makes free throw 1 of 2,,123,120
4,0:18.0,J. Bell makes free throw 2 of 2,,124,120
4,0:18.0,,Miami full timeout,124,120
4,0:18.0,,G. Dragić enters the game for B. Adebayo,124,120
4,0:15.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Winslow),124,123
4,0:13.0,Personal take foul by G. Dragić (drawn by K. Durant),,124,123
4,0:13.0,,D. Waiters enters the game for G. Dragić,124,123
4,0:13.0,K. Durant misses free throw 1 of 2,,124,123
4,0:13.0,Offensive rebound by Team,,124,123
4,0:13.0,K. Durant makes free throw 2 of 2,,125,123
4,0:01.0,,D. Wade misses 3-pt jump shot from 28 ft (block by J. Bell),125,123
4,0:01.0,,Offensive rebound by D. Wade,125,123
4,0:00.0,,D. Wade makes 3-pt jump shot from 25 ft,125,126
