QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
4,1:49.0,,M. Robinson misses 2-pt layup from 4 ft (block by J. Bell),121,100
4,1:47.0,Defensive rebound by J. Jerebko,,121,100
4,1:29.0,Q. Cook misses 3-pt jump shot from 25 ft,,121,100
4,1:27.0,,Defensive rebound by D. Dotson,121,100
4,1:18.0,,Turnover by A. Trier (bad pass; steal by J. Bell),121,100
4,1:12.0,J. Jerebko makes 3-pt jump shot from 27 ft (assist by J. Evans),,124,100
4,1:02.0,,Turnover by A. Trier (bad pass),124,100
4,0:50.0,A. McKinnie makes 2-pt jump shot from 22 ft (assist by J. Evans),,126,100
4,0:31.0,,D. Dotson misses 2-pt layup from 4 ft,126,100
4,0:28.0,Defensive rebound by Q. Cook,,126,100
4,0:23.0,J. Jerebko misses 3-pt jump shot from 23 ft,,126,100
4,0:21.0,Offensive rebound by A. McKinnie,,126,100
4,0:21.0,A. McKinnie makes 2-pt layup from 1 ft,,128,100
4,0:04.0,,Personal foul by A. McKinnie (drawn by L. Kornet),128,100
