QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
4,3:26.0,Offensive rebound by K. Faried,,89,108
4,3:26.0,K. Faried makes 2-pt layup at rim,,91,108
4,3:15.0,,Boston full timeout,91,108
4,3:06.0,,M. Smart misses 3-pt jump shot from 23 ft,91,108
4,3:04.0,Defensive rebound by T. Graham,,91,108
4,2:47.0,T. Graham makes 2-pt jump shot from 12 ft,,93,108
4,2:29.0,,B. Wanamaker makes 2-pt jump shot from 20 ft (assist by S. Ojeleye),93,110
4,2:17.0,R. Kurucs misses 3-pt jump shot from 25 ft,,93,110
4,2:15.0,,Defensive rebound by R. Williams,93,110
4,2:04.0,,B. Wanamaker misses 2-pt layup from 1 ft,93,110
4,2:02.0,Defensive rebound by S. Napier,,93,110
4,2:02.0,Brooklyn full timeout,,93,110
4,2:02.0,J. Allen enters the game for K. Faried,,93,110
4,2:02.0,,D. Theis enters the game for M. Smart,93,110
4,1:55.0,T. Pinson misses 3-pt jump shot from 27 ft,,93,110
4,1:52.0,,Defensive rebound by S. Ojeleye,93,110
4,1:49.0,,S. Ojeleye makes 2-pt layup at rim,93,112
4,1:30.0,S. Napier misses 3-pt jump shot from 25 ft,,93,112
4,1:28.0,Offensive rebound by Team,,93,112
4,1:25.0,Personal foul by B. Wanamaker (drawn by J. Allen),,93,112
4,1:17.0,T. Graham misses 3-pt jump shot from 26 ft,,93,112
4,1:16.0,,Defensive rebound by D. Theis,93,112
4,0:56.0,,Shooting foul by S. Napier (drawn by B. Wanamaker),93,112
4,0:56.0,,B. Wanamaker makes free throw 1 of 2,93,113
4,0:56.0,,B. Wanamaker makes free throw 2 of 2,93,114
4,0:42.0,Turnover by T. Pinson (bad pass; steal by R. Williams),,93,114
4,0:38.0,,R. Williams makes 2-pt dunk from 1 ft (assist by D. Theis),93,116
4,0:31.0,S. Napier makes 2-pt layup from 2 ft,,95,116
4,0:07.0,,Turnover by Team (shot clock),95,116
