QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
4,9:44.0,,T. Harris makes free throw 1 of 2,105,91
4,9:44.0,,T. Harris makes free throw 2 of 2,105,92
4,9:32.0,Personal foul by P. Beverley (drawn by J. Embiid),,105,92
4,9:32.0,Technical foul by J. Embiid,,105,92
4,9:32.0,,Technical foul by P. Beverley,105,92
4,9:19.0,J. Embiid misses 2-pt jump shot from 9 ft,,105,92
4,9:12.0,Offensive rebound by J. Bolden,,105,92
4,9:12.0,J. Bolden makes 2-pt dunk from 1 ft,,107,92
4,9:01.0,,T. Harris makes 2-pt layup from 2 ft (assist by M. Gortat),107,94
4,8:47.0,J. Redick misses 3-pt jump shot from 27 ft,,107,94
4,8:46.0,,Defensive rebound by Team,107,94
4,8:46.0,J. Butler enters the game for F. Korkmaz,,107,94
4,8:46.0,,D. Gallinari enters the game for P. Beverley,107,94
4,8:33.0,,L. Williams misses 2-pt layup from 1 ft,107,94
4,8:33.0,Defensive rebound by J. Butler,,107,94
4,8:24.0,J. Butler misses 2-pt layup from 2 ft,,107,94
4,8:21.0,Offensive rebound by J. Bolden,,107,94
4,8:10.0,Turnover by T. McConnell (lost ball; steal by T. Harris),,107,94
4,8:08.0,,Turnover by D. Gallinari (traveling),107,94
4,8:08.0,W. Chandler enters the game for J. Bolden,,107,94
4,8:08.0,M. Muscala enters the game for J. Embiid,,107,94
4,8:08.0,L. Shamet enters the game for T. McConnell,,107,94
4,8:08.0,B. Simmons enters the game for J. Redick,,107,94
4,8:08.0,,M. Harrell enters the game for M. Gortat,107,94
4,7:49.0,Turnover by J. Butler (bad pass; steal by T. Harris),,107,94
4,7:42.0,,L. Williams misses 3-pt jump shot from 23 ft,107,94
4,7:36.0,Defensive rebound by W. Chandler,,107,94
4,7:29.0,J. Butler misses 3-pt jump shot from 26 ft,,107,94
4,7:25.0,,Defensive rebound by L. Williams,107,94
4,7:18.0,,Shooting foul by M. Muscala (drawn by M. Harrell),107,94
4,7:18.0,,M. Harrell misses free throw 1 of 2,107,94
4,7:18.0,,Offensive rebound by Team,107,94
4,7:18.0,,M. Harrell makes free throw 2 of 2,107,95
4,7:04.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),,110,95
4,7:01.0,Technical foul by J. Butler,,110,95
4,7:01.0,,Technical foul by A. Bradley,110,95
4,7:01.0,J. Butler ejected from game,,110,95
4,7:01.0,,A. Bradley ejected from game,110,95
4,7:01.0,T. McConnell enters the game for J. Butler,,110,95
4,7:01.0,,P. Beverley enters the game for A. Bradley,110,95
4,6:41.0,,T. Harris misses 3-pt jump shot from 29 ft,110,95
4,6:39.0,Defensive rebound by W. Chandler,,110,95
4,6:34.0,B. Simmons misses 2-pt hook shot from 2 ft,,110,95
4,6:31.0,,Defensive rebound by D. Gallinari,110,95
4,6:29.0,,Personal foul by T. McConnell (drawn by L. Williams),110,95
4,6:24.0,,L. Williams makes 2-pt jump shot from 19 ft,110,97
4,6:22.0,Philadelphia full timeout,,110,97
4,6:09.0,B. Simmons misses 2-pt hook shot from 7 ft,,110,97
4,6:06.0,,Defensive rebound by T. Harris,110,97
4,6:02.0,,Personal foul by L. Shamet (drawn by P. Beverley),110,97
4,6:02.0,,P. Beverley misses free throw 1 of 2,110,97
4,6:02.0,,Offensive rebound by Team,110,97
4,6:02.0,J. Embiid enters the game for M. Muscala,,110,97
4,6:02.0,,P. Beverley makes free throw 2 of 2,110,98
4,5:42.0,B. Simmons misses 2-pt hook shot from 4 ft,,110,98
4,5:40.0,,Defensive rebound by T. Harris,110,98
4,5:34.0,,Turnover by D. Gallinari (bad pass),110,98
4,5:23.0,T. McConnell misses 2-pt jump shot from 13 ft,,110,98
4,5:20.0,,Defensive rebound by M. Harrell,110,98
4,5:17.0,,Personal foul by L. Shamet (drawn by D. Gallinari),110,98
4,5:17.0,,D. Gallinari makes free throw 1 of 2,110,99
4,5:17.0,J. Redick enters the game for L. Shamet,,110,99
4,5:17.0,,D. Gallinari misses free throw 2 of 2,110,99
4,5:15.0,Defensive rebound by J. Embiid,,110,99
4,4:53.0,J. Embiid misses 2-pt hook shot from 8 ft,,110,99
4,4:51.0,,Defensive rebound by M. Harrell,110,99
4,4:44.0,,T. Harris misses 2-pt layup from 2 ft,110,99
4,4:44.0,,Offensive rebound by M. Harrell,110,99
4,4:44.0,,M. Harrell makes 2-pt layup at rim,110,101
4,4:44.0,Philadelphia full timeout,,110,101
4,4:29.0,Personal foul by P. Beverley (drawn by J. Redick),,110,101
4,4:22.0,J. Redick misses 3-pt jump shot from 26 ft,,110,101
4,4:20.0,,Defensive rebound by M. Harrell,110,101
4,4:15.0,,T. Harris misses 2-pt dunk from 4 ft (block by T. McConnell),110,101
4,4:12.0,,Offensive rebound by M. Harrell,110,101
4,4:09.0,,T. Harris makes 2-pt layup from 3 ft (assist by M. Harrell),110,103
4,3:54.0,Turnover by B. Simmons (traveling),,110,103
4,3:34.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),110,105
4,3:08.0,W. Chandler misses 2-pt jump shot from 19 ft,,110,105
4,3:05.0,,Defensive rebound by T. Harris,110,105
4,2:57.0,,L. Williams misses 3-pt jump shot from 26 ft,110,105
4,2:57.0,Defensive rebound by Team,,110,105
4,2:57.0,,Loose ball foul by P. Beverley (drawn by J. Redick),110,105
4,2:57.0,,S. Gilgeous-Alexander enters the game for P. Beverley,110,105
4,2:45.0,J. Embiid makes 2-pt layup from 1 ft (assist by W. Chandler),,112,105
4,2:33.0,,M. Harrell misses 2-pt layup from 1 ft (block by J. Embiid),112,105
4,2:33.0,,Offensive rebound by M. Harrell,112,105
4,2:33.0,,Shooting foul by J. Embiid (drawn by M. Harrell),112,105
4,2:33.0,,M. Harrell makes 2-pt layup at rim,112,107
4,2:33.0,,M. Harrell makes free throw 1 of 1,112,108
4,2:13.0,J. Embiid makes 2-pt jump shot from 17 ft,,114,108
4,2:00.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,114,108
4,1:56.0,,Offensive rebound by T. Harris,114,108
4,1:54.0,,Turnover by T. Harris (lost ball; steal by W. Chandler),114,108
4,1:34.0,J. Embiid misses 2-pt jump shot from 12 ft,,114,108
4,1:31.0,,Defensive rebound by D. Gallinari,114,108
4,1:26.0,,Personal foul by W. Chandler (drawn by L. Williams),114,108
4,1:26.0,,L. Williams misses free throw 1 of 2,114,108
4,1:26.0,,Offensive rebound by Team,114,108
4,1:26.0,,S. Thornwell enters the game for S. Gilgeous-Alexander,114,108
4,1:26.0,,L. Williams makes free throw 2 of 2,114,109
4,1:07.0,Turnover by J. Embiid (out of bounds lost ball),,114,109
4,1:07.0,,S. Gilgeous-Alexander enters the game for S. Thornwell,114,109
4,0:58.0,,Shooting foul by J. Embiid (drawn by M. Harrell),114,109
4,0:58.0,,M. Harrell misses free throw 1 of 2,114,109
4,0:58.0,,Offensive rebound by Team,114,109
4,0:58.0,,S. Thornwell enters the game for S. Gilgeous-Alexander,114,109
4,0:58.0,,M. Harrell misses free throw 2 of 2,114,109
4,0:56.0,Defensive rebound by J. Embiid,,114,109
4,0:39.0,B. Simmons makes 2-pt jump shot from 6 ft,,116,109
4,0:39.0,,LA Clippers full timeout,116,109
4,0:39.0,,S. Gilgeous-Alexander enters the game for S. Thornwell,116,109
4,0:32.0,,M. Harrell makes 2-pt layup from 2 ft (assist by D. Gallinari),116,111
4,0:25.0,Personal take foul by S. Gilgeous-Alexander (drawn by B. Simmons),,116,111
4,0:25.0,B. Simmons misses free throw 1 of 2,,116,111
4,0:25.0,Offensive rebound by Team,,116,111
4,0:25.0,,M. Gortat enters the game for S. Gilgeous-Alexander,116,111
4,0:25.0,B. Simmons misses free throw 2 of 2,,116,111
4,0:25.0,Offensive rebound by W. Chandler,,116,111
4,0:22.0,Personal take foul by L. Williams (drawn by T. McConnell),,116,111
4,0:22.0,T. McConnell makes free throw 1 of 2,,117,111
4,0:22.0,T. McConnell misses free throw 2 of 2,,117,111
4,0:21.0,,Defensive rebound by M. Harrell,117,111
4,0:21.0,,LA Clippers full timeout,117,111
4,0:21.0,,S. Gilgeous-Alexander enters the game for M. Gortat,117,111
4,0:21.0,,B. Marjanović enters the game for M. Harrell,117,111
4,0:15.0,,T. Harris makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),117,113
4,0:15.0,Philadelphia full timeout,,117,113
4,0:15.0,,M. Harrell enters the game for S. Gilgeous-Alexander,117,113
4,0:15.0,,S. Thornwell enters the game for B. Marjanović,117,113
4,0:14.0,B. Simmons makes 2-pt dunk from 1 ft,,119,113
4,0:10.0,,L. Williams misses 3-pt jump shot from 28 ft (block by B. Simmons),119,113
4,0:05.0,Defensive rebound by J. Embiid,,119,113
